"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
57,64,1.54585535253402,0.28842642177164,1.03871365618423,1.10744117637406,1.34176784437153,1.52736904289297,1.72882612673408,2.05258771969024,2.16671515641698,2020-03-29
64,71,1.52226056871572,0.213040044255216,1.1339666765209,1.19134769264367,1.37373332467555,1.51112213390054,1.65947033266355,1.88771617438539,1.96596119593737,2020-04-05
71,78,1.0650176434585,0.133033620356703,0.821085016835441,0.856098504558759,0.971857860446081,1.05929410623296,1.15174010389917,1.29189497427295,1.34193978308047,2020-04-12
78,85,0.994488318608635,0.125597426763449,0.762325030784461,0.797352304806055,0.907730048098824,0.98914480724197,1.07656524327665,1.20835937264504,1.25603024363823,2020-04-19
85,92,1.13535512102349,0.13086698858331,0.893545858688523,0.929805004628907,1.04461887562652,1.13061553352072,1.22057339520562,1.3595499399606,1.40528778338676,2020-04-26
92,99,1.03834684269225,0.116101559961192,0.822115751631937,0.856082016679619,0.957806752855883,1.0338730065147,1.11366940230754,1.23663726139058,1.27844634705457,2020-05-03
99,106,1.22917794566152,0.121540890145421,1.00324642513358,1.03625365720236,1.14492331585887,1.22558515299625,1.30867460627626,1.43544278807691,1.47931910749326,2020-05-10
106,113,0.990906638438528,0.0944006562768569,0.815080924030303,0.840518101890546,0.925619184134795,0.987377314814962,1.05306637138147,1.15169331538838,1.18377739634526,2020-05-17
113,120,0.99856756423978,0.0987073993574484,0.813196896898345,0.842055592778717,0.930716175769949,0.995290619996127,1.06340027226668,1.16551315154318,1.20101266694262,2020-05-24
120,127,0.970226527070984,0.0954160937999117,0.793411875098598,0.819427705090387,0.904762700050251,0.966710298000392,1.03258680748205,1.13187978212785,1.16535689117497,2020-05-31
127,134,1.04731138395324,0.10245844245736,0.856811511849094,0.884830363832292,0.976575354147112,1.04349285069545,1.11411633718096,1.22204852991766,1.2567452759452,2020-06-07
134,141,1.01828161225451,0.0972258322959023,0.836546434813225,0.863777098817361,0.951515109031595,1.01506665074317,1.08237565760411,1.18186856070844,1.21735915056577,2020-06-14
