"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,26,NA,NA,NA,26,NA,NA,NA
2020-03-22,47,NA,NA,NA,47,NA,NA,NA
2020-03-29,73,NA,NA,NA,73,NA,NA,NA
2020-04-05,101,NA,NA,NA,101,NA,NA,NA
2020-04-12,138,NA,NA,NA,138,NA,NA,NA
2020-04-19,178,NA,NA,NA,178,NA,NA,NA
2020-04-26,234,NA,NA,NA,234,NA,NA,NA
2020-05-03,295,NA,NA,NA,295,NA,NA,NA
2020-05-10,362,NA,NA,NA,362,NA,NA,NA
2020-05-17,435,NA,NA,NA,435,NA,NA,NA
2020-05-24,539,NA,NA,NA,539,NA,NA,NA
2020-05-31,641,NA,NA,NA,641,NA,NA,NA
2020-06-07,718,NA,NA,NA,718,NA,NA,NA
2020-06-14,793,NA,NA,NA,793,NA,NA,NA
2020-06-21,879,NA,NA,NA,879,NA,NA,NA
2020-06-28,946,NA,NA,NA,946,NA,NA,NA
2020-07-05,1001,NA,NA,NA,1001,NA,NA,NA
2020-07-12,1050,NA,NA,NA,1050,NA,NA,NA
2020-07-19,1100,NA,NA,NA,1100,NA,NA,NA
2020-07-26,1139,NA,NA,NA,1139,NA,NA,NA
2020-08-02,1174,NA,NA,NA,1174,NA,NA,NA
2020-08-09,1204,NA,NA,NA,1204,NA,NA,NA
2020-08-16,1245,NA,NA,NA,1245,NA,NA,NA
2020-08-23,1278,NA,NA,NA,1278,NA,NA,NA
2020-08-30,1310,NA,NA,NA,1310,NA,NA,NA
2020-09-06,1335,NA,NA,NA,1335,NA,NA,NA
2020-09-13,1360,NA,NA,NA,1360,NA,NA,NA
2020-09-20,1398,NA,NA,NA,1398,NA,NA,NA
2020-09-27,1432,NA,NA,NA,1432,NA,NA,NA
2020-10-04,1478,NA,NA,NA,1478,NA,NA,NA
2020-10-11,1502,NA,NA,NA,1502,NA,NA,NA
2020-10-18,1543,NA,NA,NA,1543,NA,NA,NA
2020-10-25,1588,NA,NA,NA,1588,NA,NA,NA
2020-11-01,1639,NA,NA,NA,1639,NA,NA,NA
2020-11-08,1681,NA,NA,NA,1681,NA,NA,NA
2020-11-15,1722,NA,NA,NA,1722,NA,NA,NA
2020-11-22,1759,NA,NA,NA,1759,NA,NA,NA
2020-11-29,1788,NA,NA,NA,1788,NA,NA,NA
2020-12-06,1837,NA,NA,NA,1837,NA,NA,NA
2020-12-13,1873,NA,NA,NA,1873,NA,NA,NA
2020-12-20,1905,NA,NA,NA,1905,NA,NA,NA
2020-12-27,1942,NA,NA,NA,1942,NA,NA,NA
2021-01-03,1981,NA,NA,NA,1981,NA,NA,NA
2021-01-10,2015,NA,NA,NA,2015,NA,NA,NA
2021-01-17,2041,NA,NA,NA,2041,NA,NA,NA
2021-01-24,2069,NA,NA,NA,2069,NA,NA,NA
2021-01-31,2107,NA,NA,NA,2107,NA,NA,NA
2021-02-07,2134,NA,NA,NA,2134,NA,NA,NA
2021-02-14,2162,NA,NA,NA,2162,NA,NA,NA
2021-02-21,2186,NA,NA,NA,2186,NA,NA,NA
2021-02-28,2219,NA,NA,NA,2219,NA,NA,NA
2021-03-07,2285,NA,NA,NA,2285,NA,NA,NA
2021-03-14,2363,NA,NA,NA,2363,NA,NA,NA
2021-03-21,2463,NA,NA,NA,2463,NA,NA,NA
2021-03-28,2565,NA,NA,NA,2565,NA,NA,NA
2021-04-04,2670,NA,NA,NA,2670,NA,NA,NA
2021-04-11,2743,NA,NA,NA,2743,NA,NA,NA
2021-04-18,2809,NA,NA,NA,2809,NA,NA,NA
2021-04-25,2851,NA,NA,NA,2851,NA,NA,NA
2021-05-02,2896,NA,NA,NA,2896,NA,NA,NA
2021-05-09,2925,NA,NA,NA,2925,NA,NA,NA
2021-05-16,2966,NA,NA,NA,2966,NA,NA,NA
2021-05-23,2987,NA,NA,NA,2987,NA,NA,NA
2021-05-30,3021,NA,NA,NA,3021,NA,NA,NA
2021-06-06,3045,NA,NA,NA,3045,NA,NA,NA
2021-06-13,3070,NA,NA,NA,3070,NA,NA,NA
2021-06-20,3093,NA,NA,NA,3093,NA,NA,NA
2021-06-27,3114,NA,NA,NA,3114,NA,NA,NA
2021-07-04,3132,NA,NA,NA,3132,NA,NA,NA
2021-07-11,3155,NA,NA,NA,3155,NA,NA,NA
2021-07-18,3176,NA,NA,NA,3176,NA,NA,NA
2021-07-25,3189,NA,NA,NA,3189,NA,NA,NA
2021-08-01,3205,NA,NA,NA,3205,NA,NA,NA
2021-08-08,3221,NA,NA,NA,3221,NA,NA,NA
2021-08-15,3242,NA,NA,NA,3242,NA,NA,NA
2021-08-22,3263,NA,NA,NA,3263,NA,NA,NA
2021-08-29,3288,NA,NA,NA,3288,NA,NA,NA
2021-09-05,3307,NA,NA,NA,3307,NA,NA,NA
2021-09-12,3328,NA,NA,NA,3328,NA,NA,NA
2021-09-19,3348,NA,NA,NA,3348,NA,NA,NA
2021-09-26,3364,NA,NA,NA,3364,NA,NA,NA
2021-10-03,3385,NA,NA,NA,3385,NA,NA,NA
2021-10-10,3399,NA,NA,NA,3399,NA,NA,NA
2021-10-17,3411,NA,NA,NA,3411,NA,NA,NA
2021-10-24,3418,NA,NA,NA,3418,NA,NA,NA
2021-10-31,3430,NA,NA,NA,3430,NA,NA,NA
2021-11-07,3436,NA,NA,NA,3436,NA,NA,NA
2021-11-14,3450,NA,NA,NA,3450,NA,NA,NA
2021-11-21,3462,NA,NA,NA,3462,NA,NA,NA
2021-11-28,3478,NA,NA,NA,3478,NA,NA,NA
2021-12-05,3486,NA,NA,NA,3486,NA,NA,NA
2021-12-12,3514,NA,NA,NA,3514,NA,NA,NA
2021-12-19,3579,NA,NA,NA,3579,NA,NA,NA
2021-12-26,3651,NA,NA,NA,3651,NA,NA,NA
2022-01-02,3719,NA,NA,NA,3719,NA,NA,NA
2022-01-09,3759,NA,NA,NA,3759,NA,NA,NA
2022-01-16,3794,NA,NA,NA,3794,NA,NA,NA
2022-01-23,3825,NA,NA,NA,3824,NA,NA,NA
2022-01-30,3862,NA,NA,NA,3860,NA,NA,NA
2022-02-06,3877,NA,NA,NA,3873,NA,NA,NA
2022-02-13,3912,NA,NA,NA,3901,NA,NA,NA
2022-02-20,3949,3949,3926,3991,3910,3910,3910,3910
2022-02-27,NA,3985,3954,4040,NA,3918,3916,3920
