"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-19,1,NA,1,NA,NA,NA
2020-04-26,1,NA,1,NA,NA,NA
2020-05-03,8,NA,8,NA,NA,NA
2020-05-10,17,NA,17,NA,NA,NA
2020-05-17,20,NA,20,NA,NA,NA
2020-05-24,14,NA,14,NA,NA,NA
2020-05-31,6,NA,6,NA,NA,NA
2020-06-07,10,NA,10,NA,NA,NA
2020-06-14,8,NA,8,NA,NA,NA
2020-06-21,6,NA,6,NA,NA,NA
2020-06-28,5,NA,5,NA,NA,NA
2020-07-05,3,NA,3,NA,NA,NA
2020-07-12,5,NA,5,NA,NA,NA
2020-07-19,5,NA,5,NA,NA,NA
2020-07-26,2,NA,2,NA,NA,NA
2020-08-02,2,NA,2,NA,NA,NA
2020-08-09,2,NA,2,NA,NA,NA
2020-08-16,3,NA,3,NA,NA,NA
2020-08-23,5,NA,5,NA,NA,NA
2020-08-30,2,NA,2,NA,NA,NA
2020-09-06,2,NA,2,NA,NA,NA
2020-09-20,3,NA,3,NA,NA,NA
2020-09-27,6,NA,6,NA,NA,NA
2020-10-11,1,NA,1,NA,NA,NA
2020-10-25,2,NA,2,NA,NA,NA
2020-11-01,2,NA,2,NA,NA,NA
2020-11-08,1,NA,1,NA,NA,NA
2020-11-15,2,NA,2,NA,NA,NA
2020-11-22,2,NA,2,NA,NA,NA
2020-11-29,1,NA,1,NA,NA,NA
2020-12-06,1,NA,1,NA,NA,NA
2020-12-13,NA,NA,2,NA,NA,NA
2020-12-20,NA,1,1,NA,1,2
2020-12-27,NA,0,0,NA,0,1
2021-01-03,NA,0,0,NA,0,1
2021-01-10,NA,1,1,NA,1,2
2021-01-17,NA,3,3,NA,3,7
2021-01-24,NA,0,0,NA,0,2
2021-01-31,NA,0,0,NA,0,2
2021-02-07,NA,0,0,NA,0,3
2021-02-14,NA,0,0,NA,0,6
