"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-12,1,NA,1,1,NA,NA
2020-04-16,1,NA,1,1,NA,NA
2020-04-17,1,NA,1,1,NA,NA
2020-04-21,1,NA,1,1.22222222222222,NA,NA
2020-04-22,1,NA,1,1.6,NA,NA
2020-04-25,1,NA,1,1.7,NA,NA
2020-04-28,1,NA,1,1.7,NA,NA
2020-04-29,1,NA,1,2,NA,NA
2020-04-30,3,NA,3,2,NA,NA
2020-05-01,5,NA,5,2,NA,NA
2020-05-02,2,NA,2,2.4,NA,NA
2020-05-03,1,NA,1,2.5,NA,NA
2020-05-04,4,NA,4,2.9,NA,NA
2020-05-05,1,NA,1,3,NA,NA
2020-05-06,1,NA,1,2.6,NA,NA
2020-05-07,5,NA,5,3,NA,NA
2020-05-08,2,NA,2,4.2,NA,NA
2020-05-09,5,NA,5,4.5,NA,NA
2020-05-10,4,NA,4,4.8,NA,NA
2020-05-11,1,NA,1,5.3,NA,NA
2020-05-12,6,NA,6,5.4,NA,NA
2020-05-13,13,NA,13,5.7,NA,NA
2020-05-14,7,NA,7,5.9,NA,NA
2020-05-15,4,NA,4,6,NA,NA
2020-05-16,6,NA,6,6.4,NA,NA
2020-05-17,6,NA,6,6.9,NA,NA
2020-05-18,5,NA,5,6,NA,NA
2020-05-19,7,NA,7,5.8,NA,NA
2020-05-20,5,NA,5,6.6,NA,NA
2020-05-21,5,NA,5,6.7,NA,NA
2020-05-22,11,NA,11,6.8,NA,NA
2020-05-23,4,NA,4,6.9,NA,NA
2020-05-24,5,NA,5,6.8,NA,NA
2020-05-25,12,NA,12,7.1,NA,NA
2020-05-26,7,NA,7,6.7,NA,NA
2020-05-27,7,NA,7,6,NA,NA
2020-05-28,6,NA,6,6,NA,NA
2020-05-29,6,NA,6,5.7,NA,NA
2020-05-30,8,NA,8,4.9,NA,NA
2020-05-31,1,NA,1,4.5,NA,NA
2020-06-01,4,NA,4,4.6,NA,NA
2020-06-02,4,NA,4,4.4,NA,NA
2020-06-03,2,NA,2,4.3,NA,NA
2020-06-04,4,NA,4,3.8,NA,NA
2020-06-05,3,NA,3,4.5,NA,NA
2020-06-06,8,NA,8,4.2,NA,NA
2020-06-07,4,NA,4,4,NA,NA
2020-06-08,5,NA,5,4.2,NA,NA
2020-06-09,3,NA,3,3.9,NA,NA
2020-06-10,8,NA,8,3.8,NA,NA
2020-06-11,1,NA,1,3.3,NA,NA
2020-06-12,2,NA,2,3.2,NA,NA
2020-06-13,4,NA,4,3.1,NA,NA
2020-06-14,1,NA,1,3.5,NA,NA
2020-06-15,2,NA,2,2.8,NA,NA
2020-06-16,3,NA,3,3.1,NA,NA
2020-06-17,3,NA,3,3,NA,NA
2020-06-18,4,NA,4,2.6,NA,NA
2020-06-19,7,NA,7,2.5,NA,NA
2020-06-20,1,NA,1,2.7,NA,NA
2020-06-21,NA,4,4,2.5,4,4
2020-06-22,NA,1,1,2.3,1,1
2020-06-23,NA,0,0,2,0,0
2020-06-24,NA,0,0,1.4,0,0
2020-06-25,NA,4,4,1.5,4,4
2020-06-26,NA,1,1,1.1,1,1
2020-06-27,NA,1,1,1.1,1,1
2020-06-28,NA,1,1,1.2,1,1
2020-06-29,NA,1,1,1.7,1,1
2020-06-30,NA,2,2,1.3,2,2
2020-07-01,NA,0,0,1.5,0,0
2020-07-02,NA,1,1,1.5,1,1
2020-07-03,NA,1,1,1.4,1,2
2020-07-04,NA,5,5,1.4,5,6
2020-07-05,NA,0,0,1.2,0,1
2020-07-06,NA,3,3,1.3,3,4
2020-07-07,NA,1,1,1.5,1,2
2020-07-08,NA,0,0,1.4,0,1
2020-07-09,NA,1,1,0.9,1,2
2020-07-10,NA,0,0,1,0,1
2020-07-11,NA,1,1,0.8,1,2
2020-07-12,NA,3,3,0.8,3,4
2020-07-13,NA,0,0,1,0,1
2020-07-14,NA,0,0,1,0,1
2020-07-15,NA,1,1,1.1,1,2
2020-07-16,NA,1,1,1.2,1,2.02499999999964
2020-07-17,NA,1,1,1.1,1,3
2020-07-18,NA,2,2,1.2,2,4
2020-07-19,NA,1,1,1.3,1,3
2020-07-20,NA,1,1,1.3,1,3
2020-07-21,NA,2,2,1.3,2,5
2020-07-22,NA,2,2,1.3,1,4
2020-07-23,NA,1,1,1.2,0,3
2020-07-24,NA,1,1,1.2,0,3
2020-07-25,NA,1,1,1.22222222222222,0,4
2020-07-26,NA,1,1,1.125,0,4
2020-07-27,NA,1,1,1,0,4
2020-07-28,NA,1,1,1,0,4
2020-07-29,NA,1,1,1,0,4
