"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,439,NA,NA,NA,439,NA,NA,NA
2020-03-22,800,NA,NA,NA,800,NA,NA,NA
2020-03-29,1140,NA,NA,NA,1140,NA,NA,NA
2020-04-05,1438,NA,NA,NA,1438,NA,NA,NA
2020-04-12,1703,NA,NA,NA,1703,NA,NA,NA
2020-04-19,1984,NA,NA,NA,1984,NA,NA,NA
2020-04-26,2271,NA,NA,NA,2271,NA,NA,NA
2020-05-03,2599,NA,NA,NA,2599,NA,NA,NA
2020-05-10,2914,NA,NA,NA,2914,NA,NA,NA
2020-05-17,3255,NA,NA,NA,3255,NA,NA,NA
2020-05-24,3635,NA,NA,NA,3635,NA,NA,NA
2020-05-31,4083,NA,NA,NA,4083,NA,NA,NA
2020-06-07,4755,NA,NA,NA,4755,NA,NA,NA
2020-06-14,5486,NA,NA,NA,5486,NA,NA,NA
2020-06-21,6453,NA,NA,NA,6453,NA,NA,NA
2020-06-28,7431,NA,NA,NA,7431,NA,NA,NA
2020-07-05,8539,NA,NA,NA,8539,NA,NA,NA
2020-07-12,9543,NA,NA,NA,9543,NA,NA,NA
2020-07-19,10497,NA,NA,NA,10497,NA,NA,NA
2020-07-26,11315,NA,NA,NA,11315,NA,NA,NA
2020-08-02,11984,NA,NA,NA,11984,NA,NA,NA
2020-08-09,12582,NA,NA,NA,12582,NA,NA,NA
2020-08-16,13222,NA,NA,NA,13222,NA,NA,NA
2020-08-23,13804,NA,NA,NA,13804,NA,NA,NA
2020-08-30,14411,NA,NA,NA,14411,NA,NA,NA
2020-09-06,14959,NA,NA,NA,14959,NA,NA,NA
2020-09-13,15456,NA,NA,NA,15456,NA,NA,NA
2020-09-20,15973,NA,NA,NA,15973,NA,NA,NA
2020-09-27,16441,NA,NA,NA,16441,NA,NA,NA
2020-10-04,16942,NA,NA,NA,16942,NA,NA,NA
2020-10-11,17388,NA,NA,NA,17388,NA,NA,NA
2020-10-18,17754,NA,NA,NA,17754,NA,NA,NA
2020-10-25,18139,NA,NA,NA,18139,NA,NA,NA
2020-11-01,18567,NA,NA,NA,18564,NA,NA,NA
2020-11-08,19034,NA,NA,NA,19021,NA,NA,NA
2020-11-15,19605,NA,NA,NA,19566,NA,NA,NA
2020-11-22,20159,NA,NA,NA,20077,NA,NA,NA
2020-11-29,20701,NA,NA,NA,20543,NA,NA,NA
2020-12-06,21291,NA,NA,NA,20998,NA,NA,NA
2020-12-13,21860,NA,NA,NA,21347,NA,NA,NA
2020-12-20,22349,NA,NA,NA,21494,NA,NA,NA
2020-12-27,22834,22834,22527,23169,21507,21507,21507,21507
2021-01-03,NA,23340,22945,23767,NA,21523,21520,21526
