"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,167,NA,167,NA,NA,NA
2020-03-22,362,NA,362,NA,NA,NA
2020-03-29,341,NA,341,NA,NA,NA
2020-04-05,298,NA,298,NA,NA,NA
2020-04-12,263,NA,263,NA,NA,NA
2020-04-19,281,NA,281,NA,NA,NA
2020-04-26,286,NA,286,NA,NA,NA
2020-05-03,331,NA,331,NA,NA,NA
2020-05-10,319,NA,319,NA,NA,NA
2020-05-17,339,NA,339,NA,NA,NA
2020-05-24,389,NA,389,NA,NA,NA
2020-05-31,452,NA,452,NA,NA,NA
2020-06-07,669,NA,669,NA,NA,NA
2020-06-14,728,NA,728,NA,NA,NA
2020-06-21,963,NA,963,NA,NA,NA
2020-06-28,979,NA,979,NA,NA,NA
2020-07-05,1110,NA,1110,NA,NA,NA
2020-07-12,1005,NA,1005,NA,NA,NA
2020-07-19,952,NA,952,NA,NA,NA
2020-07-26,823,NA,823,NA,NA,NA
2020-08-02,670,NA,670,NA,NA,NA
2020-08-09,600,NA,600,NA,NA,NA
2020-08-16,649,NA,649,NA,NA,NA
2020-08-23,583,NA,583,NA,NA,NA
2020-08-30,617,NA,617,NA,NA,NA
2020-09-06,553,NA,553,NA,NA,NA
2020-09-13,500,NA,500,NA,NA,NA
2020-09-20,522,NA,522,NA,NA,NA
2020-09-27,474,NA,474,NA,NA,NA
2020-10-04,520,NA,520,NA,NA,NA
2020-10-11,462,NA,462,NA,NA,NA
2020-10-18,381,NA,381,NA,NA,NA
2020-10-25,399,NA,399,NA,NA,NA
2020-11-01,439,NA,439,NA,NA,NA
2020-11-08,502,NA,502,NA,NA,NA
2020-11-15,596,NA,596,NA,NA,NA
2020-11-22,588,NA,588,NA,NA,NA
2020-11-29,597,NA,597,NA,NA,NA
2020-12-06,727,NA,727,NA,NA,NA
2020-12-13,697,NA,697,NA,NA,NA
2020-12-20,757,NA,757,NA,NA,NA
2020-12-27,NA,722,722,NA,714,735
2021-01-03,NA,771,771,NA,757,790
2021-01-10,NA,752,752,NA,732,774
2021-01-17,NA,713,713,NA,689,740
2021-01-24,NA,667,667,NA,636,701
2021-01-31,NA,591,591,NA,552,633
2021-02-07,NA,689,689,NA,638,744.025
2021-02-14,NA,691,691,NA,615,780.025
2021-02-21,NA,685,685,NA,562,847
