"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-19,1,NA,NA,NA,1,NA,NA,NA
2020-05-03,2,NA,NA,NA,2,NA,NA,NA
2020-05-17,3,NA,NA,NA,3,NA,NA,NA
2020-05-24,6,NA,NA,NA,6,NA,NA,NA
2020-05-31,11,NA,NA,NA,11,NA,NA,NA
2020-06-07,27,NA,NA,NA,27,NA,NA,NA
2020-06-14,56,NA,NA,NA,56,NA,NA,NA
2020-06-21,94,NA,NA,NA,94,NA,NA,NA
2020-06-28,147,NA,NA,NA,147,NA,NA,NA
2020-07-05,213,NA,NA,NA,213,NA,NA,NA
2020-07-12,274,NA,NA,NA,274,NA,NA,NA
2020-07-19,330,NA,NA,NA,330,NA,NA,NA
2020-07-26,360,NA,NA,NA,360,NA,NA,NA
2020-08-02,399,NA,NA,NA,399,NA,NA,NA
2020-08-09,436,NA,NA,NA,436,NA,NA,NA
2020-08-16,467,NA,NA,NA,467,NA,NA,NA
2020-08-23,498,NA,NA,NA,498,NA,NA,NA
2020-08-30,535,NA,NA,NA,535,NA,NA,NA
2020-09-06,554,NA,NA,NA,554,NA,NA,NA
2020-09-13,574,NA,NA,NA,574,NA,NA,NA
2020-09-20,593,NA,NA,NA,593,NA,NA,NA
2020-09-27,611,NA,NA,NA,611,NA,NA,NA
2020-10-04,629,NA,NA,NA,629,NA,NA,NA
2020-10-11,644,NA,NA,NA,644,NA,NA,NA
2020-10-18,656,NA,NA,NA,656,NA,NA,NA
2020-10-25,667,NA,NA,NA,667,NA,NA,NA
2020-11-01,677,NA,NA,NA,677,NA,NA,NA
2020-11-08,687,NA,NA,NA,687,NA,NA,NA
2020-11-15,695,NA,NA,NA,695,NA,NA,NA
2020-11-22,702,NA,NA,NA,702,NA,NA,NA
2020-11-29,705,NA,NA,NA,705,NA,NA,NA
2020-12-06,714,NA,NA,NA,714,NA,NA,NA
2020-12-13,723,NA,NA,NA,723,NA,NA,NA
2020-12-20,733,NA,NA,NA,733,NA,NA,NA
2020-12-27,744,NA,NA,NA,744,NA,NA,NA
2021-01-03,760,NA,NA,NA,760,NA,NA,NA
2021-01-10,787,NA,NA,NA,787,NA,NA,NA
2021-01-17,807,NA,NA,NA,807,NA,NA,NA
2021-01-24,832,NA,NA,NA,832,NA,NA,NA
2021-01-31,852,NA,NA,NA,852,NA,NA,NA
2021-02-07,888,NA,NA,NA,888,NA,NA,NA
2021-02-14,920,NA,NA,NA,920,NA,NA,NA
2021-02-21,950,NA,NA,NA,950,NA,NA,NA
2021-02-28,986,NA,NA,NA,986,NA,NA,NA
2021-03-07,1032,NA,NA,NA,1032,NA,NA,NA
2021-03-14,1091,NA,NA,NA,1091,NA,NA,NA
2021-03-21,1156,NA,NA,NA,1156,NA,NA,NA
2021-03-28,1215,NA,NA,NA,1215,NA,NA,NA
2021-04-04,1274,NA,NA,NA,1274,NA,NA,NA
2021-04-11,1302,NA,NA,NA,1303,NA,NA,NA
2021-04-18,1329,NA,NA,NA,1330,NA,NA,NA
2021-04-25,1347,NA,NA,NA,1348,NA,NA,NA
2021-05-02,1359,NA,NA,NA,1359,NA,NA,NA
2021-05-09,1365,NA,NA,NA,1364,NA,NA,NA
2021-05-16,1373,NA,NA,NA,1370,NA,NA,NA
2021-05-23,1379,NA,NA,NA,1374,NA,NA,NA
2021-05-30,1385,NA,NA,NA,1377,NA,NA,NA
2021-06-06,1393,NA,NA,NA,1381,NA,NA,NA
2021-06-13,1397,1397,1380,1434,1383,1383,1383,1383
2021-06-20,NA,1404,1383,1448,NA,1383,1383,1383
