"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,17,NA,17,NA,NA,NA
2020-03-22,29,NA,29,NA,NA,NA
2020-03-29,45,NA,45,NA,NA,NA
2020-04-05,42,NA,42,NA,NA,NA
2020-04-12,35,NA,35,NA,NA,NA
2020-04-19,25,NA,25,NA,NA,NA
2020-04-26,27,NA,27,NA,NA,NA
2020-05-03,28,NA,28,NA,NA,NA
2020-05-10,53,NA,53,NA,NA,NA
2020-05-17,86,NA,86,NA,NA,NA
2020-05-24,118,NA,118,NA,NA,NA
2020-05-31,129,NA,129,NA,NA,NA
2020-06-07,182,NA,182,NA,NA,NA
2020-06-14,222,NA,222,NA,NA,NA
2020-06-21,238,NA,238,NA,NA,NA
2020-06-28,218,NA,218,NA,NA,NA
2020-07-05,239,NA,239,NA,NA,NA
2020-07-12,199,NA,199,NA,NA,NA
2020-07-19,172,NA,172,NA,NA,NA
2020-07-26,159,NA,159,NA,NA,NA
2020-08-02,147,NA,147,NA,NA,NA
2020-08-09,134,NA,134,NA,NA,NA
2020-08-16,140,NA,140,NA,NA,NA
2020-08-23,122,NA,122,NA,NA,NA
2020-08-30,82,NA,82,NA,NA,NA
2020-09-06,76,NA,76,NA,NA,NA
2020-09-13,80,NA,80,NA,NA,NA
2020-09-20,117,NA,117,NA,NA,NA
2020-09-27,80,NA,80,NA,NA,NA
2020-10-04,96,NA,96,NA,NA,NA
2020-10-11,88,NA,88,NA,NA,NA
2020-10-18,57,NA,57,NA,NA,NA
2020-10-25,41,NA,41,NA,NA,NA
2020-11-01,31,NA,31,NA,NA,NA
2020-11-08,58,NA,58,NA,NA,NA
2020-11-15,60,NA,60,NA,NA,NA
2020-11-22,80,NA,80,NA,NA,NA
2020-11-29,72,NA,72,NA,NA,NA
2020-12-06,118,NA,118,NA,NA,NA
2020-12-13,119,NA,119,NA,NA,NA
2020-12-20,146,NA,146,NA,NA,NA
2020-12-27,134,NA,134,NA,NA,NA
2021-01-03,170,NA,170,NA,NA,NA
2021-01-10,161,NA,161,NA,NA,NA
2021-01-17,124,NA,124,NA,NA,NA
2021-01-24,122,NA,122,NA,NA,NA
2021-01-31,107,NA,107,NA,NA,NA
2021-02-07,169,NA,169,NA,NA,NA
2021-02-14,188,NA,188,NA,NA,NA
2021-02-21,252,NA,252,NA,NA,NA
2021-02-28,248,NA,248,NA,NA,NA
2021-03-07,374,NA,374,NA,NA,NA
2021-03-14,397,NA,397,NA,NA,NA
2021-03-21,350,NA,350,NA,NA,NA
2021-03-28,293,NA,293,NA,NA,NA
2021-04-04,169,NA,169,NA,NA,NA
2021-04-11,120,NA,90,NA,NA,NA
2021-04-18,NA,76,76,NA,65,91
2021-04-25,NA,86,86,NA,71,104
2021-05-02,NA,96,96,NA,78,123
2021-05-09,NA,94,94,NA,72,124
2021-05-16,NA,91,91,NA,68,124
2021-05-23,NA,88,88,NA,62,120
2021-05-30,NA,85,85,NA,58,118
2021-06-06,NA,84,84,NA,55,124
2021-06-13,NA,89,89,NA,57,144
