"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,14,NA,NA,NA,14,NA,NA,NA
2020-03-22,25,NA,NA,NA,25,NA,NA,NA
2020-03-29,67,NA,NA,NA,67,NA,NA,NA
2020-04-05,213,NA,NA,NA,213,NA,NA,NA
2020-04-12,549,NA,NA,NA,549,NA,NA,NA
2020-04-19,1072,NA,NA,NA,1072,NA,NA,NA
2020-04-26,1663,NA,NA,NA,1663,NA,NA,NA
2020-05-03,2177,NA,NA,NA,2177,NA,NA,NA
2020-05-10,2605,NA,NA,NA,2605,NA,NA,NA
2020-05-17,2840,NA,NA,NA,2840,NA,NA,NA
2020-05-24,3004,NA,NA,NA,3004,NA,NA,NA
2020-05-31,3084,NA,NA,NA,3084,NA,NA,NA
2020-06-07,3165,NA,NA,NA,3165,NA,NA,NA
2020-06-14,3226,NA,NA,NA,3226,NA,NA,NA
2020-06-21,3281,NA,NA,NA,3281,NA,NA,NA
2020-06-28,3314,NA,NA,NA,3314,NA,NA,NA
2020-07-05,3355,NA,NA,NA,3355,NA,NA,NA
2020-07-12,3409,NA,NA,NA,3409,NA,NA,NA
2020-07-19,3467,NA,NA,NA,3467,NA,NA,NA
2020-07-26,3507,NA,NA,NA,3507,NA,NA,NA
2020-08-02,3568,NA,NA,NA,3568,NA,NA,NA
2020-08-09,3604,NA,NA,NA,3604,NA,NA,NA
2020-08-16,3649,NA,NA,NA,3649,NA,NA,NA
2020-08-23,3696,NA,NA,NA,3696,NA,NA,NA
2020-08-30,3728,NA,NA,NA,3728,NA,NA,NA
2020-09-06,3774,NA,NA,NA,3774,NA,NA,NA
2020-09-13,3798,NA,NA,NA,3798,NA,NA,NA
2020-09-20,3834,NA,NA,NA,3834,NA,NA,NA
2020-09-27,3868,NA,NA,NA,3868,NA,NA,NA
2020-10-04,3919,NA,NA,NA,3919,NA,NA,NA
2020-10-11,3991,NA,NA,NA,3991,NA,NA,NA
2020-10-18,4053,NA,NA,NA,4053,NA,NA,NA
2020-10-25,4137,NA,NA,NA,4137,NA,NA,NA
2020-11-01,4214,NA,NA,NA,4214,NA,NA,NA
2020-11-08,4279,NA,NA,NA,4279,NA,NA,NA
2020-11-15,4337,NA,NA,NA,4337,NA,NA,NA
2020-11-22,4395,NA,NA,NA,4395,NA,NA,NA
2020-11-29,4459,NA,NA,NA,4459,NA,NA,NA
2020-12-06,4528,NA,NA,NA,4528,NA,NA,NA
2020-12-13,4600,NA,NA,NA,4600,NA,NA,NA
2020-12-20,4670,NA,NA,NA,4670,NA,NA,NA
2020-12-27,4735,NA,NA,NA,4735,NA,NA,NA
2021-01-03,4821,NA,NA,NA,4821,NA,NA,NA
2021-01-10,4918,NA,NA,NA,4918,NA,NA,NA
2021-01-17,4991,NA,NA,NA,4991,NA,NA,NA
2021-01-24,5119,NA,NA,NA,5119,NA,NA,NA
2021-01-31,5229,NA,NA,NA,5229,NA,NA,NA
2021-02-07,5441,NA,NA,NA,5441,NA,NA,NA
2021-02-14,5632,NA,NA,NA,5632,NA,NA,NA
2021-02-21,5901,NA,NA,NA,5901,NA,NA,NA
2021-02-28,6296,NA,NA,NA,6296,NA,NA,NA
2021-03-07,6905,NA,NA,NA,6905,NA,NA,NA
2021-03-14,7501,NA,NA,NA,7501,NA,NA,NA
2021-03-21,7991,NA,NA,NA,7991,NA,NA,NA
2021-03-28,8311,NA,NA,NA,8311,NA,NA,NA
2021-04-04,8523,NA,NA,NA,8523,NA,NA,NA
2021-04-11,8657,NA,NA,NA,8657,NA,NA,NA
2021-04-18,8731,NA,NA,NA,8731,NA,NA,NA
2021-04-25,8798,NA,NA,NA,8798,NA,NA,NA
2021-05-02,8858,NA,NA,NA,8858,NA,NA,NA
2021-05-09,8903,NA,NA,NA,8910,NA,NA,NA
2021-05-16,8964,NA,NA,NA,8974,NA,NA,NA
2021-05-23,9032,NA,NA,NA,9037,NA,NA,NA
2021-05-30,9072,NA,NA,NA,9069,NA,NA,NA
2021-06-06,9121,NA,NA,NA,9108,NA,NA,NA
2021-06-13,9162,NA,NA,NA,9133,NA,NA,NA
2021-06-20,9209,NA,NA,NA,9164,NA,NA,NA
2021-06-27,9250,NA,NA,NA,9188,NA,NA,NA
2021-07-04,9294,NA,NA,NA,9204,NA,NA,NA
2021-07-11,9337,9337,9219,9497,9209,9209,9209,9209
2021-07-18,NA,9381,9239,9573,NA,9209,9209,9210
