"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-04-03,1,NA,1,2,NA,NA
2020-04-05,2,NA,2,2.14285714285714,NA,NA
2020-04-06,2,NA,2,2.875,NA,NA
2020-04-07,3,NA,3,3,NA,NA
2020-04-08,1,NA,1,4,NA,NA
2020-04-09,3,NA,3,4.7,NA,NA
2020-04-10,3,NA,3,5.6,NA,NA
2020-04-11,8,NA,8,6.7,NA,NA
2020-04-12,4,NA,4,7.2,NA,NA
2020-04-13,13,NA,13,8.7,NA,NA
2020-04-14,8,NA,8,10.8,NA,NA
2020-04-15,11,NA,11,12.5,NA,NA
2020-04-16,13,NA,13,15,NA,NA
2020-04-17,8,NA,8,18.7,NA,NA
2020-04-18,16,NA,16,21.8,NA,NA
2020-04-19,24,NA,24,24.2,NA,NA
2020-04-20,20,NA,20,29.6,NA,NA
2020-04-21,33,NA,33,32.1,NA,NA
2020-04-22,41,NA,41,36.1,NA,NA
2020-04-23,44,NA,44,40.2,NA,NA
2020-04-24,32,NA,32,43.1,NA,NA
2020-04-25,65,NA,65,45.9,NA,NA
2020-04-26,38,NA,38,48.6,NA,NA
2020-04-27,48,NA,48,50.1,NA,NA
2020-04-28,57,NA,57,51.3,NA,NA
2020-04-29,53,NA,53,52.9,NA,NA
2020-04-30,48,NA,48,51.8,NA,NA
2020-05-01,60,NA,60,52.5,NA,NA
2020-05-02,56,NA,56,51.5,NA,NA
2020-05-03,56,NA,56,50.1,NA,NA
2020-05-04,48,NA,48,48.8,NA,NA
2020-05-05,54,NA,54,48,NA,NA
2020-05-06,45,NA,45,46.1,NA,NA
2020-05-07,38,NA,38,44.2,NA,NA
2020-05-08,43,NA,43,42.5,NA,NA
2020-05-09,40,NA,40,41.1,NA,NA
2020-05-10,40,NA,40,40.2,NA,NA
2020-05-11,41,NA,41,38.6,NA,NA
2020-05-12,37,NA,37,37.1,NA,NA
2020-05-13,39,NA,39,36.4,NA,NA
2020-05-14,34,NA,34,35.2,NA,NA
2020-05-15,45,NA,45,34,NA,NA
2020-05-16,29,NA,29,32,NA,NA
2020-05-17,23,NA,23,29.7,NA,NA
2020-05-18,36,NA,36,27.6,NA,NA
2020-05-19,28,NA,28,26.2,NA,NA
2020-05-20,28,NA,28,24.4,NA,NA
2020-05-21,21,NA,21,23.6,NA,NA
2020-05-22,14,NA,14,22.3,NA,NA
2020-05-23,18,NA,18,20.3,NA,NA
2020-05-24,NA,20,20,18.9,20,20
2020-05-25,NA,27,27,17.6,27,27
2020-05-26,NA,21,21,16.7,21,21
2020-05-27,NA,10,10,16.4,10,10
2020-05-28,NA,16,16,15.6,16,16
2020-05-29,NA,14,14,14.5,14,14
2020-05-30,NA,15,15,12.5,15,16
2020-05-31,NA,12,12,11,12,13
2020-06-01,NA,11,11,10.6,11,13
2020-06-02,NA,10,10,9.3,10,11
2020-06-03,NA,9,9,8.7,9,11
2020-06-04,NA,7,7,8,7,9
2020-06-05,NA,6,6,7.6,6,8
2020-06-06,NA,6,6,7.4,6,8
2020-06-07,NA,3,3,7,3,5
2020-06-08,NA,8,8,6.7,8,11
2020-06-09,NA,8,8,6.8,7,10
2020-06-10,NA,8,8,6.9,7,10
2020-06-11,NA,9,9,7,8,11
2020-06-12,NA,6,6,7.6,5,9
2020-06-13,NA,6,6,7.2,5,9
2020-06-14,NA,8,8,7.1,7,11
2020-06-15,NA,7,7,6.9,6,11
2020-06-16,NA,7,7,7.3,5,10
2020-06-17,NA,9,9,7.7,7,13
2020-06-18,NA,4,4,8.1,2,9
2020-06-19,NA,7,7,8.2,4,11
2020-06-20,NA,6,6,8.1,3,11
2020-06-21,NA,13,13,8.2,10,18
2020-06-22,NA,10,10,8.4,7,16
2020-06-23,NA,10,10,9,6,15
2020-06-24,NA,9,9,9.6,5,15
2020-06-25,NA,6,6,10,2,12
2020-06-26,NA,8,8,9.9,3,15
2020-06-27,NA,11,11,9.88888888888889,6,18
2020-06-28,NA,10,10,9.875,4,18
2020-06-29,NA,13,13,10,7,22
2020-06-30,NA,10,10,10.6666666666667,4,22
2020-07-01,NA,12,12,11.2,4,25
