"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,1,NA,NA,NA,1,NA,NA,NA
2020-04-05,3,NA,NA,NA,3,NA,NA,NA
2020-04-12,10,NA,NA,NA,10,NA,NA,NA
2020-04-19,16,NA,NA,NA,16,NA,NA,NA
2020-04-26,30,NA,NA,NA,30,NA,NA,NA
2020-05-03,41,NA,NA,NA,41,NA,NA,NA
2020-05-10,74,NA,NA,NA,74,NA,NA,NA
2020-05-17,114,NA,NA,NA,114,NA,NA,NA
2020-05-24,144,NA,NA,NA,144,NA,NA,NA
2020-05-31,178,NA,NA,NA,178,NA,NA,NA
2020-06-07,198,NA,NA,NA,198,NA,NA,NA
2020-06-14,210,NA,NA,NA,210,NA,NA,NA
2020-06-21,220,NA,NA,NA,220,NA,NA,NA
2020-06-28,228,NA,NA,NA,228,NA,NA,NA
2020-07-05,235,NA,NA,NA,235,NA,NA,NA
2020-07-12,240,NA,NA,NA,240,NA,NA,NA
2020-07-19,247,NA,NA,NA,247,NA,NA,NA
2020-07-26,252,NA,NA,NA,252,NA,NA,NA
2020-08-02,257,NA,NA,NA,257,NA,NA,NA
2020-08-09,265,NA,NA,NA,265,NA,NA,NA
2020-08-16,271,NA,NA,NA,271,NA,NA,NA
2020-08-23,273,NA,NA,NA,273,NA,NA,NA
2020-08-30,275,NA,NA,NA,275,NA,NA,NA
2020-09-06,280,NA,NA,NA,280,NA,NA,NA
2020-09-13,281,NA,NA,NA,281,NA,NA,NA
2020-09-20,282,NA,NA,NA,282,NA,NA,NA
2020-09-27,286,NA,NA,NA,286,NA,NA,NA
2020-10-04,287,NA,NA,NA,287,NA,NA,NA
2020-10-11,290,NA,NA,NA,290,NA,NA,NA
2020-10-25,292,NA,NA,NA,292,NA,NA,NA
2020-11-01,294,NA,NA,NA,294,NA,NA,NA
2020-11-08,295,NA,NA,NA,295,NA,NA,NA
2020-11-15,300,NA,NA,NA,300,NA,NA,NA
2020-11-22,302,NA,NA,NA,302,NA,NA,NA
2020-11-29,306,NA,NA,NA,306,NA,NA,NA
2020-12-06,308,NA,NA,NA,308,NA,NA,NA
2020-12-13,312,NA,NA,NA,312,NA,NA,NA
2020-12-20,317,NA,NA,NA,317,NA,NA,NA
2020-12-27,321,NA,NA,NA,321,NA,NA,NA
2021-01-03,322,NA,NA,NA,322,NA,NA,NA
2021-01-10,324,NA,NA,NA,324,NA,NA,NA
2021-01-17,326,NA,NA,NA,326,NA,NA,NA
2021-01-24,330,NA,NA,NA,330,NA,NA,NA
2021-01-31,332,NA,NA,NA,332,NA,NA,NA
2021-02-07,335,NA,NA,NA,335,NA,NA,NA
2021-02-14,339,NA,NA,NA,339,NA,NA,NA
2021-02-28,341,NA,NA,NA,341,NA,NA,NA
2021-03-07,344,NA,NA,NA,344,NA,NA,NA
2021-03-14,350,NA,NA,NA,350,NA,NA,NA
2021-03-21,360,NA,NA,NA,360,NA,NA,NA
2021-03-28,369,NA,NA,NA,369,NA,NA,NA
2021-04-04,382,NA,NA,NA,382,NA,NA,NA
2021-04-11,384,NA,NA,NA,387,NA,NA,NA
2021-04-18,387,NA,NA,NA,392,NA,NA,NA
2021-04-25,391,NA,NA,NA,404,NA,NA,NA
2021-05-02,393,NA,NA,NA,409,NA,NA,NA
2021-05-09,394,NA,NA,NA,416,NA,NA,NA
2021-05-16,394,NA,NA,NA,418,NA,NA,NA
2021-05-23,394,NA,NA,NA,419,NA,NA,NA
2021-05-30,395,NA,NA,NA,420,NA,NA,NA
2021-06-06,395,NA,NA,NA,421,NA,NA,NA
2021-06-13,396,396,395,417,424,424,424,424
2021-06-20,NA,396,395,421,NA,424,424,424
