"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,2,NA,2,NA,NA,NA
2020-03-29,2,NA,2,NA,NA,NA
2020-04-05,3,NA,3,NA,NA,NA
2020-04-12,11,NA,11,NA,NA,NA
2020-04-19,10,NA,10,NA,NA,NA
2020-04-26,18,NA,18,NA,NA,NA
2020-05-03,18,NA,18,NA,NA,NA
2020-05-10,43,NA,43,NA,NA,NA
2020-05-17,44,NA,44,NA,NA,NA
2020-05-24,37,NA,37,NA,NA,NA
2020-05-31,44,NA,44,NA,NA,NA
2020-06-07,25,NA,25,NA,NA,NA
2020-06-14,17,NA,17,NA,NA,NA
2020-06-21,14,NA,14,NA,NA,NA
2020-06-28,9,NA,9,NA,NA,NA
2020-07-05,14,NA,14,NA,NA,NA
2020-07-12,8,NA,8,NA,NA,NA
2020-07-19,9,NA,9,NA,NA,NA
2020-07-26,8,NA,8,NA,NA,NA
2020-08-02,12,NA,12,NA,NA,NA
2020-08-09,15,NA,15,NA,NA,NA
2020-08-16,9,NA,9,NA,NA,NA
2020-08-23,4,NA,4,NA,NA,NA
2020-08-30,5,NA,5,NA,NA,NA
2020-09-06,9,NA,9,NA,NA,NA
2020-09-13,2,NA,2,NA,NA,NA
2020-09-20,5,NA,5,NA,NA,NA
2020-09-27,6,NA,6,NA,NA,NA
2020-10-04,6,NA,6,NA,NA,NA
2020-10-11,8,NA,8,NA,NA,NA
2020-10-18,2,NA,2,NA,NA,NA
2020-10-25,2,NA,2,NA,NA,NA
2020-11-01,6,NA,6,NA,NA,NA
2020-11-08,NA,3,3,NA,3,4
2020-11-15,NA,8,8,NA,8,9
2020-11-22,NA,1,1,NA,1,2
2020-11-29,NA,2,2,NA,2,3
2020-12-06,NA,0,0,NA,0,2
2020-12-13,NA,1,1,NA,1,4
2020-12-20,NA,0,0,NA,0,4
2020-12-27,NA,0,0,NA,0,5
2021-01-03,NA,1,1,NA,0,7
