"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
94,99,1.19890067354006,0.494445493000323,0.439712855589223,0.52423822533887,0.838737992562107,1.12883359412612,1.48315324860022,2.11109506795521,2.34440683978249,2020-04-19
101,106,1.96419439541334,0.645360673044795,0.908010536757133,1.03436855827433,1.49893193046532,1.89725665822202,2.35627390626122,3.13080595303273,3.40888725892208,2020-04-26
108,113,1.5125008388398,0.450393960179715,0.765867683266452,0.857106468372679,1.18934023942255,1.46658413102518,1.78613327922095,2.32090877757604,2.51427589962818,2020-05-03
115,120,1.38475522386386,0.378953886522156,0.745027780018141,0.826251334978921,1.11482852158656,1.35064508700292,1.61664980839286,2.05706033746195,2.22047155960576,2020-05-10
122,127,1.09458262864983,0.309848604409828,0.577618642289065,0.640855280834036,0.874167390195519,1.06437840898831,1.28198861792569,1.65225432806817,1.78235759864536,2020-05-17
129,134,0.913152575291949,0.288146286401786,0.438904385617767,0.497292327731119,0.7054214701812,0.88325751615072,1.08962541938685,1.43078959506862,1.55588883615751,2020-05-24
136,141,0.964131680728031,0.334236570489706,0.427687190604265,0.488944367375532,0.722416791003346,0.925067418927493,1.16318162731195,1.57383556100421,1.72417750807184,2020-05-31
143,148,1.18406184779889,0.409310014336688,0.521469001756,0.603400755097908,0.887134870572886,1.13940850739794,1.42863224969342,1.93144272155208,2.10152750755242,2020-06-07
150,155,0.731930190898541,0.322080605179833,0.243599423963704,0.294471219043138,0.494750300477689,0.686580322903757,0.918164804036761,1.32816803969867,1.48560483730287,2020-06-14
157,162,0.92053552628847,0.469589882967577,0.241178804790098,0.304263260153878,0.574068664367326,0.84123582592461,1.18051496016257,1.80136220382591,2.04134818108209,2020-06-21
164,169,2.11669184946731,0.85673883944786,0.792242822764027,0.933617931500498,1.49210956501455,2.00107739322518,2.61798047029429,3.6938421739844,4.11911338987654,2020-06-28
171,176,1.10201226117408,0.482655448580769,0.3697467269563,0.444606458405429,0.75102311897788,1.03328667681203,1.37684075358569,1.99142451603839,2.22578359775523,2020-07-05
178,183,1.06245618047575,0.507235849472732,0.312911724203209,0.386861789334028,0.692763052118603,0.984908923603309,1.34586560696447,2.01212225092679,2.27598007315968,2020-07-12
185,190,1.72539997435308,0.718924206872484,0.618596913608984,0.736624135080798,1.20006858727498,1.62511784543145,2.14262717337547,3.04589019897429,3.40387386058067,2020-07-19
192,197,1.21950863989596,0.521918504208986,0.4219751529011,0.508251646517952,0.839936149261189,1.14482080488688,1.51452970813878,2.18723461153565,2.45226260229911,2020-07-26
199,204,1.13035818251318,0.51128563060375,0.368335060638609,0.443020878021801,0.75999751107862,1.05421661773403,1.41637062688706,2.08152587748096,2.33792594295867,2020-08-02
206,211,0.878211299809128,0.473645063562592,0.210057245618465,0.270266927439806,0.529974762066553,0.793074390806074,1.13654068743989,1.77405965873408,2.01838204949969,2020-08-09
213,218,1.75768120322921,0.837034699616632,0.519190579811249,0.641210016507609,1.14785592121547,1.62997975133086,2.22777837525199,3.31672720396339,3.75057152485784,2020-08-16
220,225,1.30192525254163,0.627186559026903,0.375155426832959,0.463748633268436,0.841887395532146,1.2054576364478,1.65804498167848,2.46138706476077,2.78233188597655,2020-08-23
227,232,0.842688517741447,0.512756290372782,0.156863816244006,0.210050753999672,0.466867579145325,0.740657251627213,1.10890362707385,1.83108350987939,2.10637524997737,2020-08-30
234,239,2.45154104909024,1.14806737754195,0.741274082816421,0.92027803776546,1.60993502821655,2.26994924738725,3.09973436682339,4.59307433725276,5.16726845205996,2020-09-06
241,246,1.4486202147201,0.658741845826632,0.457963220640167,0.555018683047525,0.965523871019847,1.35195341509885,1.8227105478755,2.67679238293208,3.00109892410533,2020-09-13
248,253,1.00415033125675,0.520388236812315,0.260324524770045,0.327199547540639,0.624484290956005,0.91393450981788,1.29033311038772,1.97737377819329,2.24299610759629,2020-09-20
255,260,0.78372336623756,0.537728118035771,0.107545714039984,0.15214269334656,0.389030188345906,0.662980041052479,1.04788596621467,1.82147067511005,2.13057769408129,2020-09-27
262,267,3.34012674436249,1.6234725061168,0.971127901566649,1.19825726147038,2.16067491338501,3.08096559605726,4.22522987554049,6.38065754395298,7.21506507061996,2020-10-04
269,274,0.946145229664585,0.544855828317678,0.195770638243164,0.258976347453412,0.546521101693012,0.844436734431941,1.23399562249534,1.98038385531045,2.27531007610517,2020-10-11
276,281,1.52273973008556,0.85721293720208,0.332529992137065,0.439404819912457,0.89145722840828,1.36672845704674,1.97583286429568,3.15515868674754,3.61915788946588,2020-10-18
283,288,2.05162998106718,0.984705188948407,0.603795611623711,0.744833974832249,1.33682225203924,1.89655928948334,2.60331576499431,3.8863008655775,4.3874697712481,2020-10-25
290,295,0.897405133375217,0.547811651102736,0.156424576256074,0.215173329074515,0.496257700806585,0.79049699355353,1.18506111327725,1.93345653207654,2.23198289585149,2020-11-01
297,302,1.6114020212479,1.0679890101774,0.271353715803281,0.375820740895893,0.864233187836658,1.39208423625787,2.10524224953508,3.57418114216129,4.23185829451887,2020-11-08
