"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-16,1,NA,1,1.25,NA,NA
2020-03-17,1,NA,1,1.44444444444444,NA,NA
2020-03-19,1,NA,1,1.4,NA,NA
2020-03-20,1,NA,1,1.4,NA,NA
2020-03-21,2,NA,2,1.6,NA,NA
2020-03-22,2,NA,2,2.3,NA,NA
2020-03-23,3,NA,3,2.8,NA,NA
2020-03-26,1,NA,1,2.9,NA,NA
2020-03-28,1,NA,1,3.3,NA,NA
2020-03-30,3,NA,3,3.6,NA,NA
2020-03-31,8,NA,8,3.8,NA,NA
2020-04-01,6,NA,6,5.2,NA,NA
2020-04-02,2,NA,2,6,NA,NA
2020-04-03,5,NA,5,6.9,NA,NA
2020-04-04,5,NA,5,7.6,NA,NA
2020-04-05,4,NA,4,8.8,NA,NA
2020-04-06,17,NA,17,9.4,NA,NA
2020-04-07,9,NA,9,10.3,NA,NA
2020-04-08,10,NA,10,10.6,NA,NA
2020-04-09,10,NA,10,11.6,NA,NA
2020-04-10,20,NA,20,12.6,NA,NA
2020-04-11,12,NA,12,12.3,NA,NA
2020-04-12,11,NA,11,12.6,NA,NA
2020-04-13,8,NA,8,12.5,NA,NA
2020-04-14,15,NA,15,12.6,NA,NA
2020-04-15,14,NA,14,12.4,NA,NA
2020-04-16,14,NA,14,13,NA,NA
2020-04-17,12,NA,12,13.5,NA,NA
2020-04-18,9,NA,9,14.7,NA,NA
2020-04-19,11,NA,11,15.6,NA,NA
2020-04-20,18,NA,18,15.4,NA,NA
2020-04-21,18,NA,18,15.5,NA,NA
2020-04-22,16,NA,16,16,NA,NA
2020-04-23,20,NA,20,16.5,NA,NA
2020-04-24,24,NA,24,17.1,NA,NA
2020-04-25,12,NA,12,17.7,NA,NA
2020-04-26,15,NA,15,18.3,NA,NA
2020-04-27,17,NA,17,18,NA,NA
2020-04-28,14,NA,14,18.2,NA,NA
2020-04-29,17,NA,17,17.6,NA,NA
2020-04-30,24,NA,24,18.3,NA,NA
2020-05-01,24,NA,24,18.5,NA,NA
2020-05-02,13,NA,13,19.3,NA,NA
2020-05-03,22,NA,22,18.7,NA,NA
2020-05-04,18,NA,18,19.7,NA,NA
2020-05-05,19,NA,19,19,NA,NA
2020-05-06,17,NA,17,18.3,NA,NA
2020-05-07,25,NA,25,18.6,NA,NA
2020-05-08,8,NA,8,18.4,NA,NA
2020-05-09,27,NA,27,18.1,NA,NA
2020-05-10,17,NA,17,18.1,NA,NA
2020-05-11,17,NA,17,18.2,NA,NA
2020-05-12,16,NA,16,17,NA,NA
2020-05-13,20,NA,20,17.7,NA,NA
2020-05-14,15,NA,15,16.6,NA,NA
2020-05-15,19,NA,19,16.1,NA,NA
2020-05-16,18,NA,18,15.5,NA,NA
2020-05-17,13,NA,13,14.5,NA,NA
2020-05-18,15,NA,15,13.1,NA,NA
2020-05-19,16,NA,16,12.3,NA,NA
2020-05-20,12,NA,12,11.7,NA,NA
2020-05-21,11,NA,11,10.4,NA,NA
2020-05-22,6,NA,6,9.7,NA,NA
2020-05-23,6,NA,6,9,NA,NA
2020-05-24,7,NA,7,8,NA,NA
2020-05-25,13,NA,13,7.8,NA,NA
2020-05-26,5,NA,5,7.5,NA,NA
2020-05-27,6,NA,6,9,NA,NA
2020-05-28,8,NA,8,9.1,NA,NA
2020-05-29,6,NA,6,9.7,NA,NA
2020-05-30,10,NA,10,9.2,NA,NA
2020-05-31,8,NA,8,9.1,NA,NA
2020-06-01,21,NA,21,9.1,NA,NA
2020-06-02,7,NA,7,8.6,NA,NA
2020-06-03,13,NA,13,8.9,NA,NA
2020-06-04,8,NA,8,8.5,NA,NA
2020-06-05,4,NA,4,9,NA,NA
2020-06-06,6,NA,6,7.3,NA,NA
2020-06-07,3,NA,3,7.7,NA,NA
2020-06-08,9,NA,9,7,NA,NA
2020-06-09,6,NA,6,7,NA,NA
2020-06-10,13,NA,13,7.5,NA,NA
2020-06-11,4,NA,4,7.3,NA,NA
2020-06-12,11,NA,11,7.5,NA,NA
2020-06-13,6,NA,6,7.2,NA,NA
2020-06-14,8,NA,8,7.1,NA,NA
2020-06-15,9,NA,9,6.8,NA,NA
2020-06-16,4,NA,4,6.6,NA,NA
