"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2021-01-10,6,NA,NA,NA,6,NA,NA,NA
2021-01-17,19,NA,NA,NA,19,NA,NA,NA
2021-01-24,38,NA,NA,NA,38,NA,NA,NA
2021-01-31,44,NA,NA,NA,44,NA,NA,NA
2021-02-07,57,NA,NA,NA,57,NA,NA,NA
2021-02-14,69,NA,NA,NA,69,NA,NA,NA
2021-02-21,85,NA,NA,NA,85,NA,NA,NA
2021-02-28,106,NA,NA,NA,106,NA,NA,NA
2021-03-07,133,NA,NA,NA,133,NA,NA,NA
2021-03-14,168,NA,NA,NA,168,NA,NA,NA
2021-03-21,195,NA,NA,NA,195,NA,NA,NA
2021-03-28,218,NA,NA,NA,218,NA,NA,NA
2021-04-04,239,NA,NA,NA,239,NA,NA,NA
2021-04-11,256,NA,NA,NA,256,NA,NA,NA
2021-04-18,271,NA,NA,NA,271,NA,NA,NA
2021-04-25,287,NA,NA,NA,287,NA,NA,NA
2021-05-02,301,NA,NA,NA,301,NA,NA,NA
2021-05-09,309,NA,NA,NA,309,NA,NA,NA
2021-05-16,319,NA,NA,NA,319,NA,NA,NA
2021-05-23,337,NA,NA,NA,337,NA,NA,NA
2021-05-30,347,NA,NA,NA,347,NA,NA,NA
2021-06-06,356,NA,NA,NA,356,NA,NA,NA
2021-06-13,367,NA,NA,NA,367,NA,NA,NA
2021-06-20,372,NA,NA,NA,372,NA,NA,NA
2021-06-27,377,NA,NA,NA,377,NA,NA,NA
2021-07-04,379,NA,NA,NA,379,NA,NA,NA
2021-07-11,380,NA,NA,NA,380,NA,NA,NA
2021-07-18,381,NA,NA,NA,381,NA,NA,NA
2021-07-25,382,NA,NA,NA,382,NA,NA,NA
2021-08-01,383,NA,NA,NA,383,NA,NA,NA
2021-08-08,384,NA,NA,NA,384,NA,NA,NA
2021-08-15,384,NA,NA,NA,384,NA,NA,NA
2021-08-22,384,NA,NA,NA,384,NA,NA,NA
2021-08-29,386,NA,NA,NA,386,NA,NA,NA
2021-09-05,386,NA,NA,NA,387,NA,NA,NA
2021-09-12,387,NA,NA,NA,388,NA,NA,NA
2021-09-19,387,NA,NA,NA,388,NA,NA,NA
2021-09-26,387,NA,NA,NA,388,NA,NA,NA
2021-10-03,387,NA,NA,NA,388,NA,NA,NA
2021-10-10,387,387,387,407,389,389,389,389
2021-10-17,NA,387,387,410,NA,389,389,389
