"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,5,NA,NA,NA,5,NA,NA,NA
2020-04-05,30,NA,NA,NA,30,NA,NA,NA
2020-04-12,84,NA,NA,NA,84,NA,NA,NA
2020-04-19,209,NA,NA,NA,209,NA,NA,NA
2020-04-26,423,NA,NA,NA,423,NA,NA,NA
2020-05-03,701,NA,NA,NA,701,NA,NA,NA
2020-05-10,1052,NA,NA,NA,1052,NA,NA,NA
2020-05-17,1425,NA,NA,NA,1425,NA,NA,NA
2020-05-24,1713,NA,NA,NA,1713,NA,NA,NA
2020-05-31,1952,NA,NA,NA,1952,NA,NA,NA
2020-06-07,2117,NA,NA,NA,2117,NA,NA,NA
2020-06-14,2261,NA,NA,NA,2261,NA,NA,NA
2020-06-21,2353,NA,NA,NA,2353,NA,NA,NA
2020-06-28,2425,NA,NA,NA,2425,NA,NA,NA
2020-07-05,2485,NA,NA,NA,2485,NA,NA,NA
2020-07-12,2548,NA,NA,NA,2548,NA,NA,NA
2020-07-19,2608,NA,NA,NA,2608,NA,NA,NA
2020-07-26,2670,NA,NA,NA,2670,NA,NA,NA
2020-08-02,2732,NA,NA,NA,2732,NA,NA,NA
2020-08-09,2775,NA,NA,NA,2775,NA,NA,NA
2020-08-16,2820,NA,NA,NA,2820,NA,NA,NA
2020-08-23,2859,NA,NA,NA,2859,NA,NA,NA
2020-08-30,2886,NA,NA,NA,2886,NA,NA,NA
2020-09-06,2919,NA,NA,NA,2919,NA,NA,NA
2020-09-13,2940,NA,NA,NA,2940,NA,NA,NA
2020-09-20,2959,NA,NA,NA,2959,NA,NA,NA
2020-09-27,2976,NA,NA,NA,2976,NA,NA,NA
2020-10-04,2995,NA,NA,NA,2995,NA,NA,NA
2020-10-11,3002,NA,NA,NA,3002,NA,NA,NA
2020-10-18,3035,NA,NA,NA,3035,NA,NA,NA
2020-10-25,3057,NA,NA,NA,3057,NA,NA,NA
2020-11-01,3088,NA,NA,NA,3088,NA,NA,NA
2020-11-08,3124,NA,NA,NA,3124,NA,NA,NA
2020-11-15,3160,NA,NA,NA,3160,NA,NA,NA
2020-11-22,3211,NA,NA,NA,3211,NA,NA,NA
