"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-22,8,NA,8,NA,NA,NA
2020-03-29,17,NA,17,NA,NA,NA
2020-04-05,48,NA,48,NA,NA,NA
2020-04-12,87,NA,87,NA,NA,NA
2020-04-19,161,NA,161,NA,NA,NA
2020-04-26,255,NA,255,NA,NA,NA
2020-05-03,340,NA,340,NA,NA,NA
2020-05-10,439,NA,439,NA,NA,NA
2020-05-17,438,NA,438,NA,NA,NA
2020-05-24,351,NA,351,NA,NA,NA
2020-05-31,324,NA,324,NA,NA,NA
2020-06-07,220,NA,220,NA,NA,NA
2020-06-14,195,NA,195,NA,NA,NA
2020-06-21,138,NA,138,NA,NA,NA
2020-06-28,116,NA,116,NA,NA,NA
2020-07-05,100,NA,100,NA,NA,NA
2020-07-12,96,NA,96,NA,NA,NA
2020-07-19,109,NA,109,NA,NA,NA
2020-07-26,92,NA,92,NA,NA,NA
2020-08-02,107,NA,107,NA,NA,NA
2020-08-09,82,NA,82,NA,NA,NA
2020-08-16,66,NA,66,NA,NA,NA
2020-08-23,59,NA,59,NA,NA,NA
2020-08-30,60,NA,60,NA,NA,NA
2020-09-06,59,NA,59,NA,NA,NA
2020-09-13,46,NA,46,NA,NA,NA
2020-09-20,48,NA,48,NA,NA,NA
2020-09-27,43,NA,43,NA,NA,NA
2020-10-04,43,NA,43,NA,NA,NA
2020-10-11,38,NA,38,NA,NA,NA
2020-10-18,47,NA,47,NA,NA,NA
2020-10-25,37,NA,37,NA,NA,NA
2020-11-01,50,NA,50,NA,NA,NA
2020-11-08,57,NA,57,NA,NA,NA
2020-11-15,59,NA,59,NA,NA,NA
2020-11-22,68,NA,68,NA,NA,NA
2020-11-29,93,NA,93,NA,NA,NA
2020-12-06,80,NA,80,NA,NA,NA
2020-12-13,100,NA,100,NA,NA,NA
2020-12-20,83,NA,83,NA,NA,NA
2020-12-27,96,NA,96,NA,NA,NA
2021-01-03,86,NA,86,NA,NA,NA
2021-01-10,121,NA,121,NA,NA,NA
2021-01-17,80,NA,80,NA,NA,NA
2021-01-24,105,NA,105,NA,NA,NA
2021-01-31,102,NA,102,NA,NA,NA
2021-02-07,82,NA,82,NA,NA,NA
2021-02-14,69,NA,69,NA,NA,NA
2021-02-21,70,NA,70,NA,NA,NA
2021-02-28,76,NA,76,NA,NA,NA
2021-03-07,126,NA,126,NA,NA,NA
2021-03-14,166,NA,166,NA,NA,NA
2021-03-21,144,NA,144,NA,NA,NA
2021-03-28,190,NA,190,NA,NA,NA
2021-04-04,205,NA,205,NA,NA,NA
2021-04-11,173,NA,173,NA,NA,NA
2021-04-18,164,NA,164,NA,NA,NA
2021-04-25,159,NA,159,NA,NA,NA
2021-05-02,163,NA,163,NA,NA,NA
2021-05-09,139,NA,139,NA,NA,NA
2021-05-16,150,NA,150,NA,NA,NA
2021-05-23,142,NA,142,NA,NA,NA
2021-05-30,134,NA,134,NA,NA,NA
2021-06-06,130,NA,130,NA,NA,NA
2021-06-13,112,NA,112,NA,NA,NA
2021-06-20,91,NA,91,NA,NA,NA
2021-06-27,83,NA,83,NA,NA,NA
2021-07-04,54,NA,54,NA,NA,NA
2021-07-11,50,NA,50,NA,NA,NA
2021-07-18,60,NA,60,NA,NA,NA
2021-07-25,37,NA,37,NA,NA,NA
2021-08-01,43,NA,43,NA,NA,NA
2021-08-08,40,NA,40,NA,NA,NA
2021-08-15,27,NA,27,NA,NA,NA
2021-08-22,13,NA,13,NA,NA,NA
2021-08-29,16,NA,16,NA,NA,NA
2021-09-05,14,NA,14,NA,NA,NA
2021-09-12,NA,22,22,NA,20,28
2021-09-19,NA,17,17,NA,15,23
2021-09-26,NA,16,16,NA,14,22
2021-10-03,NA,14,14,NA,11,21
2021-10-10,NA,15,15,NA,11,22
2021-10-17,NA,16,16,NA,11,23
2021-10-24,NA,15,15,NA,9,24
2021-10-31,NA,15,15,NA,8,25
2021-11-07,NA,15,15,NA,6,26
