"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,52,NA,52,NA,NA,NA
2020-03-22,104,NA,104,NA,NA,NA
2020-03-29,106,NA,106,NA,NA,NA
2020-04-05,93,NA,93,NA,NA,NA
2020-04-12,88,NA,88,NA,NA,NA
2020-04-19,106,NA,106,NA,NA,NA
2020-04-26,153,NA,153,NA,NA,NA
2020-05-03,217,NA,217,NA,NA,NA
2020-05-10,281,NA,281,NA,NA,NA
2020-05-17,314,NA,314,NA,NA,NA
2020-05-24,345,NA,345,NA,NA,NA
2020-05-31,343,NA,343,NA,NA,NA
2020-06-07,486,NA,486,NA,NA,NA
2020-06-14,502,NA,502,NA,NA,NA
2020-06-21,486,NA,486,NA,NA,NA
2020-06-28,395,NA,395,NA,NA,NA
2020-07-05,403,NA,403,NA,NA,NA
2020-07-12,379,NA,379,NA,NA,NA
2020-07-19,275,NA,275,NA,NA,NA
2020-07-26,214,NA,214,NA,NA,NA
2020-08-02,193,NA,193,NA,NA,NA
2020-08-09,208,NA,208,NA,NA,NA
2020-08-16,222,NA,222,NA,NA,NA
2020-08-23,183,NA,183,NA,NA,NA
2020-08-30,152,NA,152,NA,NA,NA
2020-09-06,149,NA,149,NA,NA,NA
2020-09-13,158,NA,158,NA,NA,NA
2020-09-20,134,NA,134,NA,NA,NA
2020-09-27,156,NA,156,NA,NA,NA
2020-10-04,147,NA,147,NA,NA,NA
2020-10-11,151,NA,151,NA,NA,NA
2020-10-18,148,NA,148,NA,NA,NA
2020-10-25,128,NA,128,NA,NA,NA
2020-11-01,115,NA,115,NA,NA,NA
2020-11-08,116,NA,116,NA,NA,NA
2020-11-15,107,NA,107,NA,NA,NA
2020-11-22,120,NA,120,NA,NA,NA
2020-11-29,101,NA,101,NA,NA,NA
2020-12-06,143,NA,143,NA,NA,NA
2020-12-13,134,NA,134,NA,NA,NA
2020-12-20,153,NA,153,NA,NA,NA
2020-12-27,111,NA,111,NA,NA,NA
2021-01-03,142,NA,142,NA,NA,NA
2021-01-10,128,NA,128,NA,NA,NA
2021-01-17,119,NA,119,NA,NA,NA
2021-01-24,144,NA,144,NA,NA,NA
2021-01-31,119,NA,119,NA,NA,NA
2021-02-07,175,NA,175,NA,NA,NA
2021-02-14,221,NA,221,NA,NA,NA
2021-02-21,265,NA,265,NA,NA,NA
2021-02-28,285,NA,285,NA,NA,NA
2021-03-07,448,NA,448,NA,NA,NA
2021-03-14,491,NA,491,NA,NA,NA
2021-03-21,463,NA,463,NA,NA,NA
2021-03-28,369,NA,369,NA,NA,NA
2021-04-04,360,NA,360,NA,NA,NA
2021-04-11,378,NA,378,NA,NA,NA
2021-04-18,295,NA,295,NA,NA,NA
2021-04-25,319,NA,319,NA,NA,NA
2021-05-02,289,NA,289,NA,NA,NA
2021-05-09,241,NA,241,NA,NA,NA
2021-05-16,254,NA,254,NA,NA,NA
2021-05-23,264,NA,264,NA,NA,NA
2021-05-30,196,NA,196,NA,NA,NA
2021-06-06,223,NA,223,NA,NA,NA
2021-06-13,170,NA,170,NA,NA,NA
2021-06-20,137,NA,137,NA,NA,NA
2021-06-27,125,NA,125,NA,NA,NA
2021-07-04,110,NA,110,NA,NA,NA
2021-07-11,76,NA,76,NA,NA,NA
2021-07-18,NA,64,64,NA,63,67
2021-07-25,NA,65,65,NA,64,70
2021-08-01,NA,53,53,NA,51,58
2021-08-08,NA,68,68,NA,65,73
2021-08-15,NA,57,57,NA,54,63
2021-08-22,NA,46,46,NA,41,52
2021-08-29,NA,40,40,NA,33,49
2021-09-05,NA,63,63,NA,51,79
2021-09-12,NA,54,54,NA,34,82
