"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-05-30,171,NA,NA,NA,168,NA,NA,NA
2020-05-31,179,NA,NA,NA,175,NA,NA,NA
2020-06-01,189,NA,NA,NA,184,NA,NA,NA
2020-06-02,197,NA,NA,NA,190,NA,NA,NA
2020-06-03,207,NA,NA,NA,199,NA,NA,NA
2020-06-04,213,NA,NA,NA,205,NA,NA,NA
2020-06-05,222,NA,NA,NA,213,NA,NA,NA
2020-06-06,229,NA,NA,NA,216,NA,NA,NA
2020-06-07,235,NA,NA,NA,221,NA,NA,NA
2020-06-08,243,NA,NA,NA,226,NA,NA,NA
2020-06-09,250,250,210,369,235,235,235,235
2020-06-10,NA,258,212,385,NA,242,237,252
2020-06-11,NA,265,215,401,NA,249,239,268
2020-06-12,NA,273,217,419,NA,256,241,284
2020-06-13,NA,282,219,437,NA,263,242,300
2020-06-14,NA,290,222,456,NA,269,244,315
2020-06-15,NA,299,224,476,NA,275,245,329
2020-06-16,NA,308,226,497,NA,280,247,340
2020-06-17,NA,317,229,519,NA,284,248,350
2020-06-18,NA,327,231,542,NA,287,249,358
2020-06-19,NA,336,234,565,NA,289,249,363
2020-06-20,NA,347,236,590,NA,290,249,365
2020-06-21,NA,357,239,616,NA,290,249,365
