"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,13,NA,NA,NA,13,NA,NA,NA
2020-03-22,28,NA,NA,NA,28,NA,NA,NA
2020-03-29,54,NA,NA,NA,54,NA,NA,NA
2020-04-05,104,NA,NA,NA,104,NA,NA,NA
2020-04-12,172,NA,NA,NA,172,NA,NA,NA
2020-04-19,252,NA,NA,NA,252,NA,NA,NA
2020-04-26,356,NA,NA,NA,356,NA,NA,NA
2020-05-03,441,NA,NA,NA,441,NA,NA,NA
2020-05-10,521,NA,NA,NA,521,NA,NA,NA
2020-05-17,601,NA,NA,NA,601,NA,NA,NA
2020-05-24,664,NA,NA,NA,664,NA,NA,NA
2020-05-31,703,NA,NA,NA,703,NA,NA,NA
2020-06-07,741,NA,NA,NA,741,NA,NA,NA
2020-06-14,786,NA,NA,NA,786,NA,NA,NA
2020-06-21,811,NA,NA,NA,811,NA,NA,NA
2020-06-28,830,NA,NA,NA,830,NA,NA,NA
2020-07-05,848,NA,NA,NA,848,NA,NA,NA
2020-07-12,871,NA,NA,NA,871,NA,NA,NA
2020-07-19,889,NA,NA,NA,889,NA,NA,NA
2020-07-26,915,NA,NA,NA,915,NA,NA,NA
2020-08-02,940,NA,NA,NA,940,NA,NA,NA
2020-08-09,961,NA,NA,NA,961,NA,NA,NA
2020-08-16,987,NA,NA,NA,987,NA,NA,NA
2020-08-23,1011,NA,NA,NA,1011,NA,NA,NA
2020-08-30,1044,NA,NA,NA,1044,NA,NA,NA
2020-09-06,1077,NA,NA,NA,1077,NA,NA,NA
2020-09-13,1101,NA,NA,NA,1101,NA,NA,NA
2020-09-20,1128,NA,NA,NA,1128,NA,NA,NA
2020-09-27,1148,NA,NA,NA,1148,NA,NA,NA
2020-10-04,1163,NA,NA,NA,1163,NA,NA,NA
2020-10-11,1190,NA,NA,NA,1190,NA,NA,NA
2020-10-18,1212,NA,NA,NA,1212,NA,NA,NA
2020-10-25,1225,NA,NA,NA,1225,NA,NA,NA
2020-11-01,1256,NA,NA,NA,1256,NA,NA,NA
2020-11-08,1283,NA,NA,NA,1283,NA,NA,NA
2020-11-15,1307,NA,NA,NA,1307,NA,NA,NA
2020-11-22,1344,NA,NA,NA,1344,NA,NA,NA
2020-11-29,1378,NA,NA,NA,1378,NA,NA,NA
2020-12-06,1405,NA,NA,NA,1405,NA,NA,NA
2020-12-13,1432,NA,NA,NA,1432,NA,NA,NA
2020-12-20,1474,NA,NA,NA,1474,NA,NA,NA
2020-12-27,1509,NA,NA,NA,1509,NA,NA,NA
2021-01-03,1549,NA,NA,NA,1549,NA,NA,NA
2021-01-10,1586,NA,NA,NA,1586,NA,NA,NA
2021-01-17,1607,NA,NA,NA,1607,NA,NA,NA
2021-01-24,1636,NA,NA,NA,1636,NA,NA,NA
2021-01-31,1652,NA,NA,NA,1652,NA,NA,NA
2021-02-07,1673,NA,NA,NA,1673,NA,NA,NA
2021-02-14,1694,NA,NA,NA,1694,NA,NA,NA
2021-02-21,1722,NA,NA,NA,1722,NA,NA,NA
2021-02-28,1754,NA,NA,NA,1754,NA,NA,NA
2021-03-07,1789,NA,NA,NA,1789,NA,NA,NA
2021-03-14,1851,NA,NA,NA,1851,NA,NA,NA
2021-03-21,1919,NA,NA,NA,1919,NA,NA,NA
2021-03-28,2000,NA,NA,NA,2000,NA,NA,NA
2021-04-04,2072,NA,NA,NA,2072,NA,NA,NA
2021-04-11,2142,NA,NA,NA,2142,NA,NA,NA
2021-04-18,2211,NA,NA,NA,2211,NA,NA,NA
2021-04-25,2267,NA,NA,NA,2267,NA,NA,NA
2021-05-02,2351,NA,NA,NA,2351,NA,NA,NA
2021-05-09,2430,NA,NA,NA,2430,NA,NA,NA
2021-05-16,2497,NA,NA,NA,2497,NA,NA,NA
2021-05-23,2552,NA,NA,NA,2552,NA,NA,NA
2021-05-30,2610,NA,NA,NA,2610,NA,NA,NA
2021-06-06,2671,NA,NA,NA,2671,NA,NA,NA
2021-06-13,2719,NA,NA,NA,2719,NA,NA,NA
2021-06-20,2762,NA,NA,NA,2762,NA,NA,NA
2021-06-27,2793,NA,NA,NA,2793,NA,NA,NA
2021-07-04,2839,NA,NA,NA,2839,NA,NA,NA
2021-07-11,2921,NA,NA,NA,2921,NA,NA,NA
2021-07-18,2961,NA,NA,NA,2961,NA,NA,NA
2021-07-25,3016,NA,NA,NA,3016,NA,NA,NA
2021-08-01,3061,NA,NA,NA,3061,NA,NA,NA
2021-08-08,3101,NA,NA,NA,3101,NA,NA,NA
2021-08-15,3141,NA,NA,NA,3141,NA,NA,NA
2021-08-22,3192,NA,NA,NA,3192,NA,NA,NA
2021-08-29,3235,NA,NA,NA,3235,NA,NA,NA
2021-09-05,3271,NA,NA,NA,3271,NA,NA,NA
2021-09-12,3299,NA,NA,NA,3300,NA,NA,NA
2021-09-19,3323,NA,NA,NA,3323,NA,NA,NA
2021-09-26,3335,NA,NA,NA,3334,NA,NA,NA
2021-10-03,3348,NA,NA,NA,3346,NA,NA,NA
2021-10-10,3361,NA,NA,NA,3360,NA,NA,NA
2021-10-17,3377,NA,NA,NA,3369,NA,NA,NA
2021-10-24,3392,3392,3365,3446,3374,3374,3374,3374
2021-10-31,NA,3408,3373,3475,NA,3375,3375,3376
