"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-30,1,NA,NA,NA,1,NA,NA,NA
2020-03-31,3,NA,NA,NA,3,NA,NA,NA
2020-04-01,4,NA,NA,NA,4,NA,NA,NA
2020-04-02,7,NA,NA,NA,7,NA,NA,NA
2020-04-04,10,NA,NA,NA,10,NA,NA,NA
2020-04-05,11,NA,NA,NA,11,NA,NA,NA
2020-04-07,12,NA,NA,NA,12,NA,NA,NA
2020-04-09,13,NA,NA,NA,13,NA,NA,NA
2020-04-10,16,NA,NA,NA,16,NA,NA,NA
2020-04-12,21,NA,NA,NA,21,NA,NA,NA
2020-04-13,23,NA,NA,NA,23,NA,NA,NA
2020-04-15,26,NA,NA,NA,26,NA,NA,NA
2020-04-16,28,NA,NA,NA,28,NA,NA,NA
2020-04-17,29,NA,NA,NA,29,NA,NA,NA
2020-04-18,31,NA,NA,NA,31,NA,NA,NA
2020-04-19,34,NA,NA,NA,34,NA,NA,NA
2020-04-20,36,NA,NA,NA,36,NA,NA,NA
2020-04-21,37,NA,NA,NA,37,NA,NA,NA
2020-04-22,39,NA,NA,NA,39,NA,NA,NA
2020-04-24,48,NA,NA,NA,48,NA,NA,NA
2020-04-25,50,NA,NA,NA,50,NA,NA,NA
2020-04-26,52,NA,NA,NA,52,NA,NA,NA
2020-04-27,54,NA,NA,NA,54,NA,NA,NA
2020-04-28,59,NA,NA,NA,59,NA,NA,NA
2020-04-29,62,NA,NA,NA,62,NA,NA,NA
2020-04-30,64,NA,NA,NA,64,NA,NA,NA
2020-05-01,65,NA,NA,NA,66,NA,NA,NA
2020-05-02,69,NA,NA,NA,70,NA,NA,NA
2020-05-03,73,NA,NA,NA,74,NA,NA,NA
2020-05-04,79,NA,NA,NA,80,NA,NA,NA
2020-05-05,80,NA,NA,NA,81,NA,NA,NA
2020-05-06,84,NA,NA,NA,85,NA,NA,NA
2020-05-07,89,NA,NA,NA,90,NA,NA,NA
2020-05-08,92,NA,NA,NA,93,NA,NA,NA
2020-05-09,95,NA,NA,NA,95,NA,NA,NA
2020-05-10,97,NA,NA,NA,96,NA,NA,NA
2020-05-11,99,NA,NA,NA,97,NA,NA,NA
2020-05-12,100,NA,NA,NA,97,NA,NA,NA
2020-05-13,105,NA,NA,NA,101,NA,NA,NA
2020-05-14,108,NA,NA,NA,106,NA,NA,NA
2020-05-15,116,NA,NA,NA,112,NA,NA,NA
2020-05-16,118,NA,NA,NA,112,NA,NA,NA
2020-05-17,120,NA,NA,NA,112,NA,NA,NA
2020-05-18,125,NA,NA,NA,115,NA,NA,NA
2020-05-19,127,NA,NA,NA,115,NA,NA,NA
2020-05-20,130,NA,NA,NA,116,NA,NA,NA
2020-05-21,132,NA,NA,NA,116,NA,NA,NA
2020-05-22,137,NA,NA,NA,120,NA,NA,NA
2020-05-23,143,NA,NA,NA,123,NA,NA,NA
2020-05-24,147,NA,NA,NA,124,NA,NA,NA
2020-05-25,152,NA,NA,NA,126,NA,NA,NA
2020-05-26,158,NA,NA,NA,129,NA,NA,NA
2020-05-27,163,NA,NA,NA,131,NA,NA,NA
2020-05-28,167,NA,NA,NA,132,NA,NA,NA
2020-05-29,170,NA,NA,NA,132,NA,NA,NA
2020-05-30,173,NA,NA,NA,132,NA,NA,NA
2020-05-31,176,NA,NA,NA,132,NA,NA,NA
2020-06-01,179,NA,NA,NA,132,NA,NA,NA
2020-06-02,182,NA,NA,NA,132,NA,NA,NA
2020-06-03,185,185,127,321,132,132,132,132
2020-06-04,NA,188,127,330,NA,133,132,134
2020-06-05,NA,191,127,339,NA,133,132,136
2020-06-06,NA,195,127,348,NA,134,132,138
2020-06-07,NA,198,127,357,NA,135,132,140
2020-06-08,NA,201,127,367,NA,135,132,141
2020-06-09,NA,205,127,377,NA,136,132,143
2020-06-10,NA,208,127,387,NA,136,132,144
2020-06-11,NA,212,127,398,NA,136,132,144
