"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,50,NA,NA,NA,50,NA,NA,NA
2020-03-22,100,NA,NA,NA,100,NA,NA,NA
2020-03-29,180,NA,NA,NA,180,NA,NA,NA
2020-04-05,327,NA,NA,NA,327,NA,NA,NA
2020-04-12,506,NA,NA,NA,506,NA,NA,NA
2020-04-19,736,NA,NA,NA,736,NA,NA,NA
2020-04-26,979,NA,NA,NA,979,NA,NA,NA
2020-05-03,1273,NA,NA,NA,1273,NA,NA,NA
2020-05-10,1519,NA,NA,NA,1519,NA,NA,NA
2020-05-17,1739,NA,NA,NA,1739,NA,NA,NA
2020-05-24,1963,NA,NA,NA,1963,NA,NA,NA
2020-05-31,2102,NA,NA,NA,2102,NA,NA,NA
2020-06-07,2234,NA,NA,NA,2234,NA,NA,NA
2020-06-14,2345,NA,NA,NA,2345,NA,NA,NA
2020-06-21,2437,NA,NA,NA,2437,NA,NA,NA
2020-06-28,2523,NA,NA,NA,2523,NA,NA,NA
2020-07-05,2602,NA,NA,NA,2602,NA,NA,NA
2020-07-12,2688,NA,NA,NA,2688,NA,NA,NA
2020-07-19,2762,NA,NA,NA,2762,NA,NA,NA
2020-07-26,2837,NA,NA,NA,2837,NA,NA,NA
2020-08-02,2923,NA,NA,NA,2923,NA,NA,NA
2020-08-09,3007,NA,NA,NA,3007,NA,NA,NA
2020-08-16,3080,NA,NA,NA,3080,NA,NA,NA
2020-08-23,3176,NA,NA,NA,3176,NA,NA,NA
2020-08-30,3268,NA,NA,NA,3268,NA,NA,NA
2020-09-06,3361,NA,NA,NA,3361,NA,NA,NA
2020-09-13,3475,NA,NA,NA,3475,NA,NA,NA
2020-09-20,3583,NA,NA,NA,3583,NA,NA,NA
2020-09-27,3662,NA,NA,NA,3662,NA,NA,NA
2020-10-04,3775,NA,NA,NA,3775,NA,NA,NA
2020-10-11,3878,NA,NA,NA,3878,NA,NA,NA
2020-10-18,3947,NA,NA,NA,3947,NA,NA,NA
2020-10-25,4025,NA,NA,NA,4025,NA,NA,NA
2020-11-01,4125,NA,NA,NA,4125,NA,NA,NA
2020-11-08,4207,NA,NA,NA,4207,NA,NA,NA
2020-11-15,4320,NA,NA,NA,4320,NA,NA,NA
2020-11-22,4450,NA,NA,NA,4450,NA,NA,NA
2020-11-29,4580,NA,NA,NA,4580,NA,NA,NA
2020-12-06,4713,NA,NA,NA,4713,NA,NA,NA
2020-12-13,4822,NA,NA,NA,4822,NA,NA,NA
2020-12-20,4941,NA,NA,NA,4941,NA,NA,NA
2020-12-27,5037,NA,NA,NA,5037,NA,NA,NA
2021-01-03,5158,NA,NA,NA,5158,NA,NA,NA
2021-01-10,5259,NA,NA,NA,5259,NA,NA,NA
2021-01-17,5335,NA,NA,NA,5335,NA,NA,NA
2021-01-24,5429,NA,NA,NA,5429,NA,NA,NA
2021-01-31,5498,NA,NA,NA,5498,NA,NA,NA
2021-02-07,5565,NA,NA,NA,5565,NA,NA,NA
2021-02-14,5634,NA,NA,NA,5634,NA,NA,NA
2021-02-21,5704,NA,NA,NA,5704,NA,NA,NA
2021-02-28,5803,NA,NA,NA,5803,NA,NA,NA
2021-03-07,5953,NA,NA,NA,5953,NA,NA,NA
2021-03-14,6130,NA,NA,NA,6130,NA,NA,NA
2021-03-21,6345,NA,NA,NA,6345,NA,NA,NA
2021-03-28,6557,NA,NA,NA,6557,NA,NA,NA
2021-04-04,6741,NA,NA,NA,6741,NA,NA,NA
2021-04-11,6901,NA,NA,NA,6901,NA,NA,NA
2021-04-18,7029,NA,NA,NA,7029,NA,NA,NA
2021-04-25,7169,NA,NA,NA,7169,NA,NA,NA
2021-05-02,7296,NA,NA,NA,7296,NA,NA,NA
2021-05-09,7414,NA,NA,NA,7414,NA,NA,NA
2021-05-16,7555,NA,NA,NA,7549,NA,NA,NA
2021-05-23,7681,NA,NA,NA,7664,NA,NA,NA
2021-05-30,7765,NA,NA,NA,7734,NA,NA,NA
2021-06-06,7827,NA,NA,NA,7778,NA,NA,NA
2021-06-13,7905,NA,NA,NA,7828,NA,NA,NA
2021-06-20,7984,NA,NA,NA,7868,NA,NA,NA
2021-06-27,8076,NA,NA,NA,7902,NA,NA,NA
2021-07-04,8153,NA,NA,NA,7913,NA,NA,NA
2021-07-11,8245,8245,8097,8475,7917,7917,7917,7917
2021-07-18,NA,8328,8147,8615,NA,7919,7918,7920
