"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,24,NA,24,NA,NA,NA
2020-03-22,50,NA,50,NA,NA,NA
2020-03-29,80,NA,80,NA,NA,NA
2020-04-05,147,NA,147,NA,NA,NA
2020-04-12,178,NA,178,NA,NA,NA
2020-04-19,229,NA,229,NA,NA,NA
2020-04-26,239,NA,239,NA,NA,NA
2020-05-03,292,NA,292,NA,NA,NA
2020-05-10,242,NA,242,NA,NA,NA
2020-05-17,219,NA,219,NA,NA,NA
2020-05-24,220,NA,220,NA,NA,NA
2020-05-31,135,NA,135,NA,NA,NA
2020-06-07,128,NA,128,NA,NA,NA
2020-06-14,109,NA,109,NA,NA,NA
2020-06-21,90,NA,90,NA,NA,NA
2020-06-28,83,NA,83,NA,NA,NA
2020-07-05,76,NA,76,NA,NA,NA
2020-07-12,80,NA,80,NA,NA,NA
2020-07-19,71,NA,71,NA,NA,NA
2020-07-26,68,NA,68,NA,NA,NA
2020-08-02,78,NA,78,NA,NA,NA
2020-08-09,82,NA,82,NA,NA,NA
2020-08-16,72,NA,72,NA,NA,NA
2020-08-23,93,NA,93,NA,NA,NA
2020-08-30,92,NA,92,NA,NA,NA
2020-09-06,86,NA,86,NA,NA,NA
2020-09-13,107,NA,107,NA,NA,NA
2020-09-20,103,NA,103,NA,NA,NA
2020-09-27,78,NA,78,NA,NA,NA
2020-10-04,105,NA,105,NA,NA,NA
2020-10-11,84,NA,84,NA,NA,NA
2020-10-18,53,NA,53,NA,NA,NA
2020-10-25,67,NA,67,NA,NA,NA
2020-11-01,88,NA,88,NA,NA,NA
2020-11-08,60,NA,60,NA,NA,NA
2020-11-15,83,NA,83,NA,NA,NA
2020-11-22,92,NA,92,NA,NA,NA
2020-11-29,99,NA,99,NA,NA,NA
2020-12-06,106,NA,106,NA,NA,NA
2020-12-13,79,NA,79,NA,NA,NA
2020-12-20,73,NA,73,NA,NA,NA
2020-12-27,50,NA,50,NA,NA,NA
2021-01-03,63,NA,63,NA,NA,NA
2021-01-10,49,NA,49,NA,NA,NA
2021-01-17,39,NA,39,NA,NA,NA
2021-01-24,43,NA,32,NA,NA,NA
2021-01-31,NA,19,19,NA,19,23
2021-02-07,NA,35,35,NA,31,42
2021-02-14,NA,39,39,NA,34,48
2021-02-21,NA,42,42,NA,35,53
2021-02-28,NA,54,54,NA,45,69
2021-03-07,NA,61,61,NA,49,80
2021-03-14,NA,76,76,NA,59,101
2021-03-21,NA,79,79,NA,55,111
2021-03-28,NA,87,87,NA,51,152
