"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,5,NA,NA,NA,5,NA,NA,NA
2020-03-22,21,NA,NA,NA,21,NA,NA,NA
2020-03-29,64,NA,NA,NA,64,NA,NA,NA
2020-04-05,111,NA,NA,NA,111,NA,NA,NA
2020-04-12,184,NA,NA,NA,184,NA,NA,NA
2020-04-19,273,NA,NA,NA,273,NA,NA,NA
2020-04-26,413,NA,NA,NA,413,NA,NA,NA
2020-05-03,559,NA,NA,NA,559,NA,NA,NA
2020-05-10,709,NA,NA,NA,709,NA,NA,NA
2020-05-17,832,NA,NA,NA,832,NA,NA,NA
2020-05-24,967,NA,NA,NA,967,NA,NA,NA
2020-05-31,1078,NA,NA,NA,1078,NA,NA,NA
2020-06-07,1199,NA,NA,NA,1199,NA,NA,NA
2020-06-14,1274,NA,NA,NA,1274,NA,NA,NA
2020-06-21,1352,NA,NA,NA,1352,NA,NA,NA
2020-06-28,1420,NA,NA,NA,1420,NA,NA,NA
2020-07-05,1492,NA,NA,NA,1492,NA,NA,NA
2020-07-12,1548,NA,NA,NA,1548,NA,NA,NA
2020-07-19,1603,NA,NA,NA,1603,NA,NA,NA
2020-07-26,1655,NA,NA,NA,1655,NA,NA,NA
2020-08-02,1716,NA,NA,NA,1716,NA,NA,NA
2020-08-09,1775,NA,NA,NA,1775,NA,NA,NA
2020-08-16,1832,NA,NA,NA,1832,NA,NA,NA
2020-08-23,1896,NA,NA,NA,1896,NA,NA,NA
2020-08-30,1977,NA,NA,NA,1977,NA,NA,NA
2020-09-06,2066,NA,NA,NA,2066,NA,NA,NA
2020-09-13,2125,NA,NA,NA,2125,NA,NA,NA
2020-09-20,2189,NA,NA,NA,2189,NA,NA,NA
2020-09-27,2260,NA,NA,NA,2260,NA,NA,NA
2020-10-04,2339,NA,NA,NA,2339,NA,NA,NA
2020-10-11,2417,NA,NA,NA,2417,NA,NA,NA
2020-10-18,2490,NA,NA,NA,2490,NA,NA,NA
2020-10-25,2591,NA,NA,NA,2591,NA,NA,NA
2020-11-01,2698,NA,NA,NA,2698,NA,NA,NA
2020-11-08,2827,NA,NA,NA,2827,NA,NA,NA
2020-11-15,3005,NA,NA,NA,3005,NA,NA,NA
2020-11-22,3195,NA,NA,NA,3195,NA,NA,NA
2020-11-29,3409,NA,NA,NA,3409,NA,NA,NA
2020-12-06,3661,NA,NA,NA,3661,NA,NA,NA
2020-12-13,3862,NA,NA,NA,3862,NA,NA,NA
2020-12-20,4011,NA,NA,NA,4011,NA,NA,NA
2020-12-27,4153,NA,NA,NA,4153,NA,NA,NA
2021-01-03,4283,NA,NA,NA,4283,NA,NA,NA
2021-01-10,4399,NA,NA,NA,4399,NA,NA,NA
2021-01-17,4483,NA,NA,NA,4483,NA,NA,NA
2021-01-24,4561,NA,NA,NA,4561,NA,NA,NA
2021-01-31,4605,NA,NA,NA,4605,NA,NA,NA
2021-02-07,4680,NA,NA,NA,4680,NA,NA,NA
2021-02-14,4742,NA,NA,NA,4742,NA,NA,NA
2021-02-21,4817,NA,NA,NA,4817,NA,NA,NA
2021-02-28,4914,NA,NA,NA,4914,NA,NA,NA
2021-03-07,5078,NA,NA,NA,5078,NA,NA,NA
2021-03-14,5273,NA,NA,NA,5273,NA,NA,NA
2021-03-21,5461,NA,NA,NA,5461,NA,NA,NA
2021-03-28,5653,NA,NA,NA,5653,NA,NA,NA
2021-04-04,5785,NA,NA,NA,5785,NA,NA,NA
2021-04-11,5935,NA,NA,NA,5935,NA,NA,NA
2021-04-18,6084,NA,NA,NA,6084,NA,NA,NA
2021-04-25,6226,NA,NA,NA,6226,NA,NA,NA
2021-05-02,6382,NA,NA,NA,6382,NA,NA,NA
2021-05-09,6554,NA,NA,NA,6554,NA,NA,NA
2021-05-16,6704,NA,NA,NA,6704,NA,NA,NA
2021-05-23,6839,NA,NA,NA,6839,NA,NA,NA
2021-05-30,6962,NA,NA,NA,6962,NA,NA,NA
2021-06-06,7048,NA,NA,NA,7048,NA,NA,NA
2021-06-13,7111,NA,NA,NA,7111,NA,NA,NA
2021-06-20,7174,NA,NA,NA,7174,NA,NA,NA
2021-06-27,7227,NA,NA,NA,7227,NA,NA,NA
2021-07-04,7286,NA,NA,NA,7286,NA,NA,NA
2021-07-11,7340,NA,NA,NA,7340,NA,NA,NA
2021-07-18,7377,NA,NA,NA,7377,NA,NA,NA
2021-07-25,7436,NA,NA,NA,7436,NA,NA,NA
2021-08-01,7478,NA,NA,NA,7478,NA,NA,NA
2021-08-08,7541,NA,NA,NA,7541,NA,NA,NA
2021-08-15,7601,NA,NA,NA,7601,NA,NA,NA
2021-08-22,7669,NA,NA,NA,7669,NA,NA,NA
2021-08-29,7733,NA,NA,NA,7733,NA,NA,NA
2021-09-05,7796,NA,NA,NA,7796,NA,NA,NA
2021-09-12,7836,NA,NA,NA,7836,NA,NA,NA
2021-09-19,7877,NA,NA,NA,7877,NA,NA,NA
2021-09-26,7925,NA,NA,NA,7925,NA,NA,NA
2021-10-03,7943,NA,NA,NA,7943,NA,NA,NA
2021-10-10,7966,NA,NA,NA,7966,NA,NA,NA
2021-10-17,7980,NA,NA,NA,7980,NA,NA,NA
2021-10-24,7989,NA,NA,NA,7989,NA,NA,NA
2021-10-31,7999,NA,NA,NA,7999,NA,NA,NA
2021-11-07,8002,NA,NA,NA,8002,NA,NA,NA
2021-11-14,8004,NA,NA,NA,8004,NA,NA,NA
2021-11-21,8007,NA,NA,NA,8007,NA,NA,NA
2021-11-28,8010,NA,NA,NA,8010,NA,NA,NA
2021-12-05,8020,NA,NA,NA,8020,NA,NA,NA
2021-12-12,8023,NA,NA,NA,8023,NA,NA,NA
2021-12-19,8028,NA,NA,NA,8028,NA,NA,NA
2021-12-26,8036,NA,NA,NA,8036,NA,NA,NA
2022-01-02,8065,NA,NA,NA,8065,NA,NA,NA
2022-01-09,8139,NA,NA,NA,8139,NA,NA,NA
2022-01-16,8276,NA,NA,NA,8276,NA,NA,NA
2022-01-23,8437,NA,NA,NA,8437,NA,NA,NA
2022-01-30,8548,NA,NA,NA,8548,NA,NA,NA
2022-02-06,8592,NA,NA,NA,8592,NA,NA,NA
2022-02-13,8608,NA,NA,NA,8608,NA,NA,NA
2022-02-20,8622,NA,NA,NA,8622,NA,NA,NA
2022-02-27,8627,NA,NA,NA,8627,NA,NA,NA
2022-03-06,8636,NA,NA,NA,8636,NA,NA,NA
