"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-04-03,56,NA,NA,NA,56,NA,NA,NA
2020-04-04,62,NA,NA,NA,62,NA,NA,NA
2020-04-05,70,NA,NA,NA,70,NA,NA,NA
2020-04-06,80,NA,NA,NA,80,NA,NA,NA
2020-04-07,91,NA,NA,NA,91,NA,NA,NA
2020-04-08,101,NA,NA,NA,101,NA,NA,NA
2020-04-09,110,NA,NA,NA,110,NA,NA,NA
2020-04-10,121,NA,NA,NA,121,NA,NA,NA
2020-04-11,133,NA,NA,NA,133,NA,NA,NA
2020-04-12,148,NA,NA,NA,148,NA,NA,NA
2020-04-13,167,NA,NA,NA,167,NA,NA,NA
2020-04-14,185,NA,NA,NA,185,NA,NA,NA
2020-04-15,208,NA,NA,NA,208,NA,NA,NA
2020-04-16,232,NA,NA,NA,232,NA,NA,NA
2020-04-17,247,NA,NA,NA,247,NA,NA,NA
2020-04-18,269,NA,NA,NA,269,NA,NA,NA
2020-04-19,291,NA,NA,NA,291,NA,NA,NA
2020-04-20,323,NA,NA,NA,323,NA,NA,NA
2020-04-21,344,NA,NA,NA,344,NA,NA,NA
2020-04-22,363,NA,NA,NA,363,NA,NA,NA
2020-04-23,392,NA,NA,NA,392,NA,NA,NA
2020-04-24,423,NA,NA,NA,423,NA,NA,NA
2020-04-25,449,NA,NA,NA,450,NA,NA,NA
2020-04-26,477,NA,NA,NA,478,NA,NA,NA
2020-04-27,496,NA,NA,NA,497,NA,NA,NA
2020-04-28,535,NA,NA,NA,538,NA,NA,NA
2020-04-29,567,NA,NA,NA,570,NA,NA,NA
2020-04-30,605,NA,NA,NA,609,NA,NA,NA
2020-05-01,639,NA,NA,NA,643,NA,NA,NA
2020-05-02,683,NA,NA,NA,687,NA,NA,NA
2020-05-03,724,NA,NA,NA,727,NA,NA,NA
2020-05-04,763,NA,NA,NA,765,NA,NA,NA
2020-05-05,803,NA,NA,NA,805,NA,NA,NA
2020-05-06,848,NA,NA,NA,850,NA,NA,NA
2020-05-07,888,NA,NA,NA,888,NA,NA,NA
2020-05-08,930,NA,NA,NA,927,NA,NA,NA
2020-05-09,973,NA,NA,NA,967,NA,NA,NA
2020-05-10,1007,NA,NA,NA,997,NA,NA,NA
2020-05-11,1047,NA,NA,NA,1033,NA,NA,NA
2020-05-12,1091,NA,NA,NA,1070,NA,NA,NA
2020-05-13,1130,NA,NA,NA,1099,NA,NA,NA
2020-05-14,1171,NA,NA,NA,1132,NA,NA,NA
2020-05-15,1204,NA,NA,NA,1154,NA,NA,NA
2020-05-16,1245,NA,NA,NA,1185,NA,NA,NA
2020-05-17,1291,NA,NA,NA,1220,NA,NA,NA
2020-05-18,1324,NA,NA,NA,1239,NA,NA,NA
2020-05-19,1362,NA,NA,NA,1263,NA,NA,NA
2020-05-20,1389,NA,NA,NA,1274,NA,NA,NA
2020-05-21,1423,NA,NA,NA,1293,NA,NA,NA
2020-05-22,1465,NA,NA,NA,1315,NA,NA,NA
2020-05-23,1502,NA,NA,NA,1334,NA,NA,NA
2020-05-24,1543,NA,NA,NA,1354,NA,NA,NA
2020-05-25,1584,NA,NA,NA,1372,NA,NA,NA
2020-05-26,1613,NA,NA,NA,1379,NA,NA,NA
2020-05-27,1649,NA,NA,NA,1392,NA,NA,NA
2020-05-28,1683,NA,NA,NA,1399,NA,NA,NA
2020-05-29,1724,NA,NA,NA,1414,NA,NA,NA
2020-05-30,1761,NA,NA,NA,1427,NA,NA,NA
2020-05-31,1800,NA,NA,NA,1436,NA,NA,NA
2020-06-01,1841,NA,NA,NA,1448,NA,NA,NA
2020-06-02,1876,1876,1648,2177,1448,1448,1448,1448
2020-06-03,NA,1919,1676,2237,NA,1459,1455,1465
2020-06-04,NA,1960,1703,2298,NA,1470,1462,1480
2020-06-05,NA,2002,1730,2359,NA,1478,1467,1493
2020-06-06,NA,2045,1757,2423,NA,1486,1472,1505
2020-06-07,NA,2089,1785,2488,NA,1493,1476,1515
2020-06-08,NA,2134,1813,2555,NA,1498,1479,1522
2020-06-09,NA,2180,1842,2624,NA,1501,1481,1527
