"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-17,6,NA,NA,NA,6,NA,NA,NA
2020-03-18,9,NA,NA,NA,9,NA,NA,NA
2020-03-19,16,NA,NA,NA,16,NA,NA,NA
2020-03-20,24,NA,NA,NA,24,NA,NA,NA
2020-03-21,27,NA,NA,NA,27,NA,NA,NA
2020-03-22,36,NA,NA,NA,36,NA,NA,NA
2020-03-23,46,NA,NA,NA,46,NA,NA,NA
2020-03-24,53,NA,NA,NA,53,NA,NA,NA
2020-03-25,67,NA,NA,NA,67,NA,NA,NA
2020-03-26,83,NA,NA,NA,83,NA,NA,NA
2020-03-27,99,NA,NA,NA,99,NA,NA,NA
2020-03-28,110,NA,NA,NA,110,NA,NA,NA
2020-03-29,126,NA,NA,NA,126,NA,NA,NA
2020-03-30,144,NA,NA,NA,144,NA,NA,NA
2020-03-31,172,NA,NA,NA,172,NA,NA,NA
2020-04-01,195,NA,NA,NA,195,NA,NA,NA
2020-04-02,225,NA,NA,NA,225,NA,NA,NA
2020-04-03,255,NA,NA,NA,255,NA,NA,NA
2020-04-04,291,NA,NA,NA,291,NA,NA,NA
2020-04-05,331,NA,NA,NA,331,NA,NA,NA
2020-04-06,369,NA,NA,NA,369,NA,NA,NA
2020-04-07,404,NA,NA,NA,404,NA,NA,NA
2020-04-08,452,NA,NA,NA,452,NA,NA,NA
2020-04-09,497,NA,NA,NA,497,NA,NA,NA
2020-04-10,548,NA,NA,NA,548,NA,NA,NA
2020-04-11,595,NA,NA,NA,595,NA,NA,NA
2020-04-12,662,NA,NA,NA,662,NA,NA,NA
2020-04-13,729,NA,NA,NA,729,NA,NA,NA
2020-04-14,795,NA,NA,NA,795,NA,NA,NA
2020-04-15,879,NA,NA,NA,879,NA,NA,NA
2020-04-16,958,NA,NA,NA,958,NA,NA,NA
2020-04-17,1044,NA,NA,NA,1044,NA,NA,NA
2020-04-18,1140,NA,NA,NA,1140,NA,NA,NA
