"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,395,NA,NA,NA,395,NA,NA,NA
2020-03-22,1031,NA,NA,NA,1031,NA,NA,NA
2020-03-29,1849,NA,NA,NA,1849,NA,NA,NA
2020-04-05,3156,NA,NA,NA,3156,NA,NA,NA
2020-04-12,5078,NA,NA,NA,5078,NA,NA,NA
2020-04-19,7590,NA,NA,NA,7590,NA,NA,NA
2020-04-26,10623,NA,NA,NA,10623,NA,NA,NA
2020-05-03,13595,NA,NA,NA,13595,NA,NA,NA
2020-05-10,16153,NA,NA,NA,16153,NA,NA,NA
2020-05-17,18185,NA,NA,NA,18185,NA,NA,NA
2020-05-24,19748,NA,NA,NA,19748,NA,NA,NA
2020-05-31,20889,NA,NA,NA,20889,NA,NA,NA
2020-06-07,21996,NA,NA,NA,21996,NA,NA,NA
2020-06-14,22886,NA,NA,NA,22886,NA,NA,NA
2020-06-21,23699,NA,NA,NA,23699,NA,NA,NA
2020-06-28,24399,NA,NA,NA,24399,NA,NA,NA
2020-07-05,25140,NA,NA,NA,25140,NA,NA,NA
2020-07-12,25871,NA,NA,NA,25871,NA,NA,NA
2020-07-19,26569,NA,NA,NA,26569,NA,NA,NA
2020-07-26,27332,NA,NA,NA,27332,NA,NA,NA
2020-08-02,28046,NA,NA,NA,28046,NA,NA,NA
2020-08-09,28746,NA,NA,NA,28746,NA,NA,NA
2020-08-16,29548,NA,NA,NA,29548,NA,NA,NA
2020-08-23,30338,NA,NA,NA,30338,NA,NA,NA
2020-08-30,31235,NA,NA,NA,31235,NA,NA,NA
2020-09-06,32217,NA,NA,NA,32217,NA,NA,NA
2020-09-13,33153,NA,NA,NA,33153,NA,NA,NA
2020-09-20,33977,NA,NA,NA,33977,NA,NA,NA
2020-09-27,34726,NA,NA,NA,34726,NA,NA,NA
2020-10-04,35624,NA,NA,NA,35624,NA,NA,NA
2020-10-11,36425,NA,NA,NA,36425,NA,NA,NA
2020-10-18,37182,NA,NA,NA,37182,NA,NA,NA
2020-10-25,38025,NA,NA,NA,38025,NA,NA,NA
2020-11-01,39084,NA,NA,NA,39084,NA,NA,NA
2020-11-08,40282,NA,NA,NA,40282,NA,NA,NA
2020-11-15,41787,NA,NA,NA,41787,NA,NA,NA
2020-11-22,43518,NA,NA,NA,43518,NA,NA,NA
2020-11-29,45279,NA,NA,NA,45279,NA,NA,NA
2020-12-06,47290,NA,NA,NA,47290,NA,NA,NA
2020-12-13,49112,NA,NA,NA,49112,NA,NA,NA
2020-12-20,50759,NA,NA,NA,50759,NA,NA,NA
2020-12-27,52163,NA,NA,NA,52163,NA,NA,NA
2021-01-03,53609,NA,NA,NA,53609,NA,NA,NA
2021-01-10,54967,NA,NA,NA,54967,NA,NA,NA
2021-01-17,56068,NA,NA,NA,56068,NA,NA,NA
2021-01-24,56987,NA,NA,NA,56987,NA,NA,NA
2021-01-31,57793,NA,NA,NA,57793,NA,NA,NA
2021-02-07,58598,NA,NA,NA,58598,NA,NA,NA
2021-02-14,59365,NA,NA,NA,59365,NA,NA,NA
2021-02-21,60311,NA,NA,NA,60311,NA,NA,NA
2021-02-28,61299,NA,NA,NA,61299,NA,NA,NA
2021-03-07,62846,NA,NA,NA,62846,NA,NA,NA
2021-03-14,64799,NA,NA,NA,64799,NA,NA,NA
2021-03-21,67059,NA,NA,NA,67059,NA,NA,NA
2021-03-28,69103,NA,NA,NA,69103,NA,NA,NA
2021-04-04,71190,NA,NA,NA,71190,NA,NA,NA
2021-04-11,72942,NA,NA,NA,72942,NA,NA,NA
2021-04-18,74679,NA,NA,NA,74679,NA,NA,NA
2021-04-25,76331,NA,NA,NA,76331,NA,NA,NA
2021-05-02,77988,NA,NA,NA,77988,NA,NA,NA
2021-05-09,79551,NA,NA,NA,79551,NA,NA,NA
2021-05-16,81258,NA,NA,NA,81258,NA,NA,NA
2021-05-23,82706,NA,NA,NA,82706,NA,NA,NA
2021-05-30,84100,NA,NA,NA,84100,NA,NA,NA
2021-06-06,85391,NA,NA,NA,85391,NA,NA,NA
2021-06-13,86487,NA,NA,NA,86487,NA,NA,NA
2021-06-20,87486,NA,NA,NA,87486,NA,NA,NA
2021-06-27,88403,NA,NA,NA,88403,NA,NA,NA
2021-07-04,89385,NA,NA,NA,89385,NA,NA,NA
2021-07-11,90422,NA,NA,NA,90422,NA,NA,NA
2021-07-18,91397,NA,NA,NA,91397,NA,NA,NA
2021-07-25,92454,NA,NA,NA,92454,NA,NA,NA
2021-08-01,93659,NA,NA,NA,93659,NA,NA,NA
2021-08-08,94976,NA,NA,NA,94976,NA,NA,NA
2021-08-15,96391,NA,NA,NA,96391,NA,NA,NA
2021-08-22,97666,NA,NA,NA,97666,NA,NA,NA
2021-08-29,98714,NA,NA,NA,98714,NA,NA,NA
2021-09-05,99574,NA,NA,NA,99574,NA,NA,NA
2021-09-12,100328,NA,NA,NA,100328,NA,NA,NA
2021-09-19,100924,NA,NA,NA,100924,NA,NA,NA
2021-09-26,101468,NA,NA,NA,101468,NA,NA,NA
2021-10-03,101904,NA,NA,NA,101904,NA,NA,NA
2021-10-10,102318,NA,NA,NA,102318,NA,NA,NA
2021-10-17,102625,NA,NA,NA,102625,NA,NA,NA
2021-10-24,102901,NA,NA,NA,102901,NA,NA,NA
2021-10-31,103163,NA,NA,NA,103163,NA,NA,NA
2021-11-07,103402,NA,NA,NA,103402,NA,NA,NA
2021-11-14,103658,NA,NA,NA,103658,NA,NA,NA
2021-11-21,103952,NA,NA,NA,103952,NA,NA,NA
2021-11-28,104384,NA,NA,NA,104384,NA,NA,NA
2021-12-05,104985,NA,NA,NA,104985,NA,NA,NA
2021-12-12,105645,NA,NA,NA,105645,NA,NA,NA
2021-12-19,106115,NA,NA,NA,106115,NA,NA,NA
2021-12-26,106547,NA,NA,NA,106547,NA,NA,NA
2022-01-02,107020,NA,NA,NA,107020,NA,NA,NA
2022-01-09,107789,NA,NA,NA,107789,NA,NA,NA
2022-01-16,109042,NA,NA,NA,109042,NA,NA,NA
2022-01-23,110197,NA,NA,NA,110197,NA,NA,NA
2022-01-30,110929,NA,NA,NA,110929,NA,NA,NA
2022-02-06,111346,NA,NA,NA,111346,NA,NA,NA
2022-02-13,111667,NA,NA,NA,111667,NA,NA,NA
2022-02-20,111997,NA,NA,NA,111997,NA,NA,NA
2022-02-27,112268,NA,NA,NA,112268,NA,NA,NA
2022-03-06,112494,NA,NA,NA,112494,NA,NA,NA
2022-03-13,112725,NA,NA,NA,112725,NA,NA,NA
2022-03-20,112934,NA,NA,NA,112934,NA,NA,NA
2022-03-27,113117,NA,NA,NA,113117,NA,NA,NA
2022-04-03,113314,NA,NA,NA,113314,NA,NA,NA
2022-04-10,113514,NA,NA,NA,113514,NA,NA,NA
2022-04-17,113691,NA,NA,NA,113691,NA,NA,NA
2022-04-24,113875,NA,NA,NA,113875,NA,NA,NA
2022-05-01,114112,NA,NA,NA,114111,NA,NA,NA
2022-05-08,114348,NA,NA,NA,114345,NA,NA,NA
2022-05-15,114584,NA,NA,NA,114577,NA,NA,NA
2022-05-22,114866,NA,NA,NA,114848,NA,NA,NA
2022-05-29,115211,NA,NA,NA,115166,NA,NA,NA
2022-06-05,115636,NA,NA,NA,115545,NA,NA,NA
2022-06-12,116106,NA,NA,NA,115922,NA,NA,NA
2022-06-19,116575,NA,NA,NA,116195,NA,NA,NA
2022-06-26,117236,117236,117006,117541,116278,116278,116278,116278
2022-07-03,NA,117774,117475,118164,NA,116339,116331,116348
