"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,3,NA,NA,NA,3,NA,NA,NA
2020-04-05,7,NA,NA,NA,7,NA,NA,NA
2020-04-12,10,NA,NA,NA,10,NA,NA,NA
2020-04-19,29,NA,NA,NA,29,NA,NA,NA
2020-04-26,57,NA,NA,NA,57,NA,NA,NA
2020-05-03,116,NA,NA,NA,116,NA,NA,NA
2020-05-10,175,NA,NA,NA,175,NA,NA,NA
2020-05-17,254,NA,NA,NA,254,NA,NA,NA
2020-05-24,319,NA,NA,NA,319,NA,NA,NA
2020-05-31,381,NA,NA,NA,381,NA,NA,NA
2020-06-07,453,NA,NA,NA,453,NA,NA,NA
2020-06-14,509,NA,NA,NA,509,NA,NA,NA
2020-06-21,565,NA,NA,NA,565,NA,NA,NA
2020-06-28,597,NA,NA,NA,597,NA,NA,NA
2020-07-05,628,NA,NA,NA,628,NA,NA,NA
2020-07-12,660,NA,NA,NA,660,NA,NA,NA
2020-07-19,688,NA,NA,NA,688,NA,NA,NA
2020-07-26,706,NA,NA,NA,706,NA,NA,NA
2020-08-02,721,NA,NA,NA,721,NA,NA,NA
2020-08-09,738,NA,NA,NA,738,NA,NA,NA
2020-08-16,747,NA,NA,NA,747,NA,NA,NA
2020-08-23,766,NA,NA,NA,766,NA,NA,NA
2020-08-30,793,NA,NA,NA,793,NA,NA,NA
2020-09-06,823,NA,NA,NA,823,NA,NA,NA
2020-09-13,834,NA,NA,NA,834,NA,NA,NA
2020-09-20,840,NA,NA,NA,840,NA,NA,NA
2020-09-27,857,NA,NA,NA,857,NA,NA,NA
2020-10-04,878,NA,NA,NA,878,NA,NA,NA
2020-10-11,891,NA,NA,NA,891,NA,NA,NA
2020-10-18,913,NA,NA,NA,913,NA,NA,NA
2020-10-25,927,NA,NA,NA,927,NA,NA,NA
2020-11-01,938,NA,NA,NA,938,NA,NA,NA
2020-11-08,968,NA,NA,NA,968,NA,NA,NA
2020-11-15,1000,NA,NA,NA,1000,NA,NA,NA
2020-11-22,1031,NA,NA,NA,1031,NA,NA,NA
2020-11-29,1076,NA,NA,NA,1076,NA,NA,NA
