"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-22,2,NA,NA,NA,2,NA,NA,NA
2020-03-29,7,NA,NA,NA,7,NA,NA,NA
2020-04-05,14,NA,NA,NA,14,NA,NA,NA
2020-04-12,23,NA,NA,NA,23,NA,NA,NA
2020-04-19,47,NA,NA,NA,47,NA,NA,NA
2020-04-26,90,NA,NA,NA,90,NA,NA,NA
2020-05-03,161,NA,NA,NA,161,NA,NA,NA
2020-05-10,224,NA,NA,NA,224,NA,NA,NA
2020-05-17,314,NA,NA,NA,314,NA,NA,NA
2020-05-24,398,NA,NA,NA,398,NA,NA,NA
2020-05-31,474,NA,NA,NA,474,NA,NA,NA
2020-06-07,567,NA,NA,NA,567,NA,NA,NA
2020-06-14,635,NA,NA,NA,635,NA,NA,NA
2020-06-21,698,NA,NA,NA,698,NA,NA,NA
2020-06-28,737,NA,NA,NA,737,NA,NA,NA
2020-07-05,777,NA,NA,NA,777,NA,NA,NA
2020-07-12,813,NA,NA,NA,813,NA,NA,NA
2020-07-19,851,NA,NA,NA,851,NA,NA,NA
2020-07-26,873,NA,NA,NA,873,NA,NA,NA
2020-08-02,890,NA,NA,NA,890,NA,NA,NA
2020-08-09,911,NA,NA,NA,911,NA,NA,NA
2020-08-16,924,NA,NA,NA,924,NA,NA,NA
2020-08-23,944,NA,NA,NA,944,NA,NA,NA
2020-08-30,973,NA,NA,NA,973,NA,NA,NA
2020-09-06,1006,NA,NA,NA,1006,NA,NA,NA
2020-09-13,1024,NA,NA,NA,1024,NA,NA,NA
2020-09-20,1032,NA,NA,NA,1032,NA,NA,NA
2020-09-27,1051,NA,NA,NA,1051,NA,NA,NA
2020-10-04,1075,NA,NA,NA,1075,NA,NA,NA
2020-10-11,1092,NA,NA,NA,1092,NA,NA,NA
2020-10-18,1115,NA,NA,NA,1115,NA,NA,NA
2020-10-25,1128,NA,NA,NA,1128,NA,NA,NA
2020-11-01,1137,NA,NA,NA,1137,NA,NA,NA
2020-11-08,1169,NA,NA,NA,1169,NA,NA,NA
2020-11-15,1206,NA,NA,NA,1206,NA,NA,NA
2020-11-22,1234,NA,NA,NA,1234,NA,NA,NA
2020-11-29,1282,NA,NA,NA,1282,NA,NA,NA
2020-12-06,1338,NA,NA,NA,1338,NA,NA,NA
2020-12-13,1409,NA,NA,NA,1409,NA,NA,NA
2020-12-20,1487,NA,NA,NA,1487,NA,NA,NA
2020-12-27,1558,NA,NA,NA,1558,NA,NA,NA
2021-01-03,1604,NA,NA,NA,1605,NA,NA,NA
2021-01-10,1666,NA,NA,NA,1670,NA,NA,NA
2021-01-17,1717,NA,NA,NA,1721,NA,NA,NA
2021-01-24,1759,NA,NA,NA,1763,NA,NA,NA
2021-01-31,1789,NA,NA,NA,1790,NA,NA,NA
2021-02-07,1811,NA,NA,NA,1813,NA,NA,NA
2021-02-14,1830,NA,NA,NA,1829,NA,NA,NA
2021-02-21,1857,NA,NA,NA,1847,NA,NA,NA
2021-02-28,1893,NA,NA,NA,1867,NA,NA,NA
2021-03-07,1929,1929,1879,2027,1877,1877,1877,1877
2021-03-14,NA,1966,1900,2096,NA,1877,1877,1877
