"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,4,NA,4,NA,NA,NA
2020-03-22,20,NA,20,NA,NA,NA
2020-03-29,15,NA,15,NA,NA,NA
2020-04-05,15,NA,15,NA,NA,NA
2020-04-12,11,NA,11,NA,NA,NA
2020-04-19,17,NA,17,NA,NA,NA
2020-04-26,20,NA,20,NA,NA,NA
2020-05-03,35,NA,35,NA,NA,NA
2020-05-10,46,NA,46,NA,NA,NA
2020-05-17,43,NA,43,NA,NA,NA
2020-05-24,64,NA,64,NA,NA,NA
2020-05-31,47,NA,47,NA,NA,NA
2020-06-07,43,NA,43,NA,NA,NA
2020-06-14,44,NA,44,NA,NA,NA
2020-06-21,52,NA,52,NA,NA,NA
2020-06-28,46,NA,46,NA,NA,NA
2020-07-05,52,NA,52,NA,NA,NA
2020-07-12,39,NA,39,NA,NA,NA
2020-07-19,38,NA,38,NA,NA,NA
2020-07-26,30,NA,30,NA,NA,NA
2020-08-02,21,NA,21,NA,NA,NA
2020-08-09,26,NA,26,NA,NA,NA
2020-08-16,17,NA,17,NA,NA,NA
2020-08-23,16,NA,16,NA,NA,NA
2020-08-30,16,NA,16,NA,NA,NA
2020-09-06,32,NA,32,NA,NA,NA
2020-09-13,12,NA,12,NA,NA,NA
2020-09-20,14,NA,14,NA,NA,NA
2020-09-27,6,NA,6,NA,NA,NA
2020-10-04,8,NA,8,NA,NA,NA
2020-10-11,9,NA,9,NA,NA,NA
2020-10-18,15,NA,15,NA,NA,NA
2020-10-25,6,NA,6,NA,NA,NA
2020-11-01,11,NA,11,NA,NA,NA
2020-11-08,14,NA,14,NA,NA,NA
2020-11-15,12,NA,12,NA,NA,NA
2020-11-22,25,NA,25,NA,NA,NA
2020-11-29,32,NA,32,NA,NA,NA
2020-12-06,40,NA,40,NA,NA,NA
2020-12-13,48,NA,48,NA,NA,NA
2020-12-20,35,NA,35,NA,NA,NA
2020-12-27,31,NA,31,NA,NA,NA
2021-01-03,39,NA,39,NA,NA,NA
2021-01-10,27,NA,27,NA,NA,NA
2021-01-17,22,NA,22,NA,NA,NA
2021-01-24,16,NA,16,NA,NA,NA
2021-01-31,13,NA,13,NA,NA,NA
2021-02-07,25,NA,25,NA,NA,NA
2021-02-14,22,NA,22,NA,NA,NA
2021-02-21,43,NA,43,NA,NA,NA
2021-02-28,56,NA,56,NA,NA,NA
2021-03-07,52,NA,52,NA,NA,NA
2021-03-14,65,NA,65,NA,NA,NA
2021-03-21,NA,53,53,NA,53,54
2021-03-28,NA,70,70,NA,70,72
2021-04-04,NA,99,99,NA,98,103
2021-04-11,NA,79,79,NA,76,85
2021-04-18,NA,57,57,NA,52,64
2021-04-25,NA,25,25,NA,19,33
2021-05-02,NA,29,29,NA,20,42
2021-05-09,NA,32,32,NA,16,59
2021-05-16,NA,37,37,NA,13,101
