"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,9,NA,NA,NA,9,NA,NA,NA
2020-04-05,13,NA,NA,NA,13,NA,NA,NA
2020-04-12,24,NA,NA,NA,24,NA,NA,NA
2020-04-19,54,NA,NA,NA,54,NA,NA,NA
2020-04-26,97,NA,NA,NA,97,NA,NA,NA
2020-05-03,149,NA,NA,NA,149,NA,NA,NA
2020-05-10,210,NA,NA,NA,210,NA,NA,NA
2020-05-17,281,NA,NA,NA,281,NA,NA,NA
2020-05-24,389,NA,NA,NA,389,NA,NA,NA
2020-05-31,516,NA,NA,NA,516,NA,NA,NA
2020-06-07,647,NA,NA,NA,647,NA,NA,NA
2020-06-14,791,NA,NA,NA,791,NA,NA,NA
2020-06-21,933,NA,NA,NA,933,NA,NA,NA
2020-06-28,1058,NA,NA,NA,1058,NA,NA,NA
2020-07-05,1181,NA,NA,NA,1181,NA,NA,NA
2020-07-12,1289,NA,NA,NA,1289,NA,NA,NA
2020-07-19,1375,NA,NA,NA,1375,NA,NA,NA
2020-07-26,1469,NA,NA,NA,1469,NA,NA,NA
2020-08-02,1561,NA,NA,NA,1561,NA,NA,NA
2020-08-09,1657,NA,NA,NA,1657,NA,NA,NA
2020-08-16,1729,NA,NA,NA,1729,NA,NA,NA
2020-08-23,1797,NA,NA,NA,1797,NA,NA,NA
2020-08-30,1846,NA,NA,NA,1846,NA,NA,NA
2020-09-06,1910,NA,NA,NA,1910,NA,NA,NA
2020-09-13,1956,NA,NA,NA,1956,NA,NA,NA
2020-09-20,1998,NA,NA,NA,1998,NA,NA,NA
2020-09-27,2024,NA,NA,NA,2024,NA,NA,NA
2020-10-04,2056,NA,NA,NA,2056,NA,NA,NA
2020-10-11,2094,NA,NA,NA,2094,NA,NA,NA
2020-10-18,2140,NA,NA,NA,2140,NA,NA,NA
2020-10-25,2192,NA,NA,NA,2192,NA,NA,NA
2020-11-01,2256,NA,NA,NA,2256,NA,NA,NA
2020-11-08,2330,NA,NA,NA,2330,NA,NA,NA
2020-11-15,2425,NA,NA,NA,2425,NA,NA,NA
