"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,14,NA,14,NA,NA,NA
2020-03-22,15,NA,15,NA,NA,NA
2020-03-29,20,NA,20,NA,NA,NA
2020-04-05,21,NA,21,NA,NA,NA
2020-04-12,25,NA,25,NA,NA,NA
2020-04-19,25,NA,25,NA,NA,NA
2020-04-26,34,NA,34,NA,NA,NA
2020-05-03,67,NA,67,NA,NA,NA
2020-05-10,85,NA,85,NA,NA,NA
2020-05-17,93,NA,93,NA,NA,NA
2020-05-24,121,NA,121,NA,NA,NA
2020-05-31,89,NA,89,NA,NA,NA
2020-06-07,144,NA,144,NA,NA,NA
2020-06-14,187,NA,187,NA,NA,NA
2020-06-21,202,NA,202,NA,NA,NA
2020-06-28,174,NA,174,NA,NA,NA
2020-07-05,199,NA,199,NA,NA,NA
2020-07-12,168,NA,168,NA,NA,NA
2020-07-19,160,NA,160,NA,NA,NA
2020-07-26,128,NA,128,NA,NA,NA
2020-08-02,130,NA,130,NA,NA,NA
2020-08-09,90,NA,90,NA,NA,NA
2020-08-16,79,NA,79,NA,NA,NA
2020-08-23,68,NA,68,NA,NA,NA
2020-08-30,69,NA,69,NA,NA,NA
2020-09-06,68,NA,68,NA,NA,NA
2020-09-13,81,NA,81,NA,NA,NA
2020-09-20,80,NA,80,NA,NA,NA
2020-09-27,64,NA,64,NA,NA,NA
2020-10-04,77,NA,77,NA,NA,NA
2020-10-11,69,NA,69,NA,NA,NA
2020-10-18,78,NA,78,NA,NA,NA
2020-10-25,75,NA,75,NA,NA,NA
2020-11-01,67,NA,67,NA,NA,NA
2020-11-08,64,NA,64,NA,NA,NA
2020-11-15,63,NA,63,NA,NA,NA
2020-11-22,87,NA,87,NA,NA,NA
2020-11-29,85,NA,85,NA,NA,NA
2020-12-06,109,NA,109,NA,NA,NA
2020-12-13,121,NA,121,NA,NA,NA
2020-12-20,107,NA,107,NA,NA,NA
2020-12-27,115,NA,115,NA,NA,NA
2021-01-03,109,NA,109,NA,NA,NA
2021-01-10,144,NA,144,NA,NA,NA
2021-01-17,110,NA,110,NA,NA,NA
2021-01-24,146,NA,146,NA,NA,NA
2021-01-31,122,NA,122,NA,NA,NA
2021-02-07,162,NA,162,NA,NA,NA
2021-02-14,174,NA,174,NA,NA,NA
2021-02-21,227,NA,227,NA,NA,NA
2021-02-28,291,NA,291,NA,NA,NA
2021-03-07,367,NA,367,NA,NA,NA
2021-03-14,329,NA,329,NA,NA,NA
2021-03-21,321,NA,321,NA,NA,NA
2021-03-28,299,NA,299,NA,NA,NA
2021-04-04,339,NA,339,NA,NA,NA
2021-04-11,291,NA,291,NA,NA,NA
2021-04-18,221,NA,221,NA,NA,NA
2021-04-25,260,NA,260,NA,NA,NA
2021-05-02,275,NA,275,NA,NA,NA
2021-05-09,260,NA,260,NA,NA,NA
2021-05-16,264,NA,264,NA,NA,NA
2021-05-23,271,NA,271,NA,NA,NA
2021-05-30,258,NA,258,NA,NA,NA
2021-06-06,222,NA,222,NA,NA,NA
2021-06-13,175,NA,175,NA,NA,NA
2021-06-20,NA,127,127,NA,127,128
2021-06-27,NA,94,94,NA,90,99
2021-07-04,NA,88,88,NA,83,95
2021-07-11,NA,81,81,NA,75,89
2021-07-18,NA,60,60,NA,54,68
2021-07-25,NA,48,48,NA,42,56
2021-08-01,NA,68,68,NA,59,79
2021-08-08,NA,85,85,NA,71,103
2021-08-15,NA,72,72,NA,49,104
