"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,20,NA,20,21.3,NA,NA
2020-03-16,23,NA,23,23.1,NA,NA
2020-03-17,22,NA,22,24.5,NA,NA
2020-03-18,27,NA,27,25.2,NA,NA
2020-03-19,36,NA,36,28.1,NA,NA
2020-03-20,33,NA,33,29.3,NA,NA
2020-03-21,29,NA,29,30.2,NA,NA
2020-03-22,24,NA,24,32,NA,NA
2020-03-23,27,NA,27,32.6,NA,NA
2020-03-24,40,NA,40,31.9,NA,NA
2020-03-25,32,NA,32,31.7,NA,NA
2020-03-26,32,NA,32,32.1,NA,NA
2020-03-27,40,NA,40,33,NA,NA
2020-03-28,33,NA,33,33.6,NA,NA
2020-03-29,29,NA,29,33.7,NA,NA
2020-03-30,31,NA,31,34.4,NA,NA
2020-03-31,33,NA,33,34.5,NA,NA
2020-04-01,33,NA,33,34.6,NA,NA
2020-04-02,33,NA,33,34,NA,NA
2020-04-03,41,NA,41,34.5,NA,NA
2020-04-04,39,NA,39,35,NA,NA
2020-04-05,33,NA,33,36.6,NA,NA
2020-04-06,41,NA,41,36.5,NA,NA
2020-04-07,27,NA,27,37,NA,NA
2020-04-08,34,NA,34,36.4,NA,NA
2020-04-09,36,NA,36,35.2,NA,NA
2020-04-10,49,NA,49,37.1,NA,NA
2020-04-11,32,NA,32,37.8,NA,NA
2020-04-12,38,NA,38,40.2,NA,NA
2020-04-13,35,NA,35,43.2,NA,NA
2020-04-14,27,NA,27,44.1,NA,NA
2020-04-15,52,NA,52,43.8,NA,NA
2020-04-16,48,NA,48,43.6,NA,NA
2020-04-17,51,NA,51,45.1,NA,NA
2020-04-18,64,NA,64,46.3,NA,NA
2020-04-19,45,NA,45,48.5,NA,NA
2020-04-20,46,NA,46,47.5,NA,NA
2020-04-21,30,NA,30,47.8,NA,NA
2020-04-22,53,NA,53,47.4,NA,NA
2020-04-23,47,NA,47,44.6,NA,NA
2020-04-24,49,NA,49,43,NA,NA
2020-04-25,42,NA,42,43.6,NA,NA
2020-04-26,51,NA,51,48.3,NA,NA
2020-04-27,47,NA,47,48,NA,NA
2020-04-28,36,NA,36,47.5,NA,NA
2020-04-29,29,NA,29,48.8,NA,NA
2020-04-30,52,NA,52,50.9,NA,NA
2020-05-01,77,NA,77,50.8,NA,NA
2020-05-02,50,NA,50,51.3,NA,NA
2020-05-03,42,NA,42,53.2,NA,NA
2020-05-04,62,NA,62,56.1,NA,NA
2020-05-05,63,NA,63,57.1,NA,NA
2020-05-06,50,NA,50,56.2,NA,NA
2020-05-07,52,NA,52,54.3,NA,NA
2020-05-08,55,NA,55,55.5,NA,NA
2020-05-09,59,NA,58,54.1,NA,NA
2020-05-10,NA,62,62,55.2,62,64
2020-05-11,NA,68,68,57.4,68,70
2020-05-12,NA,31,31,57.7,31,33
2020-05-13,NA,54,54,60.6,54,58
2020-05-14,NA,48,48,59.2,47,51
2020-05-15,NA,74,74,61.2,72,78
2020-05-16,NA,72,72,59.3,69,76
2020-05-17,NA,55,55,62.9,52,60
2020-05-18,NA,84,84,62.4,81,90
2020-05-19,NA,44,44,63.5,41,49
2020-05-20,NA,82,82,62.6,78,88
2020-05-21,NA,49,49,59.8,45,55
2020-05-22,NA,67,67,60.8,63,73
2020-05-23,NA,49,49,59.1,45,56
2020-05-24,NA,59,59,60.4,54,66
2020-05-25,NA,65,65,59,59,72
2020-05-26,NA,44,44,61.3,38,51
2020-05-27,NA,65,65,64,59,73
2020-05-28,NA,67,67,64,61,76
2020-05-29,NA,57,57,65,50,66
2020-05-30,NA,68,68,65.2,60,77
2020-05-31,NA,72,72,66.1,63,83
2020-06-01,NA,94,94,65,84,107
2020-06-02,NA,49,49,64.2,39,60
2020-06-03,NA,69,69,64.9,59,81
2020-06-04,NA,67,67,63.8,56,80
2020-06-05,NA,53,53,64.8,42,65.0249999999996
2020-06-06,NA,54,54,62.4,43,67
2020-06-07,NA,59,59,64.1,47,74
2020-06-08,NA,64,64,64.2,51,80
2020-06-09,NA,57,57,65.1,43,74
2020-06-10,NA,82,82,66.9,65,105
2020-06-11,NA,70,70,68.4,53,93
2020-06-12,NA,66,66,69.3,47,90
2020-06-13,NA,70,70,69.8888888888889,49,98
2020-06-14,NA,76,76,71.5,52,110
2020-06-15,NA,71,71,70,44,111
2020-06-16,NA,69,69,70,38,116
2020-06-17,NA,68,68,70.8,33,128
