"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,2,NA,2,1.55555555555556,NA,NA
2020-03-16,3,NA,3,1.6,NA,NA
2020-03-17,1,NA,1,1.8,NA,NA
2020-03-18,2,NA,2,2.2,NA,NA
2020-03-19,1,NA,1,2.4,NA,NA
2020-03-20,2,NA,2,2.6,NA,NA
2020-03-21,2,NA,2,2.5,NA,NA
2020-03-22,3,NA,3,2.6,NA,NA
2020-03-23,5,NA,5,2.7,NA,NA
2020-03-24,3,NA,3,2.7,NA,NA
2020-03-25,4,NA,4,2.7,NA,NA
2020-03-26,2,NA,2,2.7,NA,NA
2020-03-27,2,NA,2,2.7,NA,NA
2020-03-28,3,NA,3,2.3,NA,NA
2020-03-29,1,NA,1,2.2,NA,NA
2020-03-30,2,NA,2,2.1,NA,NA
2020-03-31,2,NA,2,2.1,NA,NA
2020-04-01,3,NA,3,2.1,NA,NA
2020-04-02,1,NA,1,2.1,NA,NA
2020-04-03,2,NA,2,2.6,NA,NA
2020-04-04,3,NA,3,2.7,NA,NA
2020-04-05,2,NA,2,2.6,NA,NA
2020-04-06,2,NA,2,2.7,NA,NA
2020-04-07,3,NA,3,2.9,NA,NA
2020-04-08,6,NA,6,2.8,NA,NA
2020-04-09,3,NA,3,2.6,NA,NA
2020-04-10,1,NA,1,2.7,NA,NA
2020-04-11,4,NA,4,2.8,NA,NA
2020-04-12,3,NA,3,2.8,NA,NA
2020-04-13,1,NA,1,3.1,NA,NA
2020-04-14,1,NA,1,3.1,NA,NA
2020-04-17,3,NA,3,3.6,NA,NA
2020-04-18,3,NA,3,3.4,NA,NA
2020-04-19,3,NA,3,3.7,NA,NA
2020-04-20,9,NA,9,4.2,NA,NA
2020-04-21,3,NA,3,4.7,NA,NA
2020-04-22,6,NA,6,4.7,NA,NA
2020-04-23,2,NA,2,4.7,NA,NA
2020-04-24,6,NA,6,5,NA,NA
2020-04-25,6,NA,6,4.7,NA,NA
2020-04-26,6,NA,6,4.8,NA,NA
2020-04-27,3,NA,3,4.7,NA,NA
2020-04-28,3,NA,3,5,NA,NA
2020-04-29,6,NA,6,5,NA,NA
2020-04-30,6,NA,6,4.9,NA,NA
2020-05-01,4,NA,4,4.7,NA,NA
2020-05-02,NA,5,5,4.8,5,6
2020-05-03,NA,5,5,5,5,6
2020-05-04,NA,6,6,4.7,6,7
2020-05-05,NA,5,5,4.4,5,6
2020-05-06,NA,4,4,4.5,4,5
2020-05-07,NA,4,4,4.5,4,6
2020-05-08,NA,5,5,4.7,5,7
2020-05-09,NA,3,3,5.2,3,5
2020-05-10,NA,3,3,5.4,3,5
2020-05-11,NA,5,5,5.1,5,7
2020-05-12,NA,5,5,5,5,8
2020-05-13,NA,7,7,5.1,7,10
2020-05-14,NA,11,11,5.2,11,14
2020-05-15,NA,7,7,5.2,7,10
2020-05-16,NA,1,1,5.3,1,4
2020-05-17,NA,3,3,5.4,3,6
2020-05-18,NA,6,6,4.9,6,9
2020-05-19,NA,4,4,4.3,4,7
2020-05-20,NA,3,3,4.2,2,5
2020-05-21,NA,6,6,4.3,5,8
2020-05-22,NA,6,6,4.3,5,9
2020-05-23,NA,2,2,4.4,1,5
2020-05-24,NA,5,5,4.8,4,8
2020-05-25,NA,6,6,5.4,5,9
2020-05-26,NA,2,2,5.4,1,5
2020-05-27,NA,3,3,5.5,1,6
2020-05-28,NA,7,7,5.8,5,10
2020-05-29,NA,8,8,6,6,12
2020-05-30,NA,9,9,6,6,13
2020-05-31,NA,6,6,6.5,3,11
2020-06-01,NA,7,7,6.8,4,12
2020-06-02,NA,5,5,6.7,1,11
2020-06-03,NA,7,7,6.6,3,13
2020-06-04,NA,6,6,6.3,2,13
2020-06-05,NA,7,7,6.33333333333333,2,14
2020-06-06,NA,6,6,6.25,1,14
2020-06-07,NA,6,6,6.42857142857143,1,14
2020-06-08,NA,7,7,6.33333333333333,2,16
2020-06-09,NA,6,6,6.4,1,16
