"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-29,6,NA,NA,NA,6,NA,NA,NA
2020-04-05,13,NA,NA,NA,13,NA,NA,NA
2020-04-12,29,NA,NA,NA,29,NA,NA,NA
2020-04-19,42,NA,NA,NA,42,NA,NA,NA
2020-04-26,64,NA,NA,NA,64,NA,NA,NA
2020-05-03,86,NA,NA,NA,86,NA,NA,NA
2020-05-10,109,NA,NA,NA,109,NA,NA,NA
2020-05-17,140,NA,NA,NA,140,NA,NA,NA
2020-05-24,170,NA,NA,NA,170,NA,NA,NA
2020-05-31,203,NA,NA,NA,203,NA,NA,NA
2020-06-07,230,NA,NA,NA,230,NA,NA,NA
2020-06-14,253,NA,NA,NA,253,NA,NA,NA
2020-06-21,274,NA,NA,NA,274,NA,NA,NA
2020-06-28,309,NA,NA,NA,309,NA,NA,NA
2020-07-05,330,NA,NA,NA,330,NA,NA,NA
2020-07-12,350,NA,NA,NA,350,NA,NA,NA
2020-07-19,368,NA,NA,NA,368,NA,NA,NA
2020-07-26,391,NA,NA,NA,391,NA,NA,NA
2020-08-02,414,NA,NA,NA,414,NA,NA,NA
2020-08-09,445,NA,NA,NA,445,NA,NA,NA
2020-08-16,483,NA,NA,NA,483,NA,NA,NA
2020-08-23,502,NA,NA,NA,502,NA,NA,NA
2020-08-30,525,NA,NA,NA,525,NA,NA,NA
2020-09-06,542,NA,NA,NA,542,NA,NA,NA
2020-09-13,559,NA,NA,NA,559,NA,NA,NA
2020-09-20,573,NA,NA,NA,573,NA,NA,NA
2020-09-27,590,NA,NA,NA,590,NA,NA,NA
2020-10-04,609,NA,NA,NA,609,NA,NA,NA
2020-10-11,619,NA,NA,NA,619,NA,NA,NA
2020-10-18,624,NA,NA,NA,624,NA,NA,NA
2020-10-25,636,NA,NA,NA,636,NA,NA,NA
2020-11-01,645,NA,NA,NA,645,NA,NA,NA
2020-11-08,655,NA,NA,NA,655,NA,NA,NA
2020-11-15,660,NA,NA,NA,660,NA,NA,NA
2020-11-22,678,NA,NA,NA,678,NA,NA,NA
2020-11-29,692,NA,NA,NA,692,NA,NA,NA
2020-12-06,704,NA,NA,NA,704,NA,NA,NA
2020-12-13,721,NA,NA,NA,721,NA,NA,NA
2020-12-20,747,NA,NA,NA,747,NA,NA,NA
2020-12-27,769,NA,NA,NA,769,NA,NA,NA
2021-01-03,793,NA,NA,NA,793,NA,NA,NA
2021-01-10,826,NA,NA,NA,826,NA,NA,NA
2021-01-17,869,NA,NA,NA,869,NA,NA,NA
2021-01-24,901,NA,NA,NA,901,NA,NA,NA
2021-01-31,933,NA,NA,NA,933,NA,NA,NA
2021-02-07,963,NA,NA,NA,963,NA,NA,NA
2021-02-14,1001,NA,NA,NA,1001,NA,NA,NA
2021-02-21,1038,NA,NA,NA,1038,NA,NA,NA
2021-02-28,1093,NA,NA,NA,1093,NA,NA,NA
2021-03-07,1149,NA,NA,NA,1149,NA,NA,NA
2021-03-14,1213,NA,NA,NA,1213,NA,NA,NA
2021-03-21,1292,NA,NA,NA,1292,NA,NA,NA
2021-03-28,1357,NA,NA,NA,1357,NA,NA,NA
2021-04-04,1403,NA,NA,NA,1403,NA,NA,NA
2021-04-11,1465,NA,NA,NA,1465,NA,NA,NA
2021-04-18,1498,NA,NA,NA,1498,NA,NA,NA
2021-04-25,1544,NA,NA,NA,1544,NA,NA,NA
2021-05-02,1580,NA,NA,NA,1580,NA,NA,NA
2021-05-09,1614,NA,NA,NA,1614,NA,NA,NA
2021-05-16,1640,NA,NA,NA,1640,NA,NA,NA
2021-05-23,1672,NA,NA,NA,1672,NA,NA,NA
2021-05-30,1702,NA,NA,NA,1702,NA,NA,NA
2021-06-06,1733,NA,NA,NA,1733,NA,NA,NA
2021-06-13,1770,NA,NA,NA,1770,NA,NA,NA
2021-06-20,1797,NA,NA,NA,1797,NA,NA,NA
2021-06-27,1824,NA,NA,NA,1824,NA,NA,NA
2021-07-04,1838,NA,NA,NA,1838,NA,NA,NA
2021-07-11,1860,NA,NA,NA,1860,NA,NA,NA
2021-07-18,1880,NA,NA,NA,1880,NA,NA,NA
2021-07-25,1892,NA,NA,NA,1892,NA,NA,NA
2021-08-01,1906,NA,NA,NA,1906,NA,NA,NA
2021-08-08,1917,NA,NA,NA,1916,NA,NA,NA
2021-08-15,1923,NA,NA,NA,1921,NA,NA,NA
2021-08-22,1928,1928,1922,1957,1922,1922,1922,1922
2021-08-29,NA,1934,1926,1967,NA,1922,1922,1922
