"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,12,NA,12,NA,NA,NA
2020-03-22,54,NA,54,NA,NA,NA
2020-03-29,79,NA,79,NA,NA,NA
2020-04-05,91,NA,91,NA,NA,NA
2020-04-12,122,NA,122,NA,NA,NA
2020-04-19,178,NA,178,NA,NA,NA
2020-04-26,210,NA,210,NA,NA,NA
2020-05-03,199,NA,199,NA,NA,NA
2020-05-10,185,NA,185,NA,NA,NA
2020-05-17,165,NA,165,NA,NA,NA
2020-05-24,148,NA,148,NA,NA,NA
2020-05-31,150,NA,150,NA,NA,NA
2020-06-07,140,NA,140,NA,NA,NA
2020-06-14,97,NA,97,NA,NA,NA
2020-06-21,112,NA,112,NA,NA,NA
2020-06-28,73,NA,73,NA,NA,NA
2020-07-05,109,NA,109,NA,NA,NA
2020-07-12,105,NA,105,NA,NA,NA
2020-07-19,100,NA,100,NA,NA,NA
2020-07-26,95,NA,95,NA,NA,NA
2020-08-02,81,NA,81,NA,NA,NA
2020-08-09,81,NA,81,NA,NA,NA
2020-08-16,66,NA,66,NA,NA,NA
2020-08-23,54,NA,54,NA,NA,NA
2020-08-30,62,NA,62,NA,NA,NA
2020-09-06,48,NA,48,NA,NA,NA
2020-09-13,38,NA,38,NA,NA,NA
2020-09-20,41,NA,41,NA,NA,NA
2020-09-27,34,NA,34,NA,NA,NA
2020-10-04,34,NA,34,NA,NA,NA
2020-10-11,33,NA,33,NA,NA,NA
2020-10-18,26,NA,26,NA,NA,NA
2020-10-25,30,NA,30,NA,NA,NA
2020-11-01,45,NA,45,NA,NA,NA
2020-11-08,66,NA,66,NA,NA,NA
2020-11-15,93,NA,93,NA,NA,NA
2020-11-22,101,NA,101,NA,NA,NA
2020-11-29,97,NA,97,NA,NA,NA
2020-12-06,100,NA,100,NA,NA,NA
2020-12-13,87,NA,87,NA,NA,NA
2020-12-20,75,NA,75,NA,NA,NA
2020-12-27,93,NA,93,NA,NA,NA
2021-01-03,118,NA,118,NA,NA,NA
2021-01-10,95,NA,95,NA,NA,NA
2021-01-17,81,NA,81,NA,NA,NA
2021-01-24,77,NA,77,NA,NA,NA
2021-01-31,71,NA,71,NA,NA,NA
2021-02-07,92,NA,92,NA,NA,NA
2021-02-14,109,NA,109,NA,NA,NA
2021-02-21,142,NA,142,NA,NA,NA
2021-02-28,187,NA,187,NA,NA,NA
2021-03-07,273,NA,273,NA,NA,NA
2021-03-14,371,NA,371,NA,NA,NA
2021-03-21,371,NA,371,NA,NA,NA
2021-03-28,255,NA,255,NA,NA,NA
2021-04-04,204,NA,204,NA,NA,NA
2021-04-11,194,NA,194,NA,NA,NA
2021-04-18,169,NA,169,NA,NA,NA
2021-04-25,189,NA,189,NA,NA,NA
2021-05-02,215,NA,215,NA,NA,NA
2021-05-09,209,NA,209,NA,NA,NA
2021-05-16,245,NA,245,NA,NA,NA
2021-05-23,218,NA,218,NA,NA,NA
2021-05-30,189,NA,189,NA,NA,NA
2021-06-06,198,NA,198,NA,NA,NA
2021-06-13,173,NA,173,NA,NA,NA
2021-06-20,131,NA,131,NA,NA,NA
2021-06-27,101,NA,101,NA,NA,NA
2021-07-04,111,NA,111,NA,NA,NA
2021-07-11,89,NA,89,NA,NA,NA
2021-07-18,70,NA,70,NA,NA,NA
2021-07-25,59,NA,59,NA,NA,NA
2021-08-01,57,NA,57,NA,NA,NA
2021-08-08,64,NA,64,NA,NA,NA
2021-08-15,42,NA,42,NA,NA,NA
2021-08-22,43,NA,43,NA,NA,NA
2021-08-29,29,NA,29,NA,NA,NA
2021-09-05,48,NA,48,NA,NA,NA
2021-09-12,40,NA,40,NA,NA,NA
2021-09-19,29,NA,29,NA,NA,NA
2021-09-26,50,NA,50,NA,NA,NA
2021-10-03,43,NA,43,NA,NA,NA
2021-10-10,19,NA,19,NA,NA,NA
2021-10-17,19,NA,19,NA,NA,NA
2021-10-24,16,NA,16,NA,NA,NA
2021-10-31,15,NA,15,NA,NA,NA
2021-11-07,20,NA,20,NA,NA,NA
2021-11-14,15,NA,15,NA,NA,NA
2021-11-21,11,NA,11,NA,NA,NA
2021-11-28,6,NA,6,NA,NA,NA
2021-12-05,7,NA,7,NA,NA,NA
2021-12-12,7,NA,7,NA,NA,NA
2021-12-19,9,NA,9,NA,NA,NA
2021-12-26,17,NA,17,NA,NA,NA
2022-01-02,54,NA,54,NA,NA,NA
2022-01-09,NA,56,56,NA,55,60
2022-01-16,NA,102,102,NA,101,109
2022-01-23,NA,77,77,NA,74,85
2022-01-30,NA,66,66,NA,62,74
2022-02-06,NA,58,58,NA,52,66
2022-02-13,NA,27,27,NA,22,34
2022-02-20,NA,22,22,NA,16,30
2022-02-27,NA,16,16,NA,8,27
2022-03-06,NA,21,21,NA,7,50
