"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
50,57,1.09997059524827,0.369756130923076,0.496917510352206,0.569825750269484,0.834478326989676,1.05717557743791,1.32315264888004,1.77115372837017,1.935261723662,2020-05-24
57,64,1.43170886584773,0.412889350044994,0.741957170538482,0.827059505177019,1.13597257495853,1.39110633200182,1.68469794599815,2.170177279385,2.34271698997059,2020-05-31
64,71,1.49099253572445,0.332170840410081,0.916036119584484,0.990731684262998,1.25585784311677,1.46645601183204,1.69589238206674,2.07748109250981,2.21022215584189,2020-06-07
71,78,1.11951951873997,0.22429898581212,0.725375910199473,0.777677962494609,0.961347096568907,1.10439794127659,1.26077130004627,1.51203145977277,1.60221530171963,2020-06-14
78,85,1.17743332272859,0.218709872444844,0.786569677779358,0.842039908491842,1.0232648060551,1.16513099914066,1.31663439659184,1.55608660511306,1.63928240263623,2020-06-21
85,92,1.08622229244933,0.190554686011471,0.743783898283944,0.793701141985261,0.951547632031071,1.07529918702396,1.20944344841645,1.41586960310593,1.48759956038839,2020-06-28
92,99,1.11338576604601,0.185708817868947,0.781183516148305,0.827480686041565,0.982675103852254,1.10276356699336,1.23281604345984,1.43545980677393,1.50384982871726,2020-07-05
99,106,1.21540594168469,0.178856847379669,0.891110479899643,0.936639659726096,1.09004520977323,1.20759549073362,1.33103211721478,1.52123663496142,1.58907175670155,2020-07-12
106,113,1.12940052048056,0.151485978474723,0.85414057442253,0.893062704436863,1.02320460065416,1.12357208333546,1.22753574768537,1.38998323443148,1.44372998063669,2020-07-19
113,120,1.01923245532606,0.135252422545496,0.772813750503822,0.807847676491587,0.925297161132397,1.01307968355085,1.10626835512977,1.2518753510013,1.30420993303256,2020-07-26
120,127,0.980466990267671,0.132279251630143,0.739802766420299,0.773682016760358,0.887997402412939,0.97433490095676,1.0663728002717,1.208536039441,1.25558587043462,2020-08-02
127,134,0.859749446885598,0.130518433395254,0.623290744790171,0.656949670181413,0.767961155054643,0.853162370628301,0.945630835870738,1.08338917567401,1.13382311383087,2020-08-09
134,141,0.803746139628839,0.145582771079954,0.544867483586038,0.580324565775509,0.701298638456289,0.794637702047873,0.897378858305064,1.05565422804329,1.11293453418756,2020-08-16
141,148,1.03260429365326,0.189674528417436,0.694924662839767,0.742930443660005,0.900576729385288,1.01968231092378,1.15327896530354,1.36532718197114,1.44067026523279,2020-08-23
148,155,1.05820230755836,0.185216523502428,0.726359159296425,0.77256662245701,0.927373017498231,1.04778498592906,1.17672157774328,1.38040760032984,1.44987538724844,2020-08-30
155,162,0.823464762302954,0.165187511060971,0.531792175114441,0.572506283140063,0.70700871764243,0.812181098331439,0.928307356942913,1.11203898414368,1.17890649595488,2020-09-06
162,169,0.969145581321347,0.219185011162269,0.588368994176766,0.640107459194621,0.814524951739531,0.952113259142828,1.10425888026822,1.35577055285644,1.44815160563734,2020-09-13
169,176,0.853873898778083,0.20809728383503,0.493745655968325,0.541829321111604,0.706314866892708,0.837443627934597,0.98303056512313,1.22306772193536,1.30769147076368,2020-09-20
176,183,1.04291323052228,0.28170788905638,0.566069086784851,0.628123648031466,0.841365714723034,1.01734935701627,1.21569790590539,1.54665774027804,1.66393061901299,2020-09-27
183,190,0.850046136443165,0.245499693639194,0.440857473018484,0.491870298727607,0.673428499168265,0.825912422959754,1.00039707588415,1.28857452173818,1.39938668877088,2020-10-04
190,197,0.968893684523223,0.325127404609382,0.440240530174598,0.50244479102846,0.735183911586782,0.934320924334354,1.16089237606201,1.56070326304348,1.706448127831,2020-10-11
197,204,1.09466481734478,0.366224546194966,0.49979132724675,0.570028934835562,0.831590260069412,1.05331998815421,1.31243581008527,1.76264875571516,1.92333710213056,2020-10-18
204,211,1.09662934525324,0.367307493081042,0.497699531586154,0.568409243824309,0.832528754918467,1.05589647203096,1.31621397780961,1.76269923217123,1.92769002277253,2020-10-25
211,218,1.09538069112024,0.366370650575051,0.500644222806605,0.57092747092359,0.829860552980348,1.05533821179991,1.3170072963228,1.76387861406016,1.92452734526945,2020-11-01
218,225,1.1003000237604,0.368715285458987,0.505804877485875,0.571983634820563,0.833497746608675,1.05810091368515,1.32387461742416,1.76930730626943,1.93324626575273,2020-11-08
