"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,2084,NA,NA,NA,2084,NA,NA,NA
2020-03-22,5148,NA,NA,NA,5148,NA,NA,NA
2020-03-29,8520,NA,NA,NA,8520,NA,NA,NA
2020-04-05,11705,NA,NA,NA,11705,NA,NA,NA
2020-04-12,15035,NA,NA,NA,15035,NA,NA,NA
2020-04-19,18894,NA,NA,NA,18894,NA,NA,NA
2020-04-26,23509,NA,NA,NA,23509,NA,NA,NA
2020-05-03,28204,NA,NA,NA,28204,NA,NA,NA
2020-05-10,33104,NA,NA,NA,33104,NA,NA,NA
2020-05-17,37874,NA,NA,NA,37874,NA,NA,NA
2020-05-24,42121,NA,NA,NA,42121,NA,NA,NA
2020-05-31,46092,NA,NA,NA,46092,NA,NA,NA
2020-06-07,50287,NA,NA,NA,50287,NA,NA,NA
2020-06-14,53860,NA,NA,NA,53860,NA,NA,NA
2020-06-21,57229,NA,NA,NA,57229,NA,NA,NA
2020-06-28,60253,NA,NA,NA,60253,NA,NA,NA
2020-07-05,63652,NA,NA,NA,63652,NA,NA,NA
2020-07-12,66911,NA,NA,NA,66911,NA,NA,NA
2020-07-19,69856,NA,NA,NA,69856,NA,NA,NA
2020-07-26,72772,NA,NA,NA,72772,NA,NA,NA
2020-08-02,75472,NA,NA,NA,75472,NA,NA,NA
2020-08-09,77968,NA,NA,NA,77968,NA,NA,NA
2020-08-16,80403,NA,NA,NA,80403,NA,NA,NA
2020-08-23,82538,NA,NA,NA,82538,NA,NA,NA
2020-08-30,84684,NA,NA,NA,84684,NA,NA,NA
2020-09-06,86840,NA,NA,NA,86840,NA,NA,NA
2020-09-13,88620,NA,NA,NA,88620,NA,NA,NA
2020-09-20,90234,NA,NA,NA,90234,NA,NA,NA
2020-09-27,91687,NA,NA,NA,91687,NA,NA,NA
2020-10-04,93321,NA,NA,NA,93321,NA,NA,NA
2020-10-11,94800,NA,NA,NA,94800,NA,NA,NA
2020-10-18,96319,NA,NA,NA,96319,NA,NA,NA
2020-10-25,98006,NA,NA,NA,98006,NA,NA,NA
2020-11-01,99610,NA,NA,NA,99610,NA,NA,NA
2020-11-08,101567,NA,NA,NA,101567,NA,NA,NA
2020-11-15,103850,NA,NA,NA,103850,NA,NA,NA
2020-11-22,106227,NA,NA,NA,106227,NA,NA,NA
2020-11-29,108477,NA,NA,NA,108477,NA,NA,NA
2020-12-06,111134,NA,NA,NA,111134,NA,NA,NA
2020-12-13,113560,NA,NA,NA,113560,NA,NA,NA
2020-12-20,115916,NA,NA,NA,115916,NA,NA,NA
2020-12-27,118365,NA,NA,NA,118365,NA,NA,NA
2021-01-03,121300,NA,NA,NA,121300,NA,NA,NA
2021-01-10,124383,NA,NA,NA,124383,NA,NA,NA
2021-01-17,126865,NA,NA,NA,126865,NA,NA,NA
2021-01-24,129158,NA,NA,NA,129158,NA,NA,NA
2021-01-31,131277,NA,NA,NA,131277,NA,NA,NA
2021-02-07,133795,NA,NA,NA,133795,NA,NA,NA
2021-02-14,136588,NA,NA,NA,136588,NA,NA,NA
2021-02-21,140273,NA,NA,NA,140273,NA,NA,NA
2021-02-28,144698,NA,NA,NA,144698,NA,NA,NA
2021-03-07,151068,NA,NA,NA,151068,NA,NA,NA
2021-03-14,157638,NA,NA,NA,157638,NA,NA,NA
2021-03-21,163757,NA,NA,NA,163757,NA,NA,NA
2021-03-28,168234,NA,NA,NA,168234,NA,NA,NA
2021-04-04,172204,NA,NA,NA,172204,NA,NA,NA
2021-04-11,175907,NA,NA,NA,175907,NA,NA,NA
2021-04-18,179094,NA,NA,NA,179094,NA,NA,NA
2021-04-25,182389,NA,NA,NA,182389,NA,NA,NA
2021-05-02,185742,NA,NA,NA,185742,NA,NA,NA
2021-05-09,189162,NA,NA,NA,189162,NA,NA,NA
2021-05-16,193032,NA,NA,NA,193032,NA,NA,NA
2021-05-23,196786,NA,NA,NA,196786,NA,NA,NA
2021-05-30,200549,NA,NA,NA,200549,NA,NA,NA
2021-06-06,204246,NA,NA,NA,204246,NA,NA,NA
2021-06-13,207203,NA,NA,NA,207203,NA,NA,NA
2021-06-20,209840,NA,NA,NA,209840,NA,NA,NA
2021-06-27,211972,NA,NA,NA,211972,NA,NA,NA
2021-07-04,214277,NA,NA,NA,214277,NA,NA,NA
2021-07-11,216163,NA,NA,NA,216163,NA,NA,NA
2021-07-18,217786,NA,NA,NA,217786,NA,NA,NA
2021-07-25,219323,NA,NA,NA,219323,NA,NA,NA
2021-08-01,220875,NA,NA,NA,220875,NA,NA,NA
2021-08-08,222382,NA,NA,NA,222382,NA,NA,NA
2021-08-15,223924,NA,NA,NA,223919,NA,NA,NA
2021-08-22,225370,NA,NA,NA,225350,NA,NA,NA
2021-08-29,226709,NA,NA,NA,226665,NA,NA,NA
2021-09-05,228259,NA,NA,NA,228167,NA,NA,NA
2021-09-12,229582,NA,NA,NA,229413,NA,NA,NA
2021-09-19,230932,NA,NA,NA,230632,NA,NA,NA
2021-09-26,232266,NA,NA,NA,231743,NA,NA,NA
2021-10-03,233477,NA,NA,NA,232502,NA,NA,NA
2021-10-10,234475,234475,234158,234819,232631,232631,232631,232631
2021-10-17,NA,235624,235219,236058,NA,232796,232783,232809
