"data","n.casos","estimate","estimate.merged","estimate.merged.smooth","lower.merged.pred","upper.merged.pred"
2020-03-15,5,NA,5,8,NA,NA
2020-03-16,9,NA,9,10.9,NA,NA
2020-03-17,7,NA,7,13.6,NA,NA
2020-03-18,11,NA,11,17.2,NA,NA
2020-03-19,16,NA,16,21.4,NA,NA
2020-03-20,22,NA,22,25.1,NA,NA
2020-03-21,30,NA,30,29.5,NA,NA
2020-03-22,29,NA,29,35.4,NA,NA
2020-03-23,42,NA,42,41.4,NA,NA
2020-03-24,43,NA,43,47.1,NA,NA
2020-03-25,42,NA,42,52.4,NA,NA
2020-03-26,53,NA,53,58.2,NA,NA
2020-03-27,66,NA,66,64.6,NA,NA
2020-03-28,71,NA,71,70.2,NA,NA
2020-03-29,73,NA,73,76.5,NA,NA
2020-03-30,75,NA,75,84.5,NA,NA
2020-03-31,88,NA,88,90.6,NA,NA
2020-04-01,93,NA,93,95.9,NA,NA
2020-04-02,98,NA,98,101.2,NA,NA
2020-04-03,106,NA,106,103.6,NA,NA
2020-04-04,122,NA,122,103.9,NA,NA
2020-04-05,114,NA,114,105.6,NA,NA
2020-04-06,119,NA,119,106.7,NA,NA
2020-04-07,124,NA,124,107.1,NA,NA
2020-04-08,97,NA,97,109.1,NA,NA
2020-04-09,78,NA,78,106.9,NA,NA
2020-04-10,105,NA,105,106.4,NA,NA
2020-04-11,104,NA,104,105.1,NA,NA
2020-04-12,102,NA,102,103.8,NA,NA
2020-04-13,126,NA,126,104.5,NA,NA
2020-04-14,100,NA,100,107.7,NA,NA
2020-04-15,109,NA,109,110,NA,NA
2020-04-16,106,NA,106,110.4,NA,NA
2020-04-17,111,NA,111,112.8,NA,NA
2020-04-18,104,NA,104,114.4,NA,NA
2020-04-19,110,NA,110,116.5,NA,NA
2020-04-20,128,NA,128,116.5,NA,NA
2020-04-21,108,NA,108,118.9,NA,NA
2020-04-22,126,NA,126,120.7,NA,NA
2020-04-23,142,NA,142,125.4,NA,NA
2020-04-24,121,NA,121,130.9,NA,NA
2020-04-25,109,NA,109,131.9,NA,NA
2020-04-26,130,NA,130,136.3,NA,NA
2020-04-27,129,NA,129,136.6,NA,NA
2020-04-28,151,NA,151,136.6,NA,NA
2020-04-29,165,NA,165,138.5,NA,NA
2020-04-30,138,NA,138,143.7,NA,NA
2020-05-01,152,NA,152,143.3,NA,NA
2020-05-02,129,NA,129,146.4,NA,NA
2020-05-03,142,NA,142,150.3,NA,NA
2020-05-04,140,NA,140,149.5,NA,NA
2020-05-05,161,NA,161,152.3,NA,NA
2020-05-06,126,NA,126,154.2,NA,NA
2020-05-07,160,NA,160,157.5,NA,NA
2020-05-08,190,NA,190,160.9,NA,NA
2020-05-09,157,NA,157,163.7,NA,NA
2020-05-10,166,NA,166,162.4,NA,NA
2020-05-11,171,NA,171,166.9,NA,NA
2020-05-12,162,NA,162,166.7,NA,NA
2020-05-13,176,NA,176,165.3,NA,NA
2020-05-14,168,NA,168,167,NA,NA
2020-05-15,148,NA,148,165.3,NA,NA
2020-05-16,171,NA,171,167,NA,NA
2020-05-17,158,NA,158,168.4,NA,NA
2020-05-18,176,NA,176,165.8,NA,NA
2020-05-19,174,NA,174,164.4,NA,NA
2020-05-20,149,NA,149,165.8,NA,NA
2020-05-21,188,NA,188,164.8,NA,NA
2020-05-22,176,NA,176,165.3,NA,NA
2020-05-23,150,NA,150,164.3,NA,NA
2020-05-24,154,NA,154,163.6,NA,NA
2020-05-25,162,NA,162,162.9,NA,NA
2020-05-26,161,NA,161,159.8,NA,NA
2020-05-27,163,NA,163,159.3,NA,NA
2020-05-28,166,NA,166,162.2,NA,NA
2020-05-29,167,NA,167,163.1,NA,NA
2020-05-30,142,NA,142,163.4,NA,NA
2020-05-31,157,NA,157,162.2,NA,NA
2020-06-01,171,NA,171,161,NA,NA
2020-06-02,179,NA,179,159.7,NA,NA
2020-06-03,163,NA,163,158.8,NA,NA
2020-06-04,165,NA,165,162,NA,NA
2020-06-05,149,NA,149,162.9,NA,NA
2020-06-06,151,NA,151,163.4,NA,NA
2020-06-07,153,NA,153,161.6,NA,NA
2020-06-08,158,NA,158,160.7,NA,NA
2020-06-09,174,NA,174,159.5,NA,NA
2020-06-10,166,NA,166,158.5,NA,NA
2020-06-11,176,NA,176,156.8,NA,NA
2020-06-12,161,NA,161,158.1,NA,NA
2020-06-13,154,NA,154,155.6,NA,NA
2020-06-14,153,NA,153,151.8,NA,NA
2020-06-15,139,NA,139,146.9,NA,NA
2020-06-16,134,NA,134,142.9,NA,NA
2020-06-17,166,NA,166,138.7,NA,NA
2020-06-18,133,NA,133,136.5,NA,NA
2020-06-19,136,NA,136,132.5,NA,NA
2020-06-20,117,NA,117,130,NA,NA
2020-06-21,136,NA,136,127.1,NA,NA
2020-06-22,119,NA,119,122.8,NA,NA
2020-06-23,132,NA,132,119.3,NA,NA
2020-06-24,113,NA,113,118.1,NA,NA
2020-06-25,114,NA,114,118,NA,NA
2020-06-26,105,NA,105,114.4,NA,NA
2020-06-27,123,NA,123,114,NA,NA
2020-06-28,98,NA,98,111.4,NA,NA
2020-06-29,124,NA,124,109,NA,NA
2020-06-30,116,NA,116,110.2,NA,NA
2020-07-01,100,NA,100,110.6,NA,NA
2020-07-02,115,NA,115,109.7,NA,NA
2020-07-03,106,NA,106,110.2,NA,NA
