"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,3,NA,NA,NA,3,NA,NA,NA
2020-03-22,7,NA,NA,NA,7,NA,NA,NA
2020-03-29,14,NA,NA,NA,14,NA,NA,NA
2020-04-05,31,NA,NA,NA,31,NA,NA,NA
2020-04-12,43,NA,NA,NA,43,NA,NA,NA
2020-04-19,56,NA,NA,NA,56,NA,NA,NA
2020-04-26,75,NA,NA,NA,75,NA,NA,NA
2020-05-03,88,NA,NA,NA,88,NA,NA,NA
2020-05-10,95,NA,NA,NA,95,NA,NA,NA
2020-05-17,110,NA,NA,NA,110,NA,NA,NA
2020-05-24,130,NA,NA,NA,130,NA,NA,NA
2020-05-31,152,NA,NA,NA,152,NA,NA,NA
2020-06-07,188,NA,NA,NA,188,NA,NA,NA
2020-06-14,206,NA,NA,NA,206,NA,NA,NA
2020-06-21,234,NA,NA,NA,234,NA,NA,NA
2020-06-28,267,NA,NA,NA,267,NA,NA,NA
2020-07-05,311,NA,NA,NA,311,NA,NA,NA
2020-07-12,339,NA,NA,NA,339,NA,NA,NA
2020-07-19,375,NA,NA,NA,375,NA,NA,NA
2020-07-26,422,NA,NA,NA,422,NA,NA,NA
2020-08-02,455,NA,NA,NA,455,NA,NA,NA
2020-08-09,495,NA,NA,NA,495,NA,NA,NA
2020-08-16,524,NA,NA,NA,524,NA,NA,NA
2020-08-23,551,NA,NA,NA,551,NA,NA,NA
2020-08-30,584,NA,NA,NA,584,NA,NA,NA
2020-09-06,607,NA,NA,NA,607,NA,NA,NA
2020-09-13,630,NA,NA,NA,630,NA,NA,NA
2020-09-20,649,NA,NA,NA,649,NA,NA,NA
2020-09-27,665,NA,NA,NA,665,NA,NA,NA
2020-10-04,688,NA,NA,NA,688,NA,NA,NA
2020-10-11,699,NA,NA,NA,699,NA,NA,NA
2020-10-18,717,NA,NA,NA,717,NA,NA,NA
2020-10-25,734,NA,NA,NA,734,NA,NA,NA
2020-11-01,753,NA,NA,NA,753,NA,NA,NA
2020-11-08,770,NA,NA,NA,770,NA,NA,NA
2020-11-15,788,NA,NA,NA,788,NA,NA,NA
2020-11-22,804,NA,NA,NA,804,NA,NA,NA
2020-11-29,826,NA,NA,NA,826,NA,NA,NA
2020-12-06,844,NA,NA,NA,844,NA,NA,NA
2020-12-13,869,NA,NA,NA,869,NA,NA,NA
2020-12-20,902,NA,NA,NA,902,NA,NA,NA
2020-12-27,928,NA,NA,NA,928,NA,NA,NA
2021-01-03,949,NA,NA,NA,949,NA,NA,NA
2021-01-10,968,NA,NA,NA,968,NA,NA,NA
2021-01-17,995,NA,NA,NA,995,NA,NA,NA
2021-01-24,1022,NA,NA,NA,1022,NA,NA,NA
2021-01-31,1067,NA,NA,NA,1067,NA,NA,NA
2021-02-07,1111,NA,NA,NA,1111,NA,NA,NA
2021-02-14,1142,NA,NA,NA,1142,NA,NA,NA
2021-02-21,1183,NA,NA,NA,1183,NA,NA,NA
2021-02-28,1214,NA,NA,NA,1214,NA,NA,NA
2021-03-07,1265,NA,NA,NA,1265,NA,NA,NA
2021-03-14,1325,NA,NA,NA,1325,NA,NA,NA
2021-03-21,1434,NA,NA,NA,1434,NA,NA,NA
2021-03-28,1592,NA,NA,NA,1592,NA,NA,NA
2021-04-04,1769,NA,NA,NA,1769,NA,NA,NA
2021-04-11,1916,NA,NA,NA,1916,NA,NA,NA
2021-04-18,2031,NA,NA,NA,2031,NA,NA,NA
2021-04-25,2121,NA,NA,NA,2121,NA,NA,NA
2021-05-02,2195,NA,NA,NA,2195,NA,NA,NA
2021-05-09,2281,NA,NA,NA,2281,NA,NA,NA
2021-05-16,2341,NA,NA,NA,2341,NA,NA,NA
2021-05-23,2423,NA,NA,NA,2423,NA,NA,NA
2021-05-30,2520,NA,NA,NA,2520,NA,NA,NA
2021-06-06,2598,NA,NA,NA,2598,NA,NA,NA
2021-06-13,2700,NA,NA,NA,2700,NA,NA,NA
2021-06-20,2846,NA,NA,NA,2846,NA,NA,NA
2021-06-27,2975,NA,NA,NA,2975,NA,NA,NA
2021-07-04,3080,NA,NA,NA,3080,NA,NA,NA
2021-07-11,3178,NA,NA,NA,3178,NA,NA,NA
2021-07-18,3246,NA,NA,NA,3246,NA,NA,NA
2021-07-25,3298,NA,NA,NA,3298,NA,NA,NA
2021-08-01,3342,NA,NA,NA,3342,NA,NA,NA
2021-08-08,3376,NA,NA,NA,3376,NA,NA,NA
2021-08-15,3409,NA,NA,NA,3409,NA,NA,NA
2021-08-22,3439,NA,NA,NA,3439,NA,NA,NA
2021-08-29,3454,NA,NA,NA,3454,NA,NA,NA
2021-09-05,3471,NA,NA,NA,3471,NA,NA,NA
2021-09-12,3483,NA,NA,NA,3483,NA,NA,NA
2021-09-19,3496,NA,NA,NA,3496,NA,NA,NA
2021-09-26,3502,NA,NA,NA,3502,NA,NA,NA
2021-10-03,3513,NA,NA,NA,3513,NA,NA,NA
2021-10-10,3518,NA,NA,NA,3518,NA,NA,NA
2021-10-17,3527,NA,NA,NA,3527,NA,NA,NA
2021-10-24,3531,NA,NA,NA,3531,NA,NA,NA
2021-10-31,3533,NA,NA,NA,3533,NA,NA,NA
2021-11-07,3538,NA,NA,NA,3538,NA,NA,NA
2021-11-14,3543,NA,NA,NA,3543,NA,NA,NA
2021-11-21,3547,3547,3544,3568,3547,3547,3547,3547
2021-11-28,NA,3552,3548,3576,NA,3547,3547,3547
