"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
15,22,0.989662668697525,0.189004485183791,0.656984801096206,0.703457238149462,0.855473905155808,0.97742482729321,1.1092434384463,1.32064379045853,1.39663431829203,2020-04-05
22,29,1.13582281166532,0.211399702220636,0.760460593362797,0.811624738864684,0.986039443222327,1.12210352337705,1.27038994233087,1.50571554592361,1.58921121859289,2020-04-12
29,36,1.24276105009691,0.195819881884539,0.891094114149301,0.940028731503854,1.10552299322547,1.23241591877657,1.36828835834502,1.58148928257467,1.65704213783928,2020-04-19
36,43,1.12808310395476,0.163028411688229,0.832070117868462,0.874611514955327,1.01408892756959,1.1196525431174,1.23324586702941,1.40920173363249,1.47011223122884,2020-04-26
43,50,1.16120077802767,0.153526120786386,0.880308035798765,0.920111362640109,1.05463278444308,1.15380256616556,1.26087415948748,1.42572990944199,1.47939581920278,2020-05-03
50,57,1.25077937733982,0.141673225630219,0.988948207626685,1.0270631157198,1.15187216992174,1.24542417957962,1.34306901551967,1.49386240829503,1.54273852765435,2020-05-10
57,64,1.06304644547006,0.11244066865786,0.855517088501093,0.886158339951173,0.985688706750141,1.05807919397731,1.13614001345605,1.25592744111031,1.29616169009957,2020-05-17
64,71,0.862807571600278,0.101529503553599,0.67583829126131,0.70346216936547,0.792199333525861,0.858415201862714,0.929529494918653,1.03755190416469,1.0732201842265,2020-05-24
71,78,0.945756153495029,0.120146818455502,0.726423248850592,0.757276680761581,0.862113350480246,0.940660515566482,1.02366471006241,1.15079686744157,1.19429496349093,2020-05-31
78,85,0.973434294155555,0.123747798490439,0.746767025198532,0.779524644549939,0.887169077004336,0.96828722033571,1.05364618804253,1.18610322495596,1.23187480896883,2020-06-07
85,92,0.970654411072723,0.129071984726729,0.735347767784815,0.769468997811653,0.879830331880193,0.96454317509667,1.05429909047492,1.19103309695709,1.24016353990901,2020-06-14
92,99,0.995496742695052,0.132659004773572,0.751891165861362,0.787681616332455,0.903682657882406,0.989844757141516,1.08035140700644,1.22328651248593,1.27187389487705,2020-06-21
99,106,0.996018192473845,0.137170995907131,0.74611140348741,0.783422142022456,0.900351136468703,0.989733136954319,1.08407726924852,1.23246693262738,1.28368946753853,2020-06-28
106,113,0.964848927718616,0.134515179475282,0.722291709250367,0.755380274554152,0.870655688351017,0.95792568170017,1.05185039256812,1.19759583514312,1.2459096688432,2020-07-05
113,120,1.00315469991743,0.143351559239507,0.743202449178281,0.780611568922783,0.902630485426621,0.996855853620173,1.09493290573296,1.25149427730341,1.30178218508183,2020-07-12
120,127,1.08743377606964,0.149437623993535,0.815192628636369,0.853165567886676,0.983546532466274,1.0800828204928,1.1850421753315,1.34330870070399,1.39939027285221,2020-07-19
127,134,1.04694265244296,0.139510097975958,0.792307410471887,0.82925438967501,0.950016894211034,1.04000263254155,1.1370323638106,1.28712573843985,1.33939687533188,2020-07-26
134,141,0.926034683707889,0.129983395174338,0.690783172814438,0.724017573991256,0.835303573768063,0.919431940976163,1.01094417809239,1.15022016771916,1.19679156656688,2020-08-02
141,148,0.894845114822725,0.139656027970643,0.641943449913864,0.677626662739308,0.79704656947862,0.887809629273042,0.984439895614045,1.13641851424696,1.18876410201662,2020-08-09
148,155,0.906228847758779,0.154143118633407,0.629696332678249,0.667015619932767,0.798447835689407,0.896998182585105,1.00492956159429,1.17384447382171,1.23472924862421,2020-08-16
155,162,0.880509915577078,0.167705766183011,0.583748245819471,0.624241773897371,0.762311078116291,0.869489046834882,0.98693949650564,1.17228904536956,1.23848551996379,2020-08-23
162,169,0.875697206303258,0.186758346329319,0.548916208379902,0.593847036292172,0.744526708955341,0.862693497879946,0.992141759865493,1.20265993630042,1.27829382605641,2020-08-30
169,176,0.901337083437586,0.219710513598935,0.523752362893353,0.573776115917102,0.743533556428625,0.884454132065313,1.03819596701952,1.28915992443382,1.38250716281236,2020-09-06
176,183,1.04390009366267,0.253649709007798,0.607822580693319,0.663315776774982,0.863381725546615,1.02183596229966,1.20253193154656,1.49447124505111,1.60038991514459,2020-09-13
183,190,1.27981447121951,0.266323865629695,0.813034008977776,0.874142919379566,1.09107341673989,1.26150959661613,1.44812315221349,1.74972089191434,1.85333556768652,2020-09-20
190,197,0.943727503263859,0.201765681491785,0.590359532070777,0.639851406531999,0.801145778439693,0.928637537134592,1.06985953000142,1.29804865452211,1.38091821737915,2020-09-27
197,204,1.08659717262597,0.238610046884748,0.668655976491812,0.726998228888164,0.917960508726237,1.06899132321811,1.23816067866399,1.50305315371839,1.59834531467509,2020-10-04
204,211,1.02506287913679,0.213755706471333,0.651126246583395,0.704016641151461,0.874284963014793,1.00840384817875,1.15984676338663,1.40310506830562,1.48459820330929,2020-10-11
211,218,1.07629029150458,0.219703797388484,0.68785648214966,0.743238074598418,0.920909710773128,1.06137677839006,1.21361528119249,1.46381984900603,1.5515817661497,2020-10-18
218,225,1.18523851417,0.220275282277126,0.792594072812126,0.846806956444811,1.03135133503709,1.17090870913715,1.32496467114626,1.5681282306946,1.65662412830178,2020-10-25
