"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,4,NA,NA,NA,4,NA,NA,NA
2020-03-22,5,NA,NA,NA,5,NA,NA,NA
2020-04-05,6,NA,NA,NA,6,NA,NA,NA
2020-04-12,7,NA,NA,NA,7,NA,NA,NA
2020-04-19,10,NA,NA,NA,10,NA,NA,NA
2020-04-26,14,NA,NA,NA,14,NA,NA,NA
2020-05-03,23,NA,NA,NA,23,NA,NA,NA
2020-05-10,40,NA,NA,NA,40,NA,NA,NA
2020-05-17,54,NA,NA,NA,54,NA,NA,NA
2020-05-24,65,NA,NA,NA,65,NA,NA,NA
2020-05-31,77,NA,NA,NA,77,NA,NA,NA
2020-06-07,91,NA,NA,NA,91,NA,NA,NA
2020-06-14,109,NA,NA,NA,109,NA,NA,NA
2020-06-21,134,NA,NA,NA,134,NA,NA,NA
2020-06-28,144,NA,NA,NA,144,NA,NA,NA
2020-07-05,170,NA,NA,NA,170,NA,NA,NA
2020-07-12,197,NA,NA,NA,197,NA,NA,NA
2020-07-19,229,NA,NA,NA,229,NA,NA,NA
2020-07-26,255,NA,NA,NA,255,NA,NA,NA
2020-08-02,290,NA,NA,NA,290,NA,NA,NA
2020-08-09,313,NA,NA,NA,313,NA,NA,NA
2020-08-16,344,NA,NA,NA,344,NA,NA,NA
2020-08-23,389,NA,NA,NA,389,NA,NA,NA
2020-08-30,439,NA,NA,NA,439,NA,NA,NA
2020-09-06,478,NA,NA,NA,478,NA,NA,NA
2020-09-13,517,NA,NA,NA,517,NA,NA,NA
2020-09-20,541,NA,NA,NA,541,NA,NA,NA
2020-09-27,559,NA,NA,NA,559,NA,NA,NA
2020-10-04,564,NA,NA,NA,564,NA,NA,NA
2020-10-11,572,NA,NA,NA,572,NA,NA,NA
2020-10-18,580,NA,NA,NA,580,NA,NA,NA
2020-10-25,585,NA,NA,NA,585,NA,NA,NA
2020-11-01,590,NA,NA,NA,590,NA,NA,NA
2020-11-08,599,NA,NA,NA,599,NA,NA,NA
2020-11-15,618,NA,NA,NA,618,NA,NA,NA
2020-11-22,637,NA,NA,NA,636,NA,NA,NA
2020-11-29,655,NA,NA,NA,653,NA,NA,NA
2020-12-06,664,NA,NA,NA,663,NA,NA,NA
2020-12-13,671,NA,NA,NA,669,NA,NA,NA
2020-12-20,677,677,665,712,672,672,672,672
2020-12-27,NA,684,668,726,NA,673,672,673
