"data","now.mean.c","now.mean.c.proj","now.low.c.proj","now.upp.c.proj","not.mean.c","not.mean.c.proj","not.low.c.proj","not.upp.c.proj"
2020-03-15,44,NA,NA,NA,44,NA,NA,NA
2020-03-16,47,NA,NA,NA,47,NA,NA,NA
2020-03-17,49,NA,NA,NA,49,NA,NA,NA
2020-03-18,51,NA,NA,NA,51,NA,NA,NA
2020-03-20,52,NA,NA,NA,52,NA,NA,NA
2020-03-21,53,NA,NA,NA,53,NA,NA,NA
2020-03-22,54,NA,NA,NA,54,NA,NA,NA
2020-03-23,57,NA,NA,NA,57,NA,NA,NA
2020-03-24,58,NA,NA,NA,58,NA,NA,NA
2020-03-26,59,NA,NA,NA,59,NA,NA,NA
2020-03-27,61,NA,NA,NA,61,NA,NA,NA
2020-03-28,62,NA,NA,NA,62,NA,NA,NA
2020-03-29,64,NA,NA,NA,64,NA,NA,NA
2020-03-30,66,NA,NA,NA,66,NA,NA,NA
2020-03-31,67,NA,NA,NA,67,NA,NA,NA
2020-04-01,70,NA,NA,NA,70,NA,NA,NA
2020-04-03,71,NA,NA,NA,71,NA,NA,NA
2020-04-05,72,NA,NA,NA,72,NA,NA,NA
2020-04-06,74,NA,NA,NA,74,NA,NA,NA
2020-04-08,76,NA,NA,NA,76,NA,NA,NA
2020-04-09,77,NA,NA,NA,77,NA,NA,NA
2020-04-13,79,NA,NA,NA,79,NA,NA,NA
2020-04-14,81,NA,NA,NA,81,NA,NA,NA
2020-04-15,83,NA,NA,NA,83,NA,NA,NA
2020-04-17,85,NA,NA,NA,85,NA,NA,NA
2020-04-18,88,NA,NA,NA,88,NA,NA,NA
2020-04-19,90,NA,NA,NA,90,NA,NA,NA
2020-04-21,91,NA,NA,NA,91,NA,NA,NA
2020-04-22,96,NA,NA,NA,96,NA,NA,NA
2020-04-23,98,NA,NA,NA,98,NA,NA,NA
2020-04-24,101,NA,NA,NA,101,NA,NA,NA
2020-04-25,104,NA,NA,NA,104,NA,NA,NA
2020-04-26,105,NA,NA,NA,105,NA,NA,NA
2020-04-28,107,NA,NA,NA,107,NA,NA,NA
2020-04-29,108,NA,NA,NA,108,NA,NA,NA
2020-04-30,112,NA,NA,NA,112,NA,NA,NA
2020-05-01,117,NA,NA,NA,117,NA,NA,NA
2020-05-02,119,NA,NA,NA,119,NA,NA,NA
2020-05-03,125,NA,NA,NA,125,NA,NA,NA
2020-05-04,126,NA,NA,NA,126,NA,NA,NA
2020-05-05,134,NA,NA,NA,134,NA,NA,NA
2020-05-06,142,NA,NA,NA,142,NA,NA,NA
2020-05-07,147,NA,NA,NA,147,NA,NA,NA
2020-05-08,153,NA,NA,NA,153,NA,NA,NA
2020-05-09,161,NA,NA,NA,161,NA,NA,NA
2020-05-10,164,NA,NA,NA,164,NA,NA,NA
2020-05-11,171,NA,NA,NA,171,NA,NA,NA
2020-05-12,177,NA,NA,NA,177,NA,NA,NA
2020-05-13,179,NA,NA,NA,179,NA,NA,NA
2020-05-14,182,NA,NA,NA,182,NA,NA,NA
2020-05-15,187,NA,NA,NA,187,NA,NA,NA
2020-05-16,188,NA,NA,NA,188,NA,NA,NA
2020-05-17,189,NA,NA,NA,189,NA,NA,NA
2020-05-18,196,NA,NA,NA,196,NA,NA,NA
2020-05-19,203,NA,NA,NA,203,NA,NA,NA
2020-05-20,205,NA,NA,NA,205,NA,NA,NA
2020-05-22,208,NA,NA,NA,208,NA,NA,NA
2020-05-23,209,NA,NA,NA,209,NA,NA,NA
2020-05-24,213,NA,NA,NA,213,NA,NA,NA
2020-05-25,218,NA,NA,NA,218,NA,NA,NA
2020-05-26,220,NA,NA,NA,220,NA,NA,NA
2020-05-27,222,NA,NA,NA,222,NA,NA,NA
2020-05-28,225,NA,NA,NA,225,NA,NA,NA
2020-05-29,227,NA,NA,NA,227,NA,NA,NA
2020-05-30,231,NA,NA,NA,231,NA,NA,NA
2020-05-31,234,NA,NA,NA,234,NA,NA,NA
2020-06-01,239,NA,NA,NA,239,NA,NA,NA
2020-06-02,243,NA,NA,NA,243,NA,NA,NA
2020-06-03,244,NA,NA,NA,244,NA,NA,NA
2020-06-04,248,NA,NA,NA,248,NA,NA,NA
2020-06-05,251,NA,NA,NA,251,NA,NA,NA
2020-06-06,252,NA,NA,NA,252,NA,NA,NA
2020-06-08,256,NA,NA,NA,256,NA,NA,NA
2020-06-09,258,NA,NA,NA,258,NA,NA,NA
2020-06-10,264,NA,NA,NA,264,NA,NA,NA
2020-06-12,265,NA,NA,NA,265,NA,NA,NA
2020-06-13,268,NA,NA,NA,268,NA,NA,NA
2020-06-14,273,NA,NA,NA,273,NA,NA,NA
2020-06-15,279,NA,NA,NA,279,NA,NA,NA
2020-06-16,282,NA,NA,NA,282,NA,NA,NA
2020-06-17,285,NA,NA,NA,285,NA,NA,NA
2020-06-18,289,NA,NA,NA,289,NA,NA,NA
2020-06-19,295,NA,NA,NA,295,NA,NA,NA
2020-06-20,298,NA,NA,NA,298,NA,NA,NA
2020-06-21,302,NA,NA,NA,302,NA,NA,NA
2020-06-22,305,NA,NA,NA,305,NA,NA,NA
2020-06-23,307,NA,NA,NA,307,NA,NA,NA
2020-06-24,309,NA,NA,NA,309,NA,NA,NA
2020-06-25,312,NA,NA,NA,312,NA,NA,NA
2020-06-26,317,NA,NA,NA,317,NA,NA,NA
2020-06-27,318,NA,NA,NA,318,NA,NA,NA
2020-06-28,323,NA,NA,NA,323,NA,NA,NA
2020-06-29,327,NA,NA,NA,327,NA,NA,NA
2020-06-30,332,NA,NA,NA,332,NA,NA,NA
2020-07-01,337,NA,NA,NA,337,NA,NA,NA
2020-07-02,344,NA,NA,NA,344,NA,NA,NA
2020-07-03,351,NA,NA,NA,352,NA,NA,NA
2020-07-04,355,NA,NA,NA,356,NA,NA,NA
2020-07-05,360,NA,NA,NA,361,NA,NA,NA
2020-07-06,365,NA,NA,NA,366,NA,NA,NA
2020-07-07,372,NA,NA,NA,373,NA,NA,NA
2020-07-08,376,NA,NA,NA,377,NA,NA,NA
2020-07-09,378,NA,NA,NA,379,NA,NA,NA
2020-07-10,381,NA,NA,NA,382,NA,NA,NA
2020-07-11,385,NA,NA,NA,386,NA,NA,NA
2020-07-12,388,NA,NA,NA,389,NA,NA,NA
2020-07-13,394,NA,NA,NA,394,NA,NA,NA
2020-07-14,401,NA,NA,NA,400,NA,NA,NA
2020-07-15,409,NA,NA,NA,407,NA,NA,NA
2020-07-16,414,NA,NA,NA,413,NA,NA,NA
2020-07-17,418,NA,NA,NA,417,NA,NA,NA
2020-07-18,423,NA,NA,NA,422,NA,NA,NA
2020-07-19,427,NA,NA,NA,426,NA,NA,NA
2020-07-20,430,NA,NA,NA,429,NA,NA,NA
2020-07-21,432,NA,NA,NA,431,NA,NA,NA
2020-07-22,433,NA,NA,NA,431,NA,NA,NA
2020-07-23,437,NA,NA,NA,434,NA,NA,NA
2020-07-24,445,NA,NA,NA,441,NA,NA,NA
2020-07-25,447,NA,NA,NA,441,NA,NA,NA
2020-07-26,455,NA,NA,NA,446,NA,NA,NA
2020-07-27,468,NA,NA,NA,454,NA,NA,NA
2020-07-28,478,NA,NA,NA,461,NA,NA,NA
2020-07-29,494,NA,NA,NA,469,NA,NA,NA
2020-07-30,512,NA,NA,NA,479,NA,NA,NA
2020-07-31,522,NA,NA,NA,480,NA,NA,NA
2020-08-01,538,NA,NA,NA,484,NA,NA,NA
2020-08-02,556,NA,NA,NA,490,NA,NA,NA
2020-08-03,577,NA,NA,NA,496,NA,NA,NA
2020-08-04,596,596,508,846,504,504,504,504
2020-08-05,NA,616,517,889,NA,519,510,542
2020-08-06,NA,637,526,938,NA,533,515,578
2020-08-07,NA,659,535,990,NA,545,520,610
2020-08-08,NA,681,545,1045,NA,557,525,640
2020-08-09,NA,705,554,1103,NA,566,528,665
2020-08-10,NA,729,563,1165,NA,574,532,687
2020-08-11,NA,754,573,1229,NA,581,534,706
2020-08-12,NA,779,583,1297,NA,587,536,720
2020-08-13,NA,806,593,1369,NA,590,538,731
2020-08-14,NA,833,603,1445,NA,593,539,739
2020-08-15,NA,862,614,1526,NA,595,539,743
