date,observed,estimate,upper,lower,type
2020-03-01,0,0,0,0,covid
2020-03-02,0,0,0,0,covid
2020-03-03,0,0,0,0,covid
2020-03-04,0,0,0,0,covid
2020-03-05,0,0,0,0,covid
2020-03-06,0,0,0,0,covid
2020-03-07,0,0,0,0,covid
2020-03-08,0,0,0,0,covid
2020-03-09,0,0,0,0,covid
2020-03-10,0,0,0,0,covid
2020-03-11,0,0,0,0,covid
2020-03-12,0,0,0,0,covid
2020-03-13,0,0,0,0,covid
2020-03-14,0,0,0,0,covid
2020-03-15,0,0,0,0,covid
2020-03-16,1,1,1,1,covid
2020-03-17,1,1,1,1,covid
2020-03-18,1,1,1,1,covid
2020-03-19,1,1,1,1,covid
2020-03-20,1,1,1,1,covid
2020-03-21,2,2,2,2,covid
2020-03-22,3,3,3,3,covid
2020-03-23,2,2,2,2,covid
2020-03-24,4,4,4,4,covid
2020-03-25,4,4,4,4,covid
2020-03-26,5,5,5,5,covid
2020-03-27,4,4,4,4,covid
2020-03-28,5,5,5,5,covid
2020-03-29,5,5,5,5,covid
2020-03-30,5,5,5,5,covid
2020-03-31,6,6,6,6,covid
2020-04-01,6,6,6,6,covid
2020-04-02,8,8,8,8,covid
2020-04-03,13,13,13,13,covid
2020-04-04,14,14,14,14,covid
2020-04-05,14,14,14,14,covid
2020-04-06,13,13,13,13,covid
2020-04-07,13,13,13,13,covid
2020-04-08,15,15,15,15,covid
2020-04-09,17,17,17,17,covid
2020-04-10,14,14,14,14,covid
2020-04-11,12,12,12,12,covid
2020-04-12,11,11,11,11,covid
2020-04-13,14,14,14,14,covid
2020-04-14,16,16,16,16,covid
2020-04-15,15,15,15,15,covid
2020-04-16,15,15,15,15,covid
2020-04-17,14,14,14,14,covid
2020-04-18,14,14,14,14,covid
2020-04-19,13,13,13,13,covid
2020-04-20,14,14,14,14,covid
2020-04-21,16,16,16,16,covid
2020-04-22,16,16,16,16,covid
2020-04-23,16,16,16,16,covid
2020-04-24,16,16,16,16,covid
2020-04-25,17,17,17,17,covid
2020-04-26,19,19,19,19,covid
2020-04-27,26,26,26,26,covid
2020-04-28,22,22,22,22,covid
2020-04-29,25,25,25,25,covid
2020-04-30,29,29,29,29,covid
2020-05-01,31,31,31,31,covid
2020-05-02,30,30,30,30,covid
2020-05-03,26,26,26,26,covid
2020-05-04,23,23,23,23,covid
2020-05-05,26,26,26,26,covid
2020-05-06,24,24,24,24,covid
2020-05-07,24,24,24,24,covid
2020-05-08,23,23,23,23,covid
2020-05-09,23,23,23,23,covid
2020-05-10,24,24,24,24,covid
2020-05-11,24,24,24,24,covid
2020-05-12,18,18,18,18,covid
2020-05-13,20,20,20,20,covid
2020-05-14,21,21,22,21,covid
2020-05-15,20,20,21,20,covid
2020-05-16,19,19,21,19,covid
2020-05-17,17,17,22,17,covid
2020-05-18,18,18,25,18,covid
2020-05-19,17,17,28,17,covid
2020-05-20,15,15,29,15,covid
2020-05-21,14,14,37,14,covid
2020-05-22,16,16,42,16,covid
2020-05-23,18,18,47,18,covid
2020-05-24,21,21,55,21,covid
2020-05-25,20,20,57,20,covid
2020-05-26,23,23,67,23,covid
2020-05-27,24,24,78,24,covid
2020-05-28,25,25,84,25,covid
2020-05-29,27,27,90,27,covid
2020-05-30,26,26,96,26,covid
2020-05-31,31,31,110,31,covid
2020-06-01,34,34,115,34,covid
2020-06-02,37,37,129,37,covid
2020-06-03,37,37,140,37,covid
2020-06-04,40,40,152,40,covid
2020-06-05,38,38,152,38,covid
2020-06-06,39,39,166,39,covid
2020-06-07,39,40,166,39,covid
2020-06-08,44,45,178,44,covid
2020-06-09,51,55,198,51,covid
2020-06-10,57,63,214,57,covid
2020-06-11,59,69,227,59,covid
2020-06-12,56,69,237,56,covid
2020-06-13,54,71,245,54,covid
2020-06-14,53,73,255,53,covid
2020-06-15,58,77,279,58,covid
2020-06-16,59,83,290,59,covid
2020-03-01,4,4,4,4,srag
2020-03-02,6,6,6,6,srag
2020-03-03,6,6,6,6,srag
2020-03-04,8,8,8,8,srag
2020-03-05,9,9,9,9,srag
2020-03-06,9,9,9,9,srag
2020-03-07,8,8,8,8,srag
2020-03-08,9,9,9,9,srag
2020-03-09,10,10,10,10,srag
2020-03-10,9,9,9,9,srag
2020-03-11,10,10,10,10,srag
2020-03-12,13,13,13,13,srag
2020-03-13,15,15,15,15,srag
2020-03-14,18,18,18,18,srag
2020-03-15,20,20,20,20,srag
2020-03-16,25,25,25,25,srag
2020-03-17,31,31,31,31,srag
2020-03-18,34,34,34,34,srag
2020-03-19,29,29,29,29,srag
2020-03-20,36,36,36,36,srag
2020-03-21,37,37,37,37,srag
2020-03-22,39,39,39,39,srag
2020-03-23,41,41,41,41,srag
2020-03-24,45,45,45,45,srag
2020-03-25,44,44,44,44,srag
2020-03-26,47,47,47,47,srag
2020-03-27,48,48,48,48,srag
2020-03-28,51,51,51,51,srag
2020-03-29,48,48,48,48,srag
2020-03-30,50,50,50,50,srag
2020-03-31,46,46,46,46,srag
2020-04-01,49,49,49,49,srag
2020-04-02,54,54,54,54,srag
2020-04-03,59,59,59,59,srag
2020-04-04,64,64,64,64,srag
2020-04-05,64,64,64,64,srag
2020-04-06,70,70,70,70,srag
2020-04-07,74,74,74,74,srag
2020-04-08,75,75,75,75,srag
2020-04-09,78,78,78,78,srag
2020-04-10,78,78,78,78,srag
2020-04-11,74,74,74,74,srag
2020-04-12,74,74,74,74,srag
2020-04-13,77,77,77,77,srag
2020-04-14,79,79,79,79,srag
2020-04-15,88,88,88,88,srag
2020-04-16,90,90,90,90,srag
2020-04-17,85,85,85,85,srag
2020-04-18,90,90,90,90,srag
2020-04-19,87,87,87,87,srag
2020-04-20,92,92,92,92,srag
2020-04-21,97,97,97,97,srag
2020-04-22,102,102,102,102,srag
2020-04-23,92,92,92,92,srag
2020-04-24,92,92,92,92,srag
2020-04-25,93,93,93,93,srag
2020-04-26,94,94,94,94,srag
2020-04-27,103,103,103,103,srag
2020-04-28,103,103,103,103,srag
2020-04-29,110,110,110,110,srag
2020-04-30,111,111,111,111,srag
2020-05-01,107,107,107,107,srag
2020-05-02,102,102,102,102,srag
2020-05-03,102,102,102,102,srag
2020-05-04,115,115,115,115,srag
2020-05-05,122,122,122,122,srag
2020-05-06,122,122,122,122,srag
2020-05-07,124,124,124,124,srag
2020-05-08,124,124,124,124,srag
2020-05-09,121,121,121,121,srag
2020-05-10,117,117,117,117,srag
2020-05-11,113,113,113,113,srag
2020-05-12,108,108,108,108,srag
2020-05-13,117,117,117,117,srag
2020-05-14,124,124,124,124,srag
2020-05-15,105,105,105,105,srag
2020-05-16,99,99,99,99,srag
2020-05-17,101,101,101,101,srag
2020-05-18,109,109,110,109,srag
2020-05-19,103,103,109,103,srag
2020-05-20,105,105,114,105,srag
2020-05-21,100,100,113,100,srag
2020-05-22,105,105,118,105,srag
2020-05-23,101,101,120,101,srag
2020-05-24,111,111,132,111,srag
2020-05-25,118,118,142,118,srag
2020-05-26,118,118,146,118,srag
2020-05-27,121,121,149,121,srag
2020-05-28,120,120,150,120,srag
2020-05-29,122,122,157,122,srag
2020-05-30,122,122,160,122,srag
2020-05-31,124,124,164,124,srag
2020-06-01,127,127,170,127,srag
2020-06-02,130,130,176,130,srag
2020-06-03,131,131,181,131,srag
2020-06-04,136,136,188,136,srag
2020-06-05,140,140,198,140,srag
2020-06-06,129,129,196,129,srag
2020-06-07,132,132,205,132,srag
2020-06-08,136,136,214,136,srag
2020-06-09,147,147,231,147,srag
2020-06-10,150,150,242,150,srag
2020-06-11,148,148,238,148,srag
2020-06-12,145,145,238,145,srag
2020-06-13,144,145,245,144,srag
2020-06-14,143,144,254,143,srag
2020-06-15,155,156,267,155,srag
2020-06-16,161,163,280,161,srag
2020-06-17,166,168,295,166,srag
2020-06-18,164,171,305,164,srag
2020-06-19,167,175,327,167,srag
2020-06-20,168,180,347,168,srag
2020-06-21,170,186,365,170,srag
